ID,Name,Concepticon_ID,Concepticon_Gloss,Parameter,Group,Dataset
FMZD,father's mother's sister's daughter,,,FMZD,,parabank
fBW,female ego's brother's wife,,,fBW,Affines,varikin;parabank
fD,female ego's daughter,,,fD,children,varikin;parabank
fDD,female ego's daugher's daughter,,,fDD,Grandparents & -children,varikin;parabank
fDH,female ego's daughter's husband,2266,SON-IN-LAW (OF WOMAN),fDH,Affines,varikin;parabank
fDS,female ego's daughter's son,,,fDS,Grandparents & -children,varikin;parabank
fF,female ego's father,,,fF,Parents,varikin;parabank
fFBD,female ego's father's brother's daughter,,,fFBD,Cousins,varikin;parabank
fFBS,female ego's father's brother's son,,,fFBS,Cousins,varikin;parabank
fFBeD,female ego‘s father‘s brother‘s older daughter,,,fFBeD,Cousins by relative age of cousin to ego,varikin;parabank
fFBeS,female ego‘s father‘s brother‘s older son,,,fFBeS,Cousins by relative age of cousin to ego,varikin;parabank
fFByD,female ego‘s father‘s brother‘s younger daughter,,,fFByD,Cousins by relative age of cousin to ego,varikin;parabank
fFByS,female ego‘s father‘s brother‘s younger son,,,fFByS,Cousins by relative age of cousin to ego,varikin;parabank
fFF,female ego's father's father,,,fFF,Grandparents & -children,varikin;parabank
fFFF,female ego's father's father's father,,,fFFF,Grandparents & -children,varikin;parabank
fFFM,female ego's father's father's mother,,,fFFM,Grandparents & -children,varikin;parabank
fFM,female ego's father's mother,,,fFM,Grandparents & -children,varikin;parabank
fFMF,female ego's father's mother's father,,,fFMF,Grandparents & -children,varikin;parabank
fFMM,female ego's father's mother's mother,,,fFMM,Grandparents & -children,parabank
fFZD,female ego's father's sister's daughter,,,fFZD,Cousins,varikin;parabank
fFZS,female ego's father's sister's son,,,fFZS,Cousins,varikin;parabank
fFZeD,female ego‘s father‘s sisters‘s older daughter,,,fFZeD,Cousins by relative age of cousin to ego,varikin;parabank
fFZeS,female ego‘s father‘s sisters‘s older son,,,fFZeS,Cousins by relative age of cousin to ego,varikin;parabank
fFZyD,female ego‘s father‘s sisters‘s younger daughter,,,fFZyD,Cousins by relative age of cousin to ego,varikin;parabank
fFZyS,female ego‘s father‘s sisters‘s younger son,,,fFZyS,Cousins by relative age of cousin to ego,varikin;parabank
fFeB,female ego's father's older brother,,,fFeB,Uncles & Aunts,varikin;parabank
fFeBD,female ego's father‘s older brother‘s daughter,,,fFeBD,Cousins by relative age of parent,varikin;parabank
fFeBS,female ego's father‘s older brother‘s son,,,fFeBS,Cousins by relative age of parent,varikin;parabank
fFeZ,female ego's father's older sister,,,fFeZ,Uncles & Aunts,varikin;parabank
fFeZD,female ego's father‘s older sister‘s daughter,,,fFeZD,Cousins by relative age of parent,varikin;parabank
fFeZS,female ego's father‘s older sister‘s son,,,fFeZS,Cousins by relative age of parent,varikin;parabank
fFyB,female ego's father's younger brother,,,fFyB,Uncles & Aunts,varikin;parabank
fFyBD,female ego‘s father‘s younger brother‘s daughter,,,fFyBD,Cousins by relative age of parent,varikin;parabank
fFyBS,female ego‘s father‘s younger brother‘s son,,,fFyBS,Cousins by relative age of parent,varikin;parabank
fFyZ,female ego's father's younger sister,,,fFyZ,Uncles & Aunts,varikin;parabank
fFyZD,female ego‘s father‘s younger sister‘s daughter,,,fFyZD,Cousins by relative age of parent,varikin;parabank
fFyZS,female ego‘s father‘s younger sister‘s son,,,fFyZS,Cousins by relative age of parent,varikin;parabank
fH,female ego‘s husband,1200,HUSBAND,fH,Affines,varikin;parabank
fHB,female ego's husband's brother,,,fHB,Affines,varikin;parabank
fHBW,female ego's husband's brother's wife,,,fHBW,Affines,parabank
fHF,female ego's husband's father,2254,FATHER-IN-LAW (OF WOMAN),fHF,Affines,varikin;parabank
