parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,wändem,,,*for address terms see log,AFR2(86),gelaye_semantic_1998,
mZ,ehet,,,,AFR2(86),gelaye_semantic_1998,
meB,tallaq wändem,,,,AFR2(88),gelaye_semantic_1998,
meZ,tallaq ehet,,,,AFR2(88),gelaye_semantic_1998,
mF,abbat,,,,AFR2(86),gelaye_semantic_1998,
mM,ennat,,,,AFR2(86),gelaye_semantic_1998,
mC,lej,,,,AFR2(86),gelaye_semantic_1998,(generic term for son or daughter)
mS,lej,,,,AFR2(86),gelaye_semantic_1998,
mD,lej,,,,AFR2(86),gelaye_semantic_1998,
mPP,ayat,,,,AFR2(86),gelaye_semantic_1998,
mCC,yä-lej lej,,,,AFR2(86),gelaye_semantic_1998,
mFB,aggot,,,,AFR2(86),gelaye_semantic_1998,
mFZ,akest,,,,AFR2(86),gelaye_semantic_1998,
mMB,aggot,,,,AFR2(86),gelaye_semantic_1998,
mMZ,akest,,,,AFR2(86),gelaye_semantic_1998,
mBS,yä-wändem lej,,,,AFR2(86),gelaye_semantic_1998,
mBD,yä-wändem lej,,,,AFR2(86),gelaye_semantic_1998,
mZS,yä-ehet lej,,,,AFR2(86),gelaye_semantic_1998,
mZD,yä-ehet lej,,,,AFR2(86),gelaye_semantic_1998,
mFZD,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
mFBD,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
mMBD,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
mMZD,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
mFBS,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
mFZS,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
mMBS,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
mMZS,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
mE,baläbét,,,,AFR2(86),gelaye_semantic_1998,
mH,bal,,,,AFR2(86),gelaye_semantic_1998,
mW,mešt,,,,AFR2(86),gelaye_semantic_1998,
mHF,wänd amat,,,,AFR2(86),gelaye_semantic_1998,
mHM,sét amat,,,,AFR2(86),gelaye_semantic_1998,
mBW,warsa,,,,AFR2(86),gelaye_semantic_1998,
mBW,ayyit,,,,AFR2(86),gelaye_semantic_1998,
mWZ,warsa,,,,AFR2(86),gelaye_semantic_1998,
mWZ,ayyit,,,,AFR2(86),gelaye_semantic_1998,
mHZ,warsa,,,,AFR2(86),gelaye_semantic_1998,
mHZ,ayyit,,,,AFR2(86),gelaye_semantic_1998,
fB,wändem,,,*for address terms see log,AFR2(86),gelaye_semantic_1998,
fZ,ehet,,,,AFR2(86),gelaye_semantic_1998,
feB,tallaq wändem,,,,AFR2(88),gelaye_semantic_1998,
feZ,tallaq ehet,,,,AFR2(88),gelaye_semantic_1998,
fF,abbat,,,,AFR2(86),gelaye_semantic_1998,
fM,ennat,,,,AFR2(86),gelaye_semantic_1998,
fC,lej,,,,AFR2(86),gelaye_semantic_1998,(generic term for son or daughter)
fS,lej,,,,AFR2(86),gelaye_semantic_1998,
fD,lej,,,,AFR2(86),gelaye_semantic_1998,
fPP,ayat,,,,AFR2(86),gelaye_semantic_1998,
fCC,yä-lej lej,,,,AFR2(86),gelaye_semantic_1998,
fFB,aggot,,,,AFR2(86),gelaye_semantic_1998,
fFZ,akest,,,,AFR2(86),gelaye_semantic_1998,
fMB,aggot,,,,AFR2(86),gelaye_semantic_1998,
fMZ,akest,,,,AFR2(86),gelaye_semantic_1998,
fBS,yä-wändem lej,,,,AFR2(86),gelaye_semantic_1998,
fBD,yä-wändem lej,,,,AFR2(86),gelaye_semantic_1998,
fZS,yä-ehet lej,,,,AFR2(86),gelaye_semantic_1998,
fZD,yä-ehet lej,,,,AFR2(86),gelaye_semantic_1998,
fFZD,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
fFBD,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
fMBD,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
fMZD,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
fFBS,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
fFZS,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
fMBS,yä-aggot lej,,,,AFR2(86),gelaye_semantic_1998,
fMZS,yä-akest lej,,,,AFR2(86),gelaye_semantic_1998,
fE,baläbét,,,,AFR2(86),gelaye_semantic_1998,
fH,bal,,,,AFR2(86),gelaye_semantic_1998,
fW,mešt,,,,AFR2(86),gelaye_semantic_1998,
fHF,wänd amat,,,,AFR2(86),gelaye_semantic_1998,
fHM,sét amat,,,,AFR2(86),gelaye_semantic_1998,
fBW,warsa,,,,AFR2(86),gelaye_semantic_1998,
fBW,ayyit,,,,AFR2(86),gelaye_semantic_1998,
fWZ,warsa,,,,AFR2(86),gelaye_semantic_1998,
fWZ,ayyit,,,,AFR2(86),gelaye_semantic_1998,
fHZ,warsa,,,,AFR2(86),gelaye_semantic_1998,
fHZ,ayyit,,,,AFR2(86),gelaye_semantic_1998,
