parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,nǔch,,male speaker's father,,,Morgan1871,
fF,nǔch,,female speaker's father,,,Morgan1871,
meZ,nu-meesʼ,,male speaker's older sister,,,Morgan1871,
feZ,nu-meesʼ,,female speaker's older sister,,,Morgan1871,
mFBeD,nu-meesʼ,,male speaker's father's brother's older daughter,,,Morgan1871,
fFBeD,nu-meesʼ,,female speaker's father's brother's older daughter,,,Morgan1871,
fFZeD,nu-meesʼ,,female speaker's father's sister's older daughter,,,Morgan1871,
fMBeD,nu-meesʼ,,female speaker's mother's brother's older daughter,,,Morgan1871,
mMZeD,nu-meesʼ,,male speaker's mother's sister's older daughter,,,Morgan1871,
fMZeD,nu-meesʼ,,female speaker's mother's sister's older daughter,,,Morgan1871,
mFZeD,nu-mees,,male speaker's father's sister's older daughter,,,Morgan1871,
mMBeD,nu-mees,,male speaker's mother's brother's older daughter,,,Morgan1871,
meZS,nǔ-lǔksʼ,,male speaker's older sister's son,,,Morgan1871,
myZS,nǔ-lǔksʼ,,male speaker's younger sister's son,,,Morgan1871,
feBS,nǔ-lǔksʼ,,female speaker's older brother's son,,,Morgan1871,
fyBS,nǔ-lǔksʼ,,female speaker's younger brother's son,,,Morgan1871,
mMeZ,nu-lisʼ,,male speaker's mother's older sister,,,Morgan1871,
mMyZ,nu-lisʼ,,male speaker's mother's younger sister,,,Morgan1871,
fMeZ,nu-lisʼ,,female speaker's mother's older sister,,,Morgan1871,
fMyZ,nu-lisʼ,,female speaker's mother's younger sister,,,Morgan1871,
mSS,nǔ-jeechʼ,,male speaker's son's son,,,Morgan1871,
mDS,nǔ-jeechʼ,,male speaker's daughter's son,,,Morgan1871,
fSS,nǔ-jeechʼ,,female speaker's son's son,,,Morgan1871,
fDS,nǔ-jeechʼ,,female speaker's daughter's son,,,Morgan1871,
mSD,nǔ-jeechʼ,,male speaker's son's daughter,,,Morgan1871,
fSD,nǔ-jeechʼ,,female speaker's son's daughter,,,Morgan1871,
mDD,nǔ-jeechʼ,,male speaker's daughter's daughter,,,Morgan1871,
fDD,nǔ-jeechʼ,,female speaker's daughter's daughter,,,Morgan1871,
mFM,nǔ-gaʼ-mich,,male speaker's father's mother,,,Morgan1871,
mMM,nǔ-gaʼ-mich,,male speaker's mother's mother,,,Morgan1871,
fFM,nǔ-gaʼ-mich,,female speaker's father's mother,,,Morgan1871,
fMM,nǔ-gaʼ-mich,,female speaker's mother's mother,,,Morgan1871,
mFF,niks-kä-michʼ,,male speaker's father's father,,,Morgan1871,
fFF,niks-kä-michʼ,,female speaker's father's father,,,Morgan1871,
mMF,niks-kä-michʼ,,male speaker's mother's father,,,Morgan1871,
fMF,niks-kä-michʼ,,female speaker's mother's father,,,Morgan1871,
mSW,neʼ-mis,,male speaker's son's wife,,,Morgan1871,
mM,nee-cristʼ,,male speaker's mother,,,Morgan1871,
fM,nee-cristʼ,,female speaker's mother,,,Morgan1871,
mD,n'-tǔsʼ,,male speaker's daughter,,,Morgan1871,
fD,n'-tǔsʼ,,female speaker's daughter,,,Morgan1871,
meBD,n'-tǔsʼ,,male speaker's older brother's daughter,,,Morgan1871,
myBD,n'-tǔsʼ,,male speaker's younger brother's daughter,,,Morgan1871,
feBD,n'-tǔsʼ,,female speaker's older brother's daughter,,,Morgan1871,
fyBD,n'-tǔsʼ,,female speaker's younger brother's daughter,,,Morgan1871,
feZD,n'-tǔsʼ,,female speaker's older sister's daughter,,,Morgan1871,
fyZD,n'-tǔsʼ,,female speaker's younger sister's daughter,,,Morgan1871,
mFeB,n'-tus,,male speaker's father's older brother,,,Morgan1871,
mFyB,n'-tus,,male speaker's father's younger brother,,,Morgan1871,
fFeB,n'-tus,,female speaker's father's older brother,,,Morgan1871,
fFyB,n'-tus,,female speaker's father's younger brother,,,Morgan1871,
mDH,n'-tlǔʼ-sǔk,,male speaker's daughter's husband,,,Morgan1871,
fDH,n'-tlǔʼ-sǔk,,female speaker's daughter's husband,,,Morgan1871,
fSW,n'-thus-wäʼ-skom,,female speaker's son's wife,,,Morgan1871,
mW,n'-t-a-bǐ-temʼ,,male speaker's wife,,,Morgan1871,
meZD,n'-sum,,male speaker's older sister's daughter,,,Morgan1871,
myZD,n'-sum,,male speaker's younger sister's daughter,,,Morgan1871,
mFeZ,n'-su-gwisʼ,,male speaker's father's older sister,,,Morgan1871,
mFyZ,n'-su-gwisʼ,,male speaker's father's younger sister,,,Morgan1871,
fFeZ,n'-su-gwisʼ,,female speaker's father's older sister,,,Morgan1871,
fFyZ,n'-su-gwisʼ,,female speaker's father's younger sister,,,Morgan1871,
meB,n'-seesʼ,,male speaker's older brother,,,Morgan1871,
feB,n'-seesʼ,,female speaker's older brother,,,Morgan1871,
mFBeS,n'-seesʼ,,male speaker's father's brother's older son,,,Morgan1871,
fFBeS,n'-seesʼ,,female speaker's father's brother's older son,,,Morgan1871,
mFZeS,n'-seesʼ,,male speaker's father's sister's older son,,,Morgan1871,
fFZeS,n'-seesʼ,,female speaker's father's brother's older daughter,,,Morgan1871,
mMBeS,n'-seesʼ,,male speaker's mother's brother's older son,,,Morgan1871,
fMBeS,n'-seesʼ,,female speaker's mother's brother's older son,,,Morgan1871,
mMZeS,n'-seesʼ,,male speaker's mother's sister's older son,,,Morgan1871,
fMZeS,n'-seesʼ,,female speaker's mother's sister's older son,,,Morgan1871,
mS,n'-kwisʼ,,male speaker's son,,,Morgan1871,
fS,n'-kwisʼ,,female speaker's son,,,Morgan1871,
meBS,n'-kwisʼ,,male speaker's older brother's son,,,Morgan1871,
myBS,n'-kwisʼ,,male speaker's younger brother's son,,,Morgan1871,
feZS,n'-kwisʼ,,female speaker's older sister's son,,,Morgan1871,
fyZS,n'-kwisʼ,,female speaker's younger sister's son,,,Morgan1871,
fyZ,n'-kwa-jeechʼ,,female speaker's younger sister,,,Morgan1871,
mFByD,n'-kwa-jeechʼ,,male speaker's father's brother's younger daughter,,,Morgan1871,
fFByD,n'-kwa-jeechʼ,,female speaker's father's brother's younger daughter,,,Morgan1871,
