parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,noss,,male speaker's father,,,,
fF,noss,,female speaker's father,,,,
mSS,no-she-shǎʼ,,male speaker's son's son,,,,
mDS,no-she-shǎʼ,,male speaker's daughter's son,,,,
fSS,no-she-shǎʼ,,female speaker's son's son,,,,
fDS,no-she-shǎʼ,,female speaker's daughter's son,,,,
mSD,no-she-shǎʼ,,male speaker's son's daughter,,,,
fSD,no-she-shǎʼ,,female speaker's son's daughter,,,,
mDD,no-she-shǎʼ,,male speaker's daughter's daughter,,,,
fDD,no-she-shǎʼ,,female speaker's daughter's daughter,,,,
mFM,no-koʼ-mis,,male speaker's father's mother,,,,
mMM,no-koʼ-mis,,male speaker's mother's mother,,,,
fFM,no-koʼ-mis,,female speaker's father's mother,,,,
fMM,no-koʼ-mis,,female speaker's mother's mother,,,,
feZS,nin-gwisʼ,,female speaker's older sister's son,,,,
fyZS,nin-gwisʼ,,female speaker's younger sister's son,,,,
mM,nin-gahʼ,,male speaker's mother,,,,
fM,nin-gahʼ,,female speaker's mother,,,,
meBD,nin-do-zha-mǐ-kwamʼ,,male speaker's older brother's daughter,,,,
myBD,nin-do-zha-mǐ-kwamʼ,,male speaker's younger brother's daughter,,,,
feBD,nin-do-zha-mǐ-kwamʼ,,female speaker's older brother's daughter,,,,
fyBD,nin-do-zha-mǐ-kwamʼ,,female speaker's younger brother's daughter,,,,
mFBeD,nin-dä-waʼ-mä,,male speaker's father's brother's older daughter,,,,
mMZeD,nin-dä-waʼ-mä,,male speaker's mother's sister's older daughter,,,,
meB,ni-säʼ-yǎ,,male speaker's older brother,,,,
mFBeS,nǐ-sä-yǎʼ,,male speaker's father's brother's older son,,,,
fFBeS,nǐ-sä-yǎʼ,,female speaker's father's brother's older son,,,,
feB,ni-sä-yǎʼ,,female speaker's older brother,,,,
fMZeS,ni-sä-yǎʼ,,female speaker's mother's sister's older son,,,,
mS,neen-gwisʼ,,male speaker's son,,,,
fS,neen-gwisʼ,,female speaker's son,,,,
mD,neen-däʼ-niss,,male speaker's daughter,,,,
fD,neen-däʼ-niss,,female speaker's daughter,,,,
fHF,nee'n-zhe-nisʼ,,female speaker's husband's father,,,,
mWF,nee'n-zhǎ-nisʼ,,male speaker's wife's father,,,,
fH,nee-näʼ-bam,,female speaker's husband,,,,
mMeB,ne-zheʼ-shǎʼ,,male speaker's mother's older brother,,,,
mMyB,ne-zheʼ-shǎʼ,,male speaker's mother's younger brother,,,,
fMeB,ne-zheʼ-shǎʼ,,female speaker's mother's older brother,,,,
fMyB,ne-zheʼ-shǎʼ,,female speaker's mother's younger brother,,,,
mW,ne-wishʼ,,male speaker's wife,,,,
mMByS,ne-täʼ-wis,,male speaker's mother's brother's younger son,,,,
mFZeS,ne-tä-wisʼ,,male speaker's father's sister's older son,,,,
mFZyS,ne-tä-wisʼ,,male speaker's father's sister's younger son,,,,
mMBeS,ne-tä-wisʼ,,male speaker's mother's brother's older son,,,,
mSW,ne-simʼ,,male speaker's son's wife,,,,
fSW,ne-simʼ,,female speaker's son's wife,,,,
fMZyS,ne-sheʼ-mä,,female speaker's mother's sister's younger son,,,,
myB,ne-sheʼ-mǎ,,male speaker's younger brother,,,,
fyB,ne-sheʼ-mǎ,,female speaker's younger brother,,,,
myZ,ne-sheʼ-mǎ,,male speaker'S younger sister,,,,
fyZ,ne-sheʼ-mǎ,,female speaker's younger sister,,,,
fFByS,ne-sheʼ-mǎ,,female speaker's father's brother's younger son,,,,
fFByD,ne-sheʼ-mǎ,,female speaker's father's brother's younger daughter,,,,
mMZyD,ne-sheʼ-mǎ,,male speaker's mother's sister's younger daughter,,,,
meZD,ne-she-misʼ,,male speaker's older sister's daughter,,,,
myZD,ne-she-misʼ,,male speaker's younger sister's daughter,,,,
fMZyD,ne-she-mǎʼ,,female speaker's mother's sister's younger daughter,,,,
mFeZ,ne-seeʼ-gossʼ,,male speaker's father's older sister,,,,
mFyZ,ne-seeʼ-gossʼ,,male speaker's father's younger sister,,,,
fFeZ,ne-seeʼ-gossʼ,,female speaker's father's older sister,,,,
fFyZ,ne-seeʼ-gossʼ,,female speaker's father's younger sister,,,,
mMeZ,ne-no-shǎʼ,,male speaker's mother's older sister,,,,
mMyZ,ne-no-shǎʼ,,male speaker's mother's younger sister,,,,
fMeZ,ne-no-shǎʼ,,female speaker's mother's older sister,,,,
fMyZ,ne-no-shǎʼ,,female speaker's mother's younger sister,,,,
mDH,ne-nin̤-gwunʼ,,male speaker's daughter's husband,,,,
fDH,ne-nin̤-gwun,,female speaker's daughter's husband,,,,
meZS,ne-nin-gwi-nisʼ,,male speaker's older sister's son,,,,
myZS,ne-nin-gwi-nisʼ,,male speaker's younger sister's son,,,,
feBS,ne-nin-gwi-nisʼ,,female speaker's older brother's son,,,,
fyBS,ne-nin-gwi-nisʼ,,female speaker's younger brother's son,,,,
fFZeS,ne-ne-moo-shǎʼ,,female speaker's father's brother's older daughter,,,,
fFZyS,ne-ne-moo-shǎʼ,,female speaker's father's sister's younger son,,,,
mFZeD,ne-ne-moo-shǎʼ,,male speaker's father's sister's older daughter,,,,
mFZyD,ne-ne-moo-shǎʼ,,male speaker's father's sister's younger daughter,,,,
fMBeS,ne-ne-moo-shǎʼ,,female speaker's mother's brother's older son,,,,
mMBeD,ne-ne-moo-shǎʼ,,male speaker's mother's brother's older daughter,,,,
mMByD,ne-ne-moo-shǎʼ,,male speaker's mother's brother's younger daughter,,,,
fMByS,ne-ne-moo-shǎ,,female speaker's mother's brother's younger son,,,,
mFeB,ne-misʼ-sho-má,,male speaker's father's older brother,,,,
mFyB,ne-misʼ-sho-má,,male speaker's father's younger brother,,,,
fFeB,ne-misʼ-sho-má,,female speaker's father's older brother,,,,
fFyB,ne-misʼ-sho-má,,female speaker's father's younger brother,,,,
meZ,ne-mis-sǎʼ,,male speaker's older sister,,,,
feZ,ne-mis-sǎʼ,,female speaker's older sister,,,,
fFBeD,ne-mis-sǎʼ,,female speaker's father's brother's older daughter,,,,
fMZeD,ne-mis-sǎʼ,,female speaker's mother's sister's older daughter,,,,
mMZeS,ne-käʼ-na,,male speaker's mother's sister's older son,,,,
mMZyS,ne-käʼ-na,,male speaker's mother's sister's younger son,,,,
mFByS,ne-kǎ-naʼ,,male speaker's father's brother's older son,,,,
mFF,na-ma-shoʼ-mis,,male speaker's father's father,,,,
fFF,na-ma-shoʼ-mis,,female speaker's father's father,,,,
mMF,na-ma-shoʼ-mis,,male speaker's mother's father,,,,
fMF,na-ma-shoʼ-mis,,female speaker's mother's father,,,,
mWM,n'-za-gwä-zisʼ,,male speaker's wife's mother,,,,
fHM,n'-za-gwä-zisʼ,,female speaker's husband's mother,,,,
meBS,n'-doʼ-zhim,,male speaker's older brother's son,,,,
myBS,n'-doʼ-zhim,,male speaker's younger brother's son,,,,
feZD,n'-däʼ-niss,,female speaker's older sister's daughter,,,,
fyZD,n'-däʼ-niss,,female speaker's younger sister's daughter,,,,
mFByD,n'-dä-waʼ-mä,,male speaker's father's brother's younger daughter,,,,
fFZyD,n'-dä-n'-go-shǎʼ,,female speaker's father's sister's younger daughter,,,,
fMBeD,n'-dä-n'-go-shǎʼ,,female speaker's mother's brother's older daughter,,,,
fMByD,n'-dä-n'-go-shǎʼ,,female speaker's mother's brother's younger daughter,,,,
fFZeD,n'-dä-n'-go-sha,,female speaker's father's sister's older daughter,,,,
