parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,,,male speaker's brother,,,,
mZ,,,male speaker's sister,,,,
meB,nishikwese,,male speaker's elder brother,,,godelier_transformations_1998-2,
myB,nijimish,,male speaker's younger brother,,,godelier_transformations_1998-2,
meZ,nidawema,,male speaker's elder sister,dawema,,godelier_transformations_1998-2,
myZ,nijimish,,male speaker's younger sister,,,godelier_transformations_1998-2,
mP,,,male speaker's parent,,,,
mF,nidada,,male speaker's father,,,godelier_transformations_1998-2,
mM,nimama,,male speaker's mother,,,godelier_transformations_1998-2,
mC,,,male speaker's child,,,,
mS,goses,,male speaker's son,,,godelier_transformations_1998-2,
mD,danes,,male speaker's daughter,,,godelier_transformations_1998-2,
mA,,,male speaker's ancestor,,,,
mPP,,,male speaker's grandparent,,,,
mFF,nomoshom,,male speaker's father's father,,,godelier_transformations_1998-2,
mFM,nokom,,male speaker's father's mother,,,godelier_transformations_1998-2,
mMF,nomoshom,,male speaker's mother's father,,,godelier_transformations_1998-2,
mMM,nokom,,male speaker's mother's mother,,,godelier_transformations_1998-2,
mCC,noses,,male speaker's grandchild,,,godelier_transformations_1998-2,
mSS,noses,,male speaker's son's son,,,godelier_transformations_1998-2,
mSD,noses,,male speaker's son's daughter,,,godelier_transformations_1998-2,
mDS,noses,,male speaker's daughter's son,,,godelier_transformations_1998-2,
mDD,noses,,male speaker's daughter's daughter,,,godelier_transformations_1998-2,
mFB,nomoshomis,,male speaker's father's brother,,,godelier_transformations_1998-2,
mFZ,nisekoos,,male speaker's father's sister,,,godelier_transformations_1998-2,
mMB,nihishes,,male speaker's mother's brother,,,godelier_transformations_1998-2,
mMZ,n'doses,,male speaker's mother's sister,,,godelier_transformations_1998-2,
mFeB,nomoshomis,,male speaker's father's older brother,,,godelier_transformations_1998-2,
mFyB,nomoshomis,,male speaker's father's younger brother,,,godelier_transformations_1998-2,
mFeZ,nisekoos,,male speaker's father's older sister,,,godelier_transformations_1998-2,
mFyZ,nisekoos,,male speaker's father's younger sister,,,godelier_transformations_1998-2,
mMeZ,n'doses,,male speaker's mother's older sister,,,godelier_transformations_1998-2,
mMyZ,n'doses,,male speaker's mother's younger sister,,,godelier_transformations_1998-2,
mMeB,nihishes,,male speaker's mother's older brother,,,godelier_transformations_1998-2,
mMyB,nihishes,,male speaker's mother's younger brother,,,godelier_transformations_1998-2,
mBS,doshem,,male speaker's brother's son,,,godelier_transformations_1998-2,
