parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,-parape,,,,ARAW2,key_ignaciano_2015,
mB,-parape,,,,ARAW2,key_ignaciano_2015,
mZ,-parape,,,,ARAW2,key_ignaciano_2015,
myB,natimuri,,,,ARAW2,key_ignaciano_2015,
myZ,-ati,,,,ARAW2,key_ignaciano_2015,
myZ,ati,,,,ARAW2,key_ignaciano_2015,
mF,tikačiča,,,,ARAW2,key_ignaciano_2015,
mF,-iya,,,,ARAW2,key_ignaciano_2015,
mF,iyare,,,,ARAW2,key_ignaciano_2015,
mM,-'ena,,,,ARAW2,key_ignaciano_2015,
mM,meme,,,,ARAW2,key_ignaciano_2015,
mS,ema -čiča,,,,ARAW2,key_ignaciano_2015,
mS,eɲi -čiča,,,,ARAW2,key_ignaciano_2015,
mD,esu -čiča,,,,ARAW2,key_ignaciano_2015,
mFF,-'ačuka,,,,ARAW2,key_ignaciano_2015,
mFF,aču,,,,ARAW2,key_ignaciano_2015,
mFM,c̷ec̷e,,,,ARAW2,key_ignaciano_2015,
mFM,-ac̷e,,,,ARAW2,key_ignaciano_2015,
mMF,-'ačuka,,,,ARAW2,key_ignaciano_2015,
mMF,aču,,,,ARAW2,key_ignaciano_2015,
mMM,c̷ec̷e,,,,ARAW2,key_ignaciano_2015,
mMM,-ac̷e,,,,ARAW2,key_ignaciano_2015,
mSS,-'amari,,,,ARAW2,key_ignaciano_2015,
mSD,-'amari,,,,ARAW2,key_ignaciano_2015,
mDS,-'amari,,,,ARAW2,key_ignaciano_2015,
mDD,-'amari,,,,ARAW2,key_ignaciano_2015,
mBS,-čehi,,,,ARAW2,key_ignaciano_2015,
mBS,-'anewa,,,,ARAW2,key_ignaciano_2015,
mBD,-čehi,,,,ARAW2,key_ignaciano_2015,
mBD,-'anewa,,,,ARAW2,key_ignaciano_2015,
mZS,-čehi,,,,ARAW2,key_ignaciano_2015,
mZS,-'anewa,,,,ARAW2,key_ignaciano_2015,
mZD,-čehi,,,,ARAW2,key_ignaciano_2015,
mZD,-'anewa,,,,ARAW2,key_ignaciano_2015,
mFZD,-čehi,,,,ARAW2,key_ignaciano_2015,
mFBD,-čehi,,,,ARAW2,key_ignaciano_2015,
mMBD,-čehi,,,,ARAW2,key_ignaciano_2015,
mMZD,-čehi,,,,ARAW2,key_ignaciano_2015,
mFBS,-čehi,,,,ARAW2,key_ignaciano_2015,
mFZS,-čehi,,,,ARAW2,key_ignaciano_2015,
mMBS,-čehi,,,,ARAW2,key_ignaciano_2015,
mMZS,-čehi,,,,ARAW2,key_ignaciano_2015,
mH,-ima,,,,ARAW2,key_ignaciano_2015,
mH,-ima-re,,,,ARAW2,key_ignaciano_2015,
mW,yena-re,,,,ARAW2,key_ignaciano_2015,
mW,-yena,,,,ARAW2,key_ignaciano_2015,
mHF,-'imačuka,,,,ARAW2,key_ignaciano_2015,
mHM,-'imase,,,,ARAW2,key_ignaciano_2015,
mWF,-'imačuka,,,,ARAW2,key_ignaciano_2015,
mWM,-'imase,,,,ARAW2,key_ignaciano_2015,
mSW,činenaka,,,,ARAW2,key_ignaciano_2015,
mSW,-činena,,,,ARAW2,key_ignaciano_2015,
mSW,činenaka,,,,ARAW2,key_ignaciano_2015,
mSW,-činena,,,,ARAW2,key_ignaciano_2015,
mDH,-čina,,,,ARAW2,key_ignaciano_2015,
mDH,čina-re,,,,ARAW2,key_ignaciano_2015,
mDH,-čina,,,,ARAW2,key_ignaciano_2015,
mDH,čina-re,,,,ARAW2,key_ignaciano_2015,
fG,-parape,,,,ARAW2,key_ignaciano_2015,
fB,-parape,,,,ARAW2,key_ignaciano_2015,
fZ,-parape,,,,ARAW2,key_ignaciano_2015,
fyB,natimuri,,,,ARAW2,key_ignaciano_2015,
fyZ,-ati,,,,ARAW2,key_ignaciano_2015,
fyZ,ati,,,,ARAW2,key_ignaciano_2015,
fF,tikačiča,,,,ARAW2,key_ignaciano_2015,
fF,-iya,,,,ARAW2,key_ignaciano_2015,
fF,iyare,,,,ARAW2,key_ignaciano_2015,
fM,-'ena,,,,ARAW2,key_ignaciano_2015,
fM,meme,,,,ARAW2,key_ignaciano_2015,
fS,ema -čiča,,,,ARAW2,key_ignaciano_2015,
fS,eɲi -čiča,,,,ARAW2,key_ignaciano_2015,
fD,esu -čiča,,,,ARAW2,key_ignaciano_2015,
fFF,-'ačuka,,,,ARAW2,key_ignaciano_2015,
fFF,aču,,,,ARAW2,key_ignaciano_2015,
fFM,c̷ec̷e,,,,ARAW2,key_ignaciano_2015,
fFM,-ac̷e,,,,ARAW2,key_ignaciano_2015,
fMF,-'ačuka,,,,ARAW2,key_ignaciano_2015,
fMF,aču,,,,ARAW2,key_ignaciano_2015,
fMM,c̷ec̷e,,,,ARAW2,key_ignaciano_2015,
fMM,-ac̷e,,,,ARAW2,key_ignaciano_2015,
fSS,-'amari,,,,ARAW2,key_ignaciano_2015,
fSD,-'amari,,,,ARAW2,key_ignaciano_2015,
fDS,-'amari,,,,ARAW2,key_ignaciano_2015,
fDD,-'amari,,,,ARAW2,key_ignaciano_2015,
fBS,-čehi,,,,ARAW2,key_ignaciano_2015,
fBS,-'anewa,,,,ARAW2,key_ignaciano_2015,
fBD,-čehi,,,,ARAW2,key_ignaciano_2015,
fBD,-'anewa,,,,ARAW2,key_ignaciano_2015,
fZS,-čehi,,,,ARAW2,key_ignaciano_2015,
fZS,-'anewa,,,,ARAW2,key_ignaciano_2015,
fZD,-čehi,,,,ARAW2,key_ignaciano_2015,
fZD,-'anewa,,,,ARAW2,key_ignaciano_2015,
fFZD,-čehi,,,,ARAW2,key_ignaciano_2015,
fFBD,-čehi,,,,ARAW2,key_ignaciano_2015,
fMBD,-čehi,,,,ARAW2,key_ignaciano_2015,
fMZD,-čehi,,,,ARAW2,key_ignaciano_2015,
fFBS,-čehi,,,,ARAW2,key_ignaciano_2015,
fFZS,-čehi,,,,ARAW2,key_ignaciano_2015,
fMBS,-čehi,,,,ARAW2,key_ignaciano_2015,
fMZS,-čehi,,,,ARAW2,key_ignaciano_2015,
fH,-ima,,,,ARAW2,key_ignaciano_2015,
fH,-ima-re,,,,ARAW2,key_ignaciano_2015,
fW,yena-re,,,,ARAW2,key_ignaciano_2015,
fW,-yena,,,,ARAW2,key_ignaciano_2015,
fHF,-'imačuka,,,,ARAW2,key_ignaciano_2015,
fHM,-'imase,,,,ARAW2,key_ignaciano_2015,
fWF,-'imačuka,,,,ARAW2,key_ignaciano_2015,
fWM,-'imase,,,,ARAW2,key_ignaciano_2015,
fSW,činenaka,,,,ARAW2,key_ignaciano_2015,
fSW,-činena,,,,ARAW2,key_ignaciano_2015,
fSW,činenaka,,,,ARAW2,key_ignaciano_2015,
fSW,-činena,,,,ARAW2,key_ignaciano_2015,
fDH,-čina,,,,ARAW2,key_ignaciano_2015,
