"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","yàyà",,,,"AC58(110)","harvey_bali_1997",""
"mF","yabà",,,,"AC58(110)","harvey_bali_1997",""
"mM","yamá",,,,"AC58(110)","harvey_bali_1997",""
"mC","mfjsí",,,,"AC58(110)","harvey_bali_1997",""
"mFB","bogà",,,,"AC58(110)","harvey_bali_1997",""
"mMB","bogà",,,,"AC58(110)","harvey_bali_1997",""
"meB","yàyà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"myB","yàyà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"mFeB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"mFyB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"mMeB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"mMyB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fB","yàyà",,,,"AC58(110)","harvey_bali_1997",""
"fF","yabà",,,,"AC58(110)","harvey_bali_1997",""
"fM","yamá",,,,"AC58(110)","harvey_bali_1997",""
"fC","mfjsí",,,,"AC58(110)","harvey_bali_1997",""
"fFB","bogà",,,,"AC58(110)","harvey_bali_1997",""
"fMB","bogà",,,,"AC58(110)","harvey_bali_1997",""
"feB","yàyà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fyB","yàyà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fFeB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fFyB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fMeB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
"fMyB","bogà",,,,"AC58(110)","harvey_bali_1997","Inferred; NA"
