parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,mó,,,,AC4(369),nchare_grammar_2012,
meB,n-sàsuí,,,,AC4(100),nchare_grammar_2012,
myB,m-bɛ̀tnʒèm,,,,AC4(102),nchare_grammar_2012,
meZ,n-sàsuí,,,,AC4(100),nchare_grammar_2012,
mF,wǎ,,,,AC4(101),nchare_grammar_2012,
mM,nǎ,,,,AC4(102),nchare_grammar_2012,
mC,m-ɔ̀n,,,,AC4(100),nchare_grammar_2012,
mCC,m-ɔ̀n m-ɔ̀n,,,,AC4(101),nchare_grammar_2012,
mW,ŋgbì,,,,AC4(288),nchare_grammar_2012,
fB,mó,,,,AC4(369),nchare_grammar_2012,
feB,n-sàsuí,,,,AC4(100),nchare_grammar_2012,
fyB,m-bɛ̀tnʒèm,,,,AC4(102),nchare_grammar_2012,
feZ,n-sàsuí,,,,AC4(100),nchare_grammar_2012,
fF,wǎ,,,,AC4(101),nchare_grammar_2012,
fM,nǎ,,,,AC4(102),nchare_grammar_2012,
fC,m-ɔ̀n,,,,AC4(100),nchare_grammar_2012,
fCC,m-ɔ̀n m-ɔ̀n,,,,AC4(101),nchare_grammar_2012,
fW,ŋgbì,,,,AC4(288),nchare_grammar_2012,
