parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,munyinane,,,wesu,AC141(177),colson_seven_1961,
mZ,nkashi,,,,AC141(177),colson_seven_1961,
meB,mukalamba,,,,AC141(177),colson_seven_1961,
myB,mwaice,,,,AC141(177),colson_seven_1961,
mA,kolwe,,,,AC141(177),colson_seven_1961,
mPP,shikulu,,,,AC141(177),colson_seven_1961,
mFF,shikulu,,,,AC141(177),colson_seven_1961,
mFM,shikulu,,,mama,AC141(177),colson_seven_1961,
mMF,shikulu,,,,AC141(177),colson_seven_1961,
mMM,shikulu,,,mama,AC141(177),colson_seven_1961,
mCC,mweshikulu,,,,AC141(177),colson_seven_1961,
mSS,mweshikulu,,,,AC141(177),colson_seven_1961,
mSD,mweshikulu,,,,AC141(177),colson_seven_1961,
mDS,mweshikulu,,,,AC141(177),colson_seven_1961,
mDD,mweshikulu,,,,AC141(177),colson_seven_1961,
mFB,tata,,,,AC141(177),colson_seven_1961,
mFZ,mayosenge,,,nyinasenge,AC141(177),colson_seven_1961,
mMZ,mayo,,,,AC141(177),colson_seven_1961,
mFeB,tata mukalamba,,,,AC141(177),colson_seven_1961,eldest brother
mFyB,tata mwaice,,,,AC141(177),colson_seven_1961,youngest brother
mMeZ,mayo mukalamba,,,,AC141(177),colson_seven_1961,eldest sister
mMyZ,mayo mwaice,,,,AC141(177),colson_seven_1961,youngest sister
mBS,mwana,,,,AC141(177),colson_seven_1961,
mBD,mwana,,,,AC141(177),colson_seven_1961,
mFBW,mayo,,,,AC141(177),colson_seven_1961,
mMZH,tata,,,,AC141(177),colson_seven_1961,
fB,ndume,,,wesu,AC141(177),colson_seven_1961,
fZ,munyinane,,,,AC141(177),colson_seven_1961,
feB,mukalamba,,,,AC141(177),colson_seven_1961,
fyB,mwaice,,,,AC141(177),colson_seven_1961,
fA,kolwe,,,,AC141(177),colson_seven_1961,
fPP,shikulu,,,,AC141(177),colson_seven_1961,
fFF,shikulu,,,,AC141(177),colson_seven_1961,
fFM,shikulu,,,mama,AC141(177),colson_seven_1961,
fMF,shikulu,,,,AC141(177),colson_seven_1961,
fMM,shikulu,,,mama,AC141(177),colson_seven_1961,
fCC,mweshikulu,,,,AC141(177),colson_seven_1961,
fSS,mweshikulu,,,,AC141(177),colson_seven_1961,
fSD,mweshikulu,,,,AC141(177),colson_seven_1961,
fDS,mweshikulu,,,,AC141(177),colson_seven_1961,
fDD,mweshikulu,,,,AC141(177),colson_seven_1961,
fFB,tata,,,,AC141(177),colson_seven_1961,
fFZ,mayosenge,,,nyinasenge,AC141(177),colson_seven_1961,
fMZ,mayo,,,,AC141(177),colson_seven_1961,
fFeB,tata mukalamba,,,,AC141(177),colson_seven_1961,eldest brother
fFyB,tata mwaice,,,,AC141(177),colson_seven_1961,youngest brother
fMeZ,mayo mukalamba,,,,AC141(177),colson_seven_1961,eldest sister
fMyZ,mayo mwaice,,,,AC141(177),colson_seven_1961,youngest sister
fZS,mwana,,,mwipwa,AC141(177),colson_seven_1961,
fZD,mwana,,,mwipwa,AC141(177),colson_seven_1961,
fFBW,mayo,,,,AC141(177),colson_seven_1961,
fMZH,tata,,,,AC141(177),colson_seven_1961,
mM,yangu,,,,AC84(131),last_polyglotta_1885,
mC,umwaiki,,,,AC84(131),last_polyglotta_1885,
mS,umwana umlume,,,,AC84(131),last_polyglotta_1885,
mD,umwana unkasi,,,,AC84(131),last_polyglotta_1885,
mW,unkasi,,,yere,AC84(131),last_polyglotta_1885,
fM,yangu,,,,AC84(131),last_polyglotta_1885,
fC,umwaiki,,,,AC84(131),last_polyglotta_1885,
fS,umwana umlume,,,,AC84(131),last_polyglotta_1885,
fD,umwana unkasi,,,,AC84(131),last_polyglotta_1885,
mMB,yama,,,,AC132(59),poewe_matrilineal_1981,
mFZD,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
mMBD,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
mFZS,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
mMBS,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
mWF,ase,,,,AC132(63),poewe_matrilineal_1981,
mWM,ase,,,,AC132(63),poewe_matrilineal_1981,
mBW,bukwe,,,,AC132(63),poewe_matrilineal_1981,
mZH,bukwe,,,,AC132(63),poewe_matrilineal_1981,
mWB,bukwe,,,,AC132(63),poewe_matrilineal_1981,
mWZ,bukwe,,,,AC132(63),poewe_matrilineal_1981,
mHB,bukwe,,,,AC132(63),poewe_matrilineal_1981,
feZ,baice bakalamba,,,,AC132(59),poewe_matrilineal_1981,
fyZ,baice,,,,AC132(59),poewe_matrilineal_1981,
fMB,yama,,,,AC132(59),poewe_matrilineal_1981,
fFZD,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
fMBD,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
fFZS,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
fMBS,abafyala,,,nua kuma,AC132(60),poewe_matrilineal_1981,
fHF,ase,,,,AC132(63),poewe_matrilineal_1981,
fHM,ase,,,,AC132(63),poewe_matrilineal_1981,
fBW,bukwe,,,,AC132(63),poewe_matrilineal_1981,
fZH,bukwe,,,,AC132(63),poewe_matrilineal_1981,
fWB,bukwe,,,,AC132(63),poewe_matrilineal_1981,
fWZ,bukwe,,,,AC132(63),poewe_matrilineal_1981,
fHB,bukwe,,,,AC132(63),poewe_matrilineal_1981,
mF,tata,,,,AC61(425),van_der_kerken_baluba_1936,
mM,mayo,,,,AC61(425),van_der_kerken_baluba_1936,
mC,mwana,,,,AC61(425),van_der_kerken_baluba_1936,
mW,mukasi,,,,AC61(425),van_der_kerken_baluba_1936,
fF,tata,,,,AC61(425),van_der_kerken_baluba_1936,
fM,mayo,,,,AC61(425),van_der_kerken_baluba_1936,
fC,mwana,,,,AC61(425),van_der_kerken_baluba_1936,
