parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mBS,mwana wa kilume,,,,AC89(237),parkin_sacred_1991,
mBD,mwana wa kuche,,,,AC89(237),parkin_sacred_1991,
mZS,ahu,,,,AC89(237),parkin_sacred_1991,
mZD,ahu,,,,AC89(237),parkin_sacred_1991,
mHM,mizhala,,,,AC89(238),parkin_sacred_1991,
mWM,mutsedza wa kuche,,,,AC89(238),parkin_sacred_1991,
mSW,mukaza mwana,,,,AC89(238),parkin_sacred_1991,
mFBW,misomo,,,,AC89(237),parkin_sacred_1991,
mMZH,mutsedza,,,,AC89(237),parkin_sacred_1991,
mMBW,mukazahu,,,,AC89(237),parkin_sacred_1991,
fBS,mwana wa kilume,,,,AC89(237),parkin_sacred_1991,
fBD,mwana wa kuche,,,,AC89(237),parkin_sacred_1991,
fZS,ahu,,,,AC89(237),parkin_sacred_1991,
fZD,ahu,,,,AC89(237),parkin_sacred_1991,
fHM,mizhala,,,,AC89(238),parkin_sacred_1991,
fWM,mutsedza wa kuche,,,,AC89(238),parkin_sacred_1991,
fSW,mukaza mwana,,,,AC89(238),parkin_sacred_1991,
fFBW,misomo,,,,AC89(237),parkin_sacred_1991,
fMZH,mutsedza,,,,AC89(237),parkin_sacred_1991,
fMBW,mukazahu,,,,AC89(237),parkin_sacred_1991,
mHF,mutsedza,,,bizhala,AC79(40),parkin_sacred_1991,
fHF,mutsedza,,,bizhala,AC79(40),parkin_sacred_1991,
mB,ndugu,,,,AC79(21),taylor_giryama_1891,
mZ,ndugu,,,,AC79(92),taylor_giryama_1891,
meB,mukulu,,,,AC79(21),taylor_giryama_1891,
myB,muvwaha,,,,AC79(21),taylor_giryama_1891,
mF,baba,,,,AC79(39),taylor_giryama_1891,
mM,hmama,,,,AC79(63),taylor_giryama_1891,
mC,mwana,,,,AC79(24),taylor_giryama_1891,
mS,mwana mulume,,,mutsedza,AC79(95),taylor_giryama_1891,
mD,mwanangu muche,,,mwana,AC79(31),taylor_giryama_1891,
mA,ano ts'awe,,,,AC79(6),taylor_giryama_1891,male
mA,ano hawe,,,,AC79(6),taylor_giryama_1891,female
mFF,ts'awe,,,,AC79(80),taylor_giryama_1891,
mFM,hawe,,,,AC79(80),taylor_giryama_1891,
mMF,ts'awe,,,,AC79(80),taylor_giryama_1891,
mMM,hawe,,,,AC79(80),taylor_giryama_1891,
mCC,mudzukulu,,,,AC79(47),taylor_giryama_1891,
mSS,mudzukulu,,,- wa kilume,AC79(47),taylor_giryama_1891,
mSD,mudzukulu,,,- wa kuche,AC79(47),taylor_giryama_1891,
mDS,mudzukulu,,,- wa kilume,AC79(47),taylor_giryama_1891,
mDD,mudzukulu,,,- wa kuche,AC79(47),taylor_giryama_1891,
mFZ,tsangazimi,,,,AC79(80),taylor_giryama_1891,
mMB,ahu,,,,AC79(80),taylor_giryama_1891,
mFeB,bam'zhere,,,,AC79(80),taylor_giryama_1891,
mFyB,bam'hoho,,,,AC79(80),taylor_giryama_1891,
mMeZ,hmam'zhere,,,,AC79(80),taylor_giryama_1891,
mMyZ,hmam'hoho,,,,AC79(80),taylor_giryama_1891,
