parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,dada,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mM,yuva,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mS,mswami,,,,AC96(210),bryant_mumford_hehebenasangu_1934,always used with possessive
mD,mwali,,,,AC96(210),bryant_mumford_hehebenasangu_1934,always used with possessive
mFB,dada,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFZ,yuvahengi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMB,yaya,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMZ,yuva,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFZD,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFBD,muhasa,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMBD,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMZD,muhasa,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFZS,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMBS,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFBeS,mama,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mFByS,mwanakwetu,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMZeS,mama,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mMZyS,mwanakwetu,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fF,dada,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fM,yuva,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fS,mswami,,,,AC96(210),bryant_mumford_hehebenasangu_1934,always used with possessive
fD,mwali,,,,AC96(210),bryant_mumford_hehebenasangu_1934,always used with possessive
fFB,dada,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFZ,yuvahengi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMB,yaya,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMZ,yuva,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFZD,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMBD,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFBS,muhasa,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFZS,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMBS,muhisi,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMZS,muhasa,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFBeD,mama,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fFByD,mwanakwetu,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMZeD,mama,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
fMZyD,mwanakwetu,,,,AC96(210),bryant_mumford_hehebenasangu_1934,
mZ,muhasa,,,,AC91(210),guarisma_etudes_1969,
meB,mama,,,,AC91(210),guarisma_etudes_1969,
myB,mwanakwetu,,,,AC91(210),guarisma_etudes_1969,
mFF,kuuku,,,,AC91(210),guarisma_etudes_1969,
mFM,papa,,,,AC91(210),guarisma_etudes_1969,
mMF,kuuku,,,,AC91(210),guarisma_etudes_1969,
mMM,papa,,,,AC91(210),guarisma_etudes_1969,
mBS,mswami,,,,AC91(210),guarisma_etudes_1969,always used with possessive
mBD,mwali,,,,AC91(210),guarisma_etudes_1969,always used with possessive
mZS,mwipwa,,,,AC91(210),guarisma_etudes_1969,always used with possessive
mZD,mwipwa,,,,AC91(210),guarisma_etudes_1969,always used with possessive
meBS,mswami,,,,AC91(210),guarisma_etudes_1969,
myBS,mswami,,,,AC91(210),guarisma_etudes_1969,
meBD,mwali,,,,AC91(210),guarisma_etudes_1969,
myBD,mwali,,,,AC91(210),guarisma_etudes_1969,
meZS,mwipwa,,,,AC91(210),guarisma_etudes_1969,
myZS,mwipwa,,,,AC91(210),guarisma_etudes_1969,
meZD,mwipwa,,,,AC91(210),guarisma_etudes_1969,
myZD,mwipwa,,,,AC91(210),guarisma_etudes_1969,
fB,muhasa,,,,AC91(210),guarisma_etudes_1969,
feZ,mama,,,,AC91(210),guarisma_etudes_1969,
fyZ,mwanakwetu,,,,AC91(210),guarisma_etudes_1969,
fFF,kuuku,,,,AC91(210),guarisma_etudes_1969,
fFM,papa,,,,AC91(210),guarisma_etudes_1969,
fMF,kuuku,,,,AC91(210),guarisma_etudes_1969,
fMM,papa,,,,AC91(210),guarisma_etudes_1969,
fBS,mwipwa,,,,AC91(210),guarisma_etudes_1969,always used with possessive
fBD,mwipwa,,,,AC91(210),guarisma_etudes_1969,always used with possessive
fZS,mswami,,,,AC91(210),guarisma_etudes_1969,always used with possessive
fZD,mwali,,,,AC91(210),guarisma_etudes_1969,always used with possessive
feBS,mwipwa,,,,AC91(210),guarisma_etudes_1969,
fyBS,mwipwa,,,,AC91(210),guarisma_etudes_1969,
feBD,mwipwa,,,,AC91(210),guarisma_etudes_1969,
fyBD,mwipwa,,,,AC91(210),guarisma_etudes_1969,
feZS,mswami,,,,AC91(210),guarisma_etudes_1969,
fyZS,mswami,,,,AC91(210),guarisma_etudes_1969,
feZD,mwali,,,,AC91(210),guarisma_etudes_1969,
fyZD,mwali,,,,AC91(210),guarisma_etudes_1969,
mC,mwana,,,,AC101(46),redmayne_wahehe_1964,
mCC,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
mSS,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
mSD,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
mDS,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
mDD,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
mFeB,dada muvina,,,,AC101(45),redmayne_wahehe_1964,
mFyB,dada mudodo,,,,AC101(45),redmayne_wahehe_1964,
mFeZ,yuvahenge muvina,,,,AC101(45),redmayne_wahehe_1964,rarely used
mFyZ,yuvahenge mudodo,,,,AC101(45),redmayne_wahehe_1964,rarely used
mMeZ,yuva muvina,,,,AC101(47),redmayne_wahehe_1964,
mMyZ,yuva mudodo,,,,AC101(47),redmayne_wahehe_1964,
mMeB,yaya muvina,,,,AC101(47),redmayne_wahehe_1964,rarely used
mMyB,yaya mudodo,,,,AC101(47),redmayne_wahehe_1964,rarely used
mWF,mukwi,,,,AC101(51),redmayne_wahehe_1964,
mWM,mukwi,,,,AC101(51),redmayne_wahehe_1964,
mBW,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mZH,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mWB,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mWZ,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mHB,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mHZ,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
mSW,mwana fyale,,,,AC101(51),redmayne_wahehe_1964,
mSWM,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
mSWF,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
mDH,mukwi,,,,AC101(51),redmayne_wahehe_1964,
mDHM,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
mDHF,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
mFZH,dada,,,,AC101(44),redmayne_wahehe_1964,
mFBW,yuva,,,,AC101(47),redmayne_wahehe_1964,
mMZH,dada,,,,AC101(44),redmayne_wahehe_1964,
mMBW,yuva,,,,AC101(47),redmayne_wahehe_1964,
fC,mwana,,,,AC101(46),redmayne_wahehe_1964,
fCC,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
fSS,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
fSD,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
fDS,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
fDD,mwisukulu,,,,AC101(50),redmayne_wahehe_1964,
fFeB,dada muvina,,,,AC101(45),redmayne_wahehe_1964,
fFyB,dada mudodo,,,,AC101(45),redmayne_wahehe_1964,
fFeZ,yuvahenge muvina,,,,AC101(45),redmayne_wahehe_1964,rarely used
fFyZ,yuvahenge mudodo,,,,AC101(45),redmayne_wahehe_1964,rarely used
fMeZ,yuva muvina,,,,AC101(47),redmayne_wahehe_1964,
fMyZ,yuva mudodo,,,,AC101(47),redmayne_wahehe_1964,
fMeB,yaya muvina,,,,AC101(47),redmayne_wahehe_1964,rarely used
fMyB,yaya mudodo,,,,AC101(47),redmayne_wahehe_1964,rarely used
fHF,dada fyale,,,,AC101(51),redmayne_wahehe_1964,
fHM,yuva fyale,,,,AC101(51),redmayne_wahehe_1964,
fBW,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fZH,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fWB,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fWZ,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fHB,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fHZ,mulamu,,,,AC101(51),redmayne_wahehe_1964,always used with possessive
fSW,mwana fyale,,,,AC101(51),redmayne_wahehe_1964,
fSWM,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
fSWF,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
fDH,mukwi,,,,AC101(51),redmayne_wahehe_1964,
fDHM,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
fDHF,mwiyembe mwiyangu,,,,AC101(51),redmayne_wahehe_1964,
fFZH,dada,,,,AC101(44),redmayne_wahehe_1964,
fFBW,yuva,,,,AC101(47),redmayne_wahehe_1964,
fMZH,dada,,,,AC101(44),redmayne_wahehe_1964,
fMBW,yuva,,,,AC101(47),redmayne_wahehe_1964,
