parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,mwanaa mwaitu,,,,AC69(11),heynan_contrasting_2012,
mZ,mwitu wa mwaitu,,,,AC69(11),heynan_contrasting_2012,
mS,kana,,,,AC69(12),heynan_contrasting_2012,
mS,kamwana,,,,AC69(12),heynan_contrasting_2012,
mD,kana,,,,AC69(12),heynan_contrasting_2012,
mFM,usua,,,,AC69(11),heynan_contrasting_2012,
mMM,usua,,,,AC69(11),heynan_contrasting_2012,
mFB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,
mFZ,ukulu,,,,AC69(11),heynan_contrasting_2012,
mMB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,
mMZ,ukulu,,,,AC69(11),heynan_contrasting_2012,
mBS,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
mBD,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
mZS,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
mZD,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
mW,muka,,,,AC69(11),heynan_contrasting_2012,
mWF,athoni,,,,AC69(12),heynan_contrasting_2012,
mWM,athoni,,,,AC69(12),heynan_contrasting_2012,
mBW,inyiaa Brother's name,,,,AC69(11),heynan_contrasting_2012,
mZH,muume wa Sister's name,,,,AC69(11),heynan_contrasting_2012,
mWB,muthoni,,,,AC69(12),heynan_contrasting_2012,
mWZ,muthoni,,,,AC69(12),heynan_contrasting_2012,
mSW,mukaa mwana,,,,AC69(12),heynan_contrasting_2012,
mDH,muume wa Daughter's name,,,,AC69(12),heynan_contrasting_2012,
mFeB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mFyB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mFeZ,ukulu,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mFyZ,ukulu,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mMeZ,ukulu,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mMyZ,ukulu,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mMeB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
mMyB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,Inferred; NA
meBS,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
myBS,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
meBD,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
myBD,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
meZS,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
myZS,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
meZD,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
myZD,kana,,,,AC69(12),heynan_contrasting_2012,Inferred; normally would just use their name
fB,mwanaa mwaitu,,,,AC69(11),heynan_contrasting_2012,
fZ,mwitu wa mwaitu,,,,AC69(11),heynan_contrasting_2012,
fS,kana,,,,AC69(12),heynan_contrasting_2012,
fS,kamwana,,,,AC69(12),heynan_contrasting_2012,
fD,kana,,,,AC69(12),heynan_contrasting_2012,
fFM,usua,,,,AC69(11),heynan_contrasting_2012,
fMM,usua,,,,AC69(11),heynan_contrasting_2012,
fFB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,
fFZ,ukulu,,,,AC69(11),heynan_contrasting_2012,
fMB,mwendw'au,,,,AC69(11),heynan_contrasting_2012,
fMZ,ukulu,,,,AC69(11),heynan_contrasting_2012,
fBS,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
fBD,kana,,,,AC69(12),heynan_contrasting_2012,normally would just use their name
