parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,rumbu,,,,AC71(23),beidelman_matrilineal_1967,
meB,sekulu,,,,AC71(23),beidelman_matrilineal_1967,
myB,mdodo,,,,AC71(23),beidelman_matrilineal_1967,
mF,tata,,,,AC71(23),beidelman_matrilineal_1967,
mM,mama,,,,AC71(23),beidelman_matrilineal_1967,
mC,mwana,,,,AC71(23),beidelman_matrilineal_1967,
mS,mwana,,,,AC71(23),beidelman_matrilineal_1967,
mD,mwana,,,,AC71(23),beidelman_matrilineal_1967,
mFF,wasaho,,,,AC71(23),beidelman_matrilineal_1967,
mFM,wao,,,,AC71(23),beidelman_matrilineal_1967,
mMF,wasaho,,,,AC71(23),beidelman_matrilineal_1967,
mMM,wao,,,,AC71(23),beidelman_matrilineal_1967,
mCC,mzukulu,,,,AC71(24),beidelman_matrilineal_1967,
mSS,mzukulu,,,,AC71(24),beidelman_matrilineal_1967,
mSD,mzukulu,,,,AC71(24),beidelman_matrilineal_1967,
mDS,mzukulu,,,,AC71(24),beidelman_matrilineal_1967,
mDD,mzukulu,,,,AC71(24),beidelman_matrilineal_1967,
mFB,tata,,,,AC71(23),beidelman_matrilineal_1967,
mFZ,mama sangazi,,,,AC71(23),beidelman_matrilineal_1967,
mMB,mtumba,,,kolo,AC71(23),beidelman_matrilineal_1967,
mMZ,mama,,,,AC71(23),beidelman_matrilineal_1967,
mFeB,tata mkulu,,,,AC71(23),beidelman_matrilineal_1967,
mFyB,tata mdodo,,,,AC71(23),beidelman_matrilineal_1967,
mMeZ,mama mkulu,,,,AC71(23),beidelman_matrilineal_1967,
mMyZ,mama mdodo,,,,AC71(23),beidelman_matrilineal_1967,
mMeB,mtumba mkulu,,,,AC71(23),beidelman_matrilineal_1967,
mMyB,mtumba mdodo,,,,AC71(23),beidelman_matrilineal_1967,
mBS,mwana,,,,AC71(23),beidelman_matrilineal_1967,
mBD,mwana,,,,AC71(23),beidelman_matrilineal_1967,
mZS,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,
mZD,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,
mFZD,mtani,,,,AC71(23),beidelman_matrilineal_1967,
mMBD,mtani,,,,AC71(23),beidelman_matrilineal_1967,
mFZS,mtani,,,,AC71(23),beidelman_matrilineal_1967,
mMBS,mtani,,,,AC71(23),beidelman_matrilineal_1967,
mH,mgosi,,,,AC71(24),beidelman_matrilineal_1967,
mW,mke,,,,AC71(24),beidelman_matrilineal_1967,
mBW,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mZH,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mWB,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mWZ,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mHB,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mHZ,mlamu,,,,AC71(24),beidelman_matrilineal_1967,
mFBW,mama,,,,AC71(23),beidelman_matrilineal_1967,
mMZH,tata,,,,AC71(23),beidelman_matrilineal_1967,
mMBW,mkooyi,,,,AC71(23),beidelman_matrilineal_1967,
mFeZ,mama sangazi,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
mFyZ,mama sangazi,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
meBS,mwana,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
myBS,mwana,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
meBD,mwana,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
myBD,mwana,,,,AC71(23),beidelman_matrilineal_1967,Inferred; NA
meZS,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,Inferred; NA
myZS,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,Inferred; NA
meZD,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,Inferred; NA
myZD,mwihwa,,,,AC71(24),beidelman_matrilineal_1967,Inferred; NA
