parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,muan'etu mulami,,,,AC149(158),morrison_grammar_nodate,
mZ,muan'etu mukuxi,,,,AC149(158),morrison_grammar_nodate,
meB,mukulu,,,,AC149(158),morrison_grammar_nodate,
myB,muakunyi,,,,AC149(158),morrison_grammar_nodate,
meZ,mukulu,,,,AC149 (259),morrison_grammar_nodate,
myZ,muakunyi,,,,AC149 (259),morrison_grammar_nodate,
mF,x',,,,AC149 (13),morrison_grammar_nodate,
mF,tatu,,,,AC149 (13),morrison_grammar_nodate,
mM,mamu,,,,AC149 (13),morrison_grammar_nodate,
mM,nyoku,,,,AC149 (13),morrison_grammar_nodate,
mM,nyin(a),,,,AC149 (13),morrison_grammar_nodate,
mM,baba,,,,AC149 (13),morrison_grammar_nodate,
mC,muana mulela,,,,AC149 (370),morrison_grammar_nodate,
mC,muana,,,,AC149 (370),morrison_grammar_nodate,
mS,muana mulami,,,,AC149 (370),morrison_grammar_nodate,
mS,muana mulela,,,,AC149 (370),morrison_grammar_nodate,
mD,muana mulela,,,,AC149 (370),morrison_grammar_nodate,
mD,muana mukuzi,,,,AC149 (370),morrison_grammar_nodate,
mA,kaku,,,,AC149 (370),morrison_grammar_nodate,
mA,nyinka,,,,AC149 (370),morrison_grammar_nodate,
mPP,kaku,,,,AC149 (13),morrison_grammar_nodate,
mPP,nyinka,,,,AC149 (13),morrison_grammar_nodate,
mFF,kaku,,,,AC149 (198),morrison_grammar_nodate,
mFF,mulumi,,,,AC149 (198),morrison_grammar_nodate,
mFF,nyink(a),,,,AC149 (198),morrison_grammar_nodate,
mFM,kaku,,,,AC149 (198),morrison_grammar_nodate,
mFM,mulumi,,,,AC149 (198),morrison_grammar_nodate,
mFM,nyink(a),,,,AC149 (198),morrison_grammar_nodate,
mMF,kaku,,,,AC149 (198),morrison_grammar_nodate,
mMF,mulumi,,,,AC149 (198),morrison_grammar_nodate,
mMF,nyink(a),,,,AC149 (198),morrison_grammar_nodate,
mMM,kaku,,,,AC149 (198),morrison_grammar_nodate,
mMM,mulumi,,,,AC149 (198),morrison_grammar_nodate,
mMM,nyink(a),,,,AC149 (198),morrison_grammar_nodate,
mCC,muikilu,,,,AC149 (198),morrison_grammar_nodate,
mFB,manseba,,,,AC149 (13),morrison_grammar_nodate,
mFZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mMB,manseba,,,,AC149 (13),morrison_grammar_nodate,
mMZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mFeB,manseba,,,,AC149 (13),morrison_grammar_nodate,
mFyB,tatu,,,,AC149 (370),morrison_grammar_nodate,
mFeZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mFyZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mMeZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mMyZ,mankuxi,,,,AC149 (13),morrison_grammar_nodate,
mMeB,manseba,,,,AC149 (13),morrison_grammar_nodate,
mMyB,manseba,,,,AC149 (13),morrison_grammar_nodate,
