parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,lumbu,,,,AC71(29),beidelman_matrilineal_1967,
meB,kulu,,,,AC71(29),beidelman_matrilineal_1967,
myB,mdodo,,,,AC71(29),beidelman_matrilineal_1967,
mF,baba,,,,AC71(29),beidelman_matrilineal_1967,
mM,mai,,,,AC71(29),beidelman_matrilineal_1967,
mM,mama,,,,AC71(29),beidelman_matrilineal_1967,
mC,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mS,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mD,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mFF,kaka,,,,AC71(29),beidelman_matrilineal_1967,
mFF,kaka sekulu,,,,AC71(29),beidelman_matrilineal_1967,
mFF,babu,,,,AC71(29),beidelman_matrilineal_1967,
mFM,wao,,,,AC71(29),beidelman_matrilineal_1967,
mFM,mama,,,,AC71(29),beidelman_matrilineal_1967,
mMF,kaka,,,,AC71(29),beidelman_matrilineal_1967,
mMF,kaka sekulu,,,,AC71(29),beidelman_matrilineal_1967,
mMF,babu,,,,AC71(29),beidelman_matrilineal_1967,
mMM,wao,,,,AC71(29),beidelman_matrilineal_1967,
mMM,mama,,,,AC71(29),beidelman_matrilineal_1967,
mCC,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
mSS,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
mSD,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
mDS,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
mDD,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
mFB,baba,,,,AC71(29),beidelman_matrilineal_1967,
mFZ,mai shangazi,,,,AC71(29),beidelman_matrilineal_1967,
mFZ,mama shangazi,,,,AC71(29),beidelman_matrilineal_1967,
mMB,mkolo,,,,AC71(29),beidelman_matrilineal_1967,
mMB,mtumba,,,,AC71(29),beidelman_matrilineal_1967,
mMB,mjomba,,,,AC71(29),beidelman_matrilineal_1967,
mMZ,mai,,,,AC71(29),beidelman_matrilineal_1967,
mMZ,mama,,,,AC71(29),beidelman_matrilineal_1967,
mFeB,baba mkulu,,,,AC71(29),beidelman_matrilineal_1967,
mFyB,baba mdodo,,,,AC71(29),beidelman_matrilineal_1967,
mMeZ,mai mkulu,,,,AC71(29),beidelman_matrilineal_1967,
mMyZ,mai mdodo,,,,AC71(29),beidelman_matrilineal_1967,
mBS,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mBD,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mZS,mhwewe,,,,AC71(30),beidelman_matrilineal_1967,
mZD,mhwewe,,,,AC71(30),beidelman_matrilineal_1967,
mFZD,mtani,,,,AC71(29),beidelman_matrilineal_1967,
mFBD,lumbu,,,mdodo,AC71(29),beidelman_matrilineal_1967,
mFBD,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mMBD,mtani,,,,AC71(29),beidelman_matrilineal_1967,
mMZD,lumbu,,,mdodo,AC71(29),beidelman_matrilineal_1967,
mFBS,kulu,,,mdodo,AC71(29),beidelman_matrilineal_1967,
mFBS,mwana,,,,AC71(29),beidelman_matrilineal_1967,
mFZS,mtani,,,,AC71(29),beidelman_matrilineal_1967,
mMBS,mtani,,,,AC71(29),beidelman_matrilineal_1967,
mMZS,kulu,,,mdodo,AC71(29),beidelman_matrilineal_1967,
mH,mumale,,,,AC71(30),beidelman_matrilineal_1967,
mW,mke,,,,AC71(30),beidelman_matrilineal_1967,
mHF,mkwe,,,,AC71(30),beidelman_matrilineal_1967,
mHM,mkwe,,,,AC71(30),beidelman_matrilineal_1967,
mWF,mkwe,,,,AC71(30),beidelman_matrilineal_1967,
mWM,mkwe,,,,AC71(30),beidelman_matrilineal_1967,
mBW,wifi,,,,AC71(30),beidelman_matrilineal_1967,
mZH,mlamu,,,,AC71(30),beidelman_matrilineal_1967,
mWB,mlamu,,,,AC71(30),beidelman_matrilineal_1967,
mWZ,mlamu,,,,AC71(30),beidelman_matrilineal_1967,
mHB,mlamu,,,,AC71(30),beidelman_matrilineal_1967,
mHZ,mlamu,,,,AC71(30),beidelman_matrilineal_1967,
mMBW,mke,,,,AC71(30),beidelman_matrilineal_1967,
fB,lumbu,,,,AC71(29),beidelman_matrilineal_1967,
feZ,kulu,,,,AC71(29),beidelman_matrilineal_1967,
fyZ,mdodo,,,,AC71(29),beidelman_matrilineal_1967,
fF,baba,,,,AC71(29),beidelman_matrilineal_1967,
fM,mai,,,,AC71(29),beidelman_matrilineal_1967,
fM,mama,,,,AC71(29),beidelman_matrilineal_1967,
fC,mwana,,,,AC71(29),beidelman_matrilineal_1967,
fS,mwana,,,,AC71(29),beidelman_matrilineal_1967,
fD,mwana,,,,AC71(29),beidelman_matrilineal_1967,
fFF,kaka,,,,AC71(29),beidelman_matrilineal_1967,
fFF,kaka sekulu,,,,AC71(29),beidelman_matrilineal_1967,
fFF,babu,,,,AC71(29),beidelman_matrilineal_1967,
fFM,wao,,,,AC71(29),beidelman_matrilineal_1967,
fFM,mama,,,,AC71(29),beidelman_matrilineal_1967,
fMF,kaka,,,,AC71(29),beidelman_matrilineal_1967,
fMF,kaka sekulu,,,,AC71(29),beidelman_matrilineal_1967,
fMF,babu,,,,AC71(29),beidelman_matrilineal_1967,
fMM,wao,,,,AC71(29),beidelman_matrilineal_1967,
fMM,mama,,,,AC71(29),beidelman_matrilineal_1967,
fCC,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
fSS,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
fSD,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
fDS,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
fDD,mjukulu,,,,AC71(30),beidelman_matrilineal_1967,
fFB,baba,,,,AC71(29),beidelman_matrilineal_1967,
fFZ,mai shangazi,,,,AC71(29),beidelman_matrilineal_1967,
fFZ,mama shangazi,,,,AC71(29),beidelman_matrilineal_1967,
fMB,mkolo,,,,AC71(29),beidelman_matrilineal_1967,
fMB,mtumba,,,,AC71(29),beidelman_matrilineal_1967,
fMB,mjomba,,,,AC71(29),beidelman_matrilineal_1967,
fMZ,mai,,,,AC71(29),beidelman_matrilineal_1967,
fMZ,mama,,,,AC71(29),beidelman_matrilineal_1967,
fFeB,baba mkulu,,,,AC71(29),beidelman_matrilineal_1967,
fFyB,baba mdodo,,,,AC71(29),beidelman_matrilineal_1967,
fMeZ,mai mkulu,,,,AC71(29),beidelman_matrilineal_1967,
