parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mFZ,mwarewaaba,,,,AC71(150),beidelman_matrilineal_1967,
mMB,muntuetû,,,,AC71(150),beidelman_matrilineal_1967,
mH,muntû wa,,,,AC71(157),beidelman_matrilineal_1967,unclear
fFZ,mwarewaaba,,,,AC71(150),beidelman_matrilineal_1967,
fMB,muntuetû,,,,AC71(150),beidelman_matrilineal_1967,
fH,muntû wa,,,,AC71(157),beidelman_matrilineal_1967,unclear
mB,mutaanocia,,,,AC72(149),peatrik_vie_1999,
mZ,mwareocia,,,,AC72(149),peatrik_vie_1999,
meB,mutaanocia mûkûrû,,,,AC72(148),peatrik_vie_1999,
myB,mutaanocia mwanake,,,,AC72(148),peatrik_vie_1999,
meZ,mwareocia mûkûrû,,,,AC72(148),peatrik_vie_1999,
myZ,mwareocia mwanake,,,,AC72(148),peatrik_vie_1999,
mF,baaba,,,,AC72(148),peatrik_vie_1999,
mM,icia,,,,AC72(149),peatrik_vie_1999,
mC,mwana,,,,AC72(152),peatrik_vie_1999,
mS,baaba,,,,AC72(148),peatrik_vie_1999,
mD,mwareokwa,,,,AC72(150),peatrik_vie_1999,
mPP,jûûjû,,,,AC72(147),peatrik_vie_1999,
mFF,jûûjû,,,,AC72(147),peatrik_vie_1999,
mFM,jûûjû,,,,AC72(147),peatrik_vie_1999,
mMF,jûûjû,,,,AC72(147),peatrik_vie_1999,
mMM,jûûjû,,,,AC72(147),peatrik_vie_1999,
mCC,jûûjû,,,,AC72(147),peatrik_vie_1999,
mSS,jûûjû,,,,AC72(147),peatrik_vie_1999,
mSD,jûûjû,,,,AC72(147),peatrik_vie_1999,
mDS,jûûjû,,,,AC72(147),peatrik_vie_1999,
mDD,jûûjû,,,,AC72(147),peatrik_vie_1999,
mFeB,baaba mûkûrû,,,,AC72(148),peatrik_vie_1999,
mFyB,baaba mwanake,,,,AC72(148),peatrik_vie_1999,
mFBD,mwareocia,,,,AC72(149),peatrik_vie_1999,
mMBD,icia,,,,AC72(150),peatrik_vie_1999,
mMZD,ndûgû,,,,AC72(150),peatrik_vie_1999,can marry
mFBS,mutaanocia,,,,AC72(149),peatrik_vie_1999,
mFZS,mwonomware waaba,,,,AC72(150),peatrik_vie_1999,
mMBS,muntuetû,,,,AC72(150),peatrik_vie_1999,
mMZS,ndûgû,,,,AC72(150),peatrik_vie_1999,can marry
mW,cio,,,,AC72(156),peatrik_vie_1999,
mW,muka,,,,AC72(156),peatrik_vie_1999,
mHF,baaba baîîre,,,,AC72(157),peatrik_vie_1999,
mHM,icia,,,,AC72(157),peatrik_vie_1999,
mWF,ithenthaka,,,,AC72(148),peatrik_vie_1999,
mWF,muramû baaba,,,,AC72(156),peatrik_vie_1999,
mWM,inonthaka,,,,AC72(149),peatrik_vie_1999,
mWM,muramû icia,,,,AC72(156),peatrik_vie_1999,
