parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
feZD,in-do-da-kä´-ze yä´-me,,female speaker's older sister's daughter,,,,
fyZD,in-do-da-kä´-ze yä´-me,,female speaker's younger sister's daughter,,,,
fD,in-do-dä-kä´-ze yä´-me,,female speaker's daughter,,,,
feBD,in-do-dä-kä´-ze yä´-me,,female speaker's older brother's daughter,,,,
fyBD,in-do-dä-kä´-ze yä´-me,,female speaker's younger brother's daughter,,,,
mD,in-do-dä-kä´-ze yä´-me,,male speaker's daughter,,,,
meBD,in-do-dä´-kä´-se yä´-me,,male speaker's older brother's daughter,,,,
myBD,in-do-dä´-kä´-se yä´-me,,male speaker's younger brother's daughter,,,,
meZD,in-do-dä´-kä´-ze yä´-me,,male speaker's older sister's daughter,,,,
myZD,in-do-dä´-kä´-ze yä´-me,,male speaker's younger sister's daughter,,,,
feBS,in-do-dä´-nä yä´-me,,female speaker's older brother's son,,,,
fyBS,in-do-dä´-nä yä´-me,,female speaker's younger brother's son,,,,
meBS,in-do-dä´-nä yä´-me,,male speaker's older brother's son,,,,
meZS,in-do-dä´-nä yä´-me,,male speaker's older sister's son,,,,
myBS,in-do-dä´-nä yä´-me,,male speaker's younger brother's son,,,,
myZS,in-do-dä´-nä yä´-me,,male speaker's younger sister's son,,,,
feZS,in-do-dä´-nä´ yä´- me,,female speaker's older sister's son,,,,
fyZS,in-do-dä´-nä´ yä´- me,,female speaker's younger sister's son,,,,
fS,in-do-dä´nä yä´-me,,female speaker's son,,,,
mS,in-do-dä´nä yä´-me,,male speaker's son,,,,
fFeB,u-bä-bä-kä´-sa,,female speaker's father's older brother,,,,
fFyB,u-bä-bä-kä´-sa,,female speaker's father's younger brother,,,,
mFeB,u-bä-bä-kä´-sa,,male speaker's father's older brother,,,,
mFyB,u-bä-bä-kä´-sa,,male speaker's father's younger brother,,,,
fF,u-bä'-bä,,female speaker's father,,,,
mF,u-bä'-bä,,male speaker's father,,,,
fFF,u-bä'-bä kǔ'-lǔ,,female speaker's father's father,,,,
fMF,u-bä'-bä kǔ'-lǔ,,female speaker's mother's father,,,,
mFF,u-bä'-bä kǔ'-lǔ,,male speaker's father's father,,,,
mMF,u-bä'-bä kǔ'-lǔ,,male speaker's mother's father,,,,
fFeZ,u-bä´-bä,,female speaker's father's older sister,,,,
fFyZ,u-bä´-bä,,female speaker's father's younger sister,,,,
mFeZ,u-bä´-bä,,male speaker's father's older sister,,,,
mFyZ,u-bä´-bä,,male speaker's father's younger sister,,,,
myZ,u-dä-da wa´-tǔ,,male speaker's younger sister,,,,
feZ,u-dä´-da wa´-tǔ,,female speaker's older sister,,,,
meZ,u-dä´-da wa´-tǔ,,male speaker's older sister,,,,
fFBeD,u-dä´-dä wä´-tǔ,,female speaker's father's brother's older daughter,,,,
fFByD,u-dä´-dä wä´-tǔ,,female speaker's father's brother's younger daughter,,,,
fMZeD,u-dä´-dä wä´-tǔ,,female speaker's mother's sister's older daughter,,,,
fMZyD,u-dä´-dä wä´-tǔ,,female speaker's mother's sister's younger daughter,,,,
mFBeD,u-dä´-dä wä´-tǔ,,male speaker's father's brother's older daughter,,,,
mFByD,u-dä´-dä wä´-tǔ,,male speaker's father's brother's younger daughter,,,,
mMZeD,u-dä´-dä wä´-tǔ,,male speaker's mother's sister's older daughter,,,,
mMZyD,u-dä´-dä wä´-tǔ,,male speaker's mother's sister's younger daughter,,,,
fyZ,u-dá´da wa´-tǔ,,female speaker's younger sister,,,,
fMeB,u-mä-lǔ´-mä,,female speaker's mother's older brother,,,,
fMyB,u-mä-lǔ´-mä,,female speaker's mother's younger brother,,,,
mMeB,u-mä-lǔ´-mä,,male speaker's mother's older brother,,,,
mMyB,u-mä-lǔ´-mä,,male speaker's mother's younger brother,,,,
fFM,u-mä'-me kǔlǔ,,female speaker's father's mother,,,,
