"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mA","mbút",,,,"AC42(130)","muluwa_immediate_2014",""
"mFB","malim",,,,"AC42(125)","muluwa_immediate_2014",""
"mMB","malim",,,,"AC42(125)","muluwa_immediate_2014",""
"mW","kℇ'ts",,,,"AC42(127)","muluwa_immediate_2014",""
"mFeB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"mFyB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"mMeB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"mMyB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"fA","mbút",,,,"AC42(130)","muluwa_immediate_2014",""
"fFB","malim",,,,"AC42(125)","muluwa_immediate_2014",""
"fMB","malim",,,,"AC42(125)","muluwa_immediate_2014",""
"fW","kℇ'ts",,,,"AC42(127)","muluwa_immediate_2014",""
"fFeB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"fFyB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"fMeB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"fMyB","malim",,,,"AC42(125)","muluwa_immediate_2014","Inferred; NA"
"meB","yéy",,,,"AC59(99)","muluwa_lexique_2015",""
"myB","lék",,,,"AC59(99)","muluwa_lexique_2015",""
"meZ","yéy",,,,"AC59(99)","muluwa_lexique_2015",""
"myZ","lék",,,,"AC59(99)","muluwa_lexique_2015",""
"mP","mpen",,,,"AC59(136)","muluwa_lexique_2015",""
"mA","ekúb",,,,"AC59(53)","muluwa_lexique_2015",""
"mPP","nkâ",,,,"AC59(104)","muluwa_lexique_2015",""
"mCC","mótil",,,,"AC59(141)","muluwa_lexique_2015",""
"mSS","mótil",,,,"AC59(141)","muluwa_lexique_2015",""
"mSD","mótil",,,,"AC59(141)","muluwa_lexique_2015",""
"mDS","mótil",,,,"AC59(141)","muluwa_lexique_2015",""
"mDD","mótil",,,,"AC59(141)","muluwa_lexique_2015",""
"mFB","târ",,,,"AC59(131)","muluwa_lexique_2015",""
"mFZ","târ mↄkånd",,,,"AC59(166)","muluwa_lexique_2015",""
"mMB","ngwâs",,,,"AC59(131)","muluwa_lexique_2015",""
"mMZ","mâm",,,,"AC59(166)","muluwa_lexique_2015",""
"mBS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015",""
"mBD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015",""
"mZS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015",""
"mZD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015",""
"mFZD","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mFBD","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mMBD","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mMZD","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mFBS","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mFZS","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mMBS","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mMZS","mótil",,,,"AC59(76)","muluwa_lexique_2015",""
"mW","mↄkets",,,,"AC59(88)","muluwa_lexique_2015",""
"mHF","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mHM","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mWF","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mWM","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mBW","kwér",,,,"AC59(59)","muluwa_lexique_2015",""
"mZH","kwer",,,,"AC59(59)","muluwa_lexique_2015",""
"mZH","nzel",,,,"AC59(59)","muluwa_lexique_2015",""
"mWB","kwer",,,,"AC59(59)","muluwa_lexique_2015",""
"mWB","nzel",,,,"AC59(59)","muluwa_lexique_2015",""
"mWZ","kwér",,,,"AC59(59)","muluwa_lexique_2015",""
"mHB","kwer",,,,"AC59(59)","muluwa_lexique_2015",""
"mHB","nzel",,,,"AC59(59)","muluwa_lexique_2015",""
"mHZ","kwér",,,,"AC59(59)","muluwa_lexique_2015",""
"mco-W","ḿpal",,,,"AC59(74)","muluwa_lexique_2015",""
"mSW","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mDH","(b)ↄkↄ",,,,"AC59(59)","muluwa_lexique_2015",""
"mFeB","târ",,,,"AC59(131)","muluwa_lexique_2015","Inferred; NA"
"mFyB","târ",,,,"AC59(131)","muluwa_lexique_2015","Inferred; NA"
"mFeZ","târ mↄkånd",,,,"AC59(166)","muluwa_lexique_2015","Inferred; NA"
"mFyZ","târ mↄkånd",,,,"AC59(166)","muluwa_lexique_2015","Inferred; NA"
"mMeZ","mâm",,,,"AC59(166)","muluwa_lexique_2015","Inferred; NA"
"mMyZ","mâm",,,,"AC59(166)","muluwa_lexique_2015","Inferred; NA"
"mMeB","ngwâs",,,,"AC59(131)","muluwa_lexique_2015","Inferred; NA"
"mMyB","ngwâs",,,,"AC59(131)","muluwa_lexique_2015","Inferred; NA"
"meBS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"myBS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"meBD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"myBD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"meZS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"myZS","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"meZD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"myZD","mwân á mpen",,,,"AC59(126)","muluwa_lexique_2015","Inferred; NA"
"mFeBS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFyBS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFeZS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFyZS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFeBD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFyBD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFeZD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mFyZD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMeBS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMyBS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMeZS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMyZS","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMeBD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMyBD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
"mMeZD","mótil",,,,"AC59(76)","muluwa_lexique_2015","Inferred; NA"
