parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mP,inshuti,,,,AC110(418),delhaise_ethnographie_1908,
mC,umwåna,,,,AC110(418),delhaise_ethnographie_1908,
mA,basòkuruza,,,,AC110(418),delhaise_ethnographie_1908,plural
mH,umugabo,,,,AC110(418),delhaise_ethnographie_1908,
mW,umukazi,,,,AC110(418),delhaise_ethnographie_1908,
mZH,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
mWB,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
mWZ,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
mHB,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
mHZ,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
fP,inshuti,,,,AC110(418),delhaise_ethnographie_1908,
fC,umwåna,,,,AC110(418),delhaise_ethnographie_1908,
fA,basòkuruza,,,,AC110(418),delhaise_ethnographie_1908,plural
fH,umugabo,,,,AC110(418),delhaise_ethnographie_1908,
fW,umukazi,,,,AC110(418),delhaise_ethnographie_1908,
fZH,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
fWB,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
fWZ,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
fHB,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
fHZ,mulamwanye,,,,AC110(418),delhaise_ethnographie_1908,
mZ,mushikanje,,,,AC119(619),rodegem_dictionnaire_1970,
meB,mukúruwanje,,,,AC119(619),rodegem_dictionnaire_1970,
myB,murúmunanje,,,,AC119(619),rodegem_dictionnaire_1970,
mF,dåtá,,,,AC119(616),rodegem_dictionnaire_1970,
mM,måmá,,,,AC119(616),rodegem_dictionnaire_1970,
mS,muhüngu,,,,AC119(617),rodegem_dictionnaire_1970,
mD,mukôbwa,,,,AC119(617),rodegem_dictionnaire_1970,
mPP,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
mFF,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
mFM,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
mMF,nyogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
mMM,nyogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
mCC,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mSS,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mSD,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mDS,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mDD,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mFB,dåtá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
mFZ,sengé,,,,AC119(618),rodegem_dictionnaire_1970,
mMB,mårúme,,,,AC119(618),rodegem_dictionnaire_1970,
mMZ,måmá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
mFZD,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
mFBD,mushikâcu,,,,AC119(621),rodegem_dictionnaire_1970,
mMBD,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
mFZS,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
mMBS,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
mMZS,mwéne-måmá-wåcu,,,,AC119(621),rodegem_dictionnaire_1970,
mHF,dåtábukwé,,,,AC119(616),rodegem_dictionnaire_1970,
mHM,måbukwé,,,,AC119(616),rodegem_dictionnaire_1970,
mWF,dåtábukwé,,,,AC119(616),rodegem_dictionnaire_1970,
mWM,måbukwé,,,,AC119(616),rodegem_dictionnaire_1970,
mco-W,mugóranje,,,,AC119(616),rodegem_dictionnaire_1970,
mFW(notM),mukâ-dåtá,,,,AC119(616),rodegem_dictionnaire_1970,
mSW,umukazâna-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mDH,umukwé-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
mFZH,umugabo wa séngé,,,,AC119(618),rodegem_dictionnaire_1970,
mFBW,mukâ-dåtá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
mMZH,umugabo wa måmá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
mMBW,mukâ mårúme,,,,AC119(618),rodegem_dictionnaire_1970,
fZ,mwéne-wâcu,,,,AC119(619),rodegem_dictionnaire_1970,
feZ,mukúruwanje,,,,AC119(620),rodegem_dictionnaire_1970,
fyZ,murúmunanje,,,,AC119(620),rodegem_dictionnaire_1970,
fF,dåtá,,,,AC119(616),rodegem_dictionnaire_1970,
fM,måmá,,,,AC119(616),rodegem_dictionnaire_1970,
fS,muhüngu,,,,AC119(617),rodegem_dictionnaire_1970,
fD,mukôbwa,,,,AC119(617),rodegem_dictionnaire_1970,
fPP,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
fFF,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
fFM,sogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
fMF,nyogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
fMM,nyogókuru,,,,AC119(616),rodegem_dictionnaire_1970,
fCC,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
fSS,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
fSD,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
fDS,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
fDD,umwüzukuru-wanje,,,,AC119(617),rodegem_dictionnaire_1970,
fFB,dåtá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
fFZ,sengé,,,,AC119(618),rodegem_dictionnaire_1970,
fMB,mårúme,,,,AC119(618),rodegem_dictionnaire_1970,
fMZ,måmá-wåcu,,,,AC119(618),rodegem_dictionnaire_1970,
fFZD,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
fFBD,mwéne-dåtá-wåcu,,,,AC119(621),rodegem_dictionnaire_1970,
fMBD,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
fFZS,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
fMBS,muvyâranje,,,,AC119(621),rodegem_dictionnaire_1970,
fMZS,mwéne-måmá-wåcu,,,,AC119(621),rodegem_dictionnaire_1970,
