parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,nsanga,,,,AC99(794),holman_bentley_appendix_1895,
meB,mpangi,,,,AC99(27),holman_bentley_appendix_1895,
myB,mbunji,,,,AC99(27),holman_bentley_appendix_1895,
meZ,mpangi,,,,AC99(194),holman_bentley_appendix_1895,
myZ,mbunji,,,,AC99(194),holman_bentley_appendix_1895,
mF,tata,,,ese,AC99(80),holman_bentley_appendix_1895,
mM,ngwa,,,ngudi,AC99(140),holman_bentley_appendix_1895,
mC,mwana,,,,AC99(732),holman_bentley_appendix_1895,
mS,mwana,,,,AC99(199),holman_bentley_appendix_1895,
mD,mwana,,,ankento,AC99(52),holman_bentley_appendix_1895,
mA,nkulu,,,,AC99(723),holman_bentley_appendix_1895,
mPP,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
mFF,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
mFM,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
mMF,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
mMM,nkayi,,,,AC99(140),holman_bentley_appendix_1895,
mCC,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
mSS,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
mSD,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
mDS,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
mDD,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
mMB,ngudi,,,,AC99(227),holman_bentley_appendix_1895,
mMZ,ngudi,,,,AC99(14),holman_bentley_appendix_1895,
mFeB,mpangi a tata,,,,AC99(227),holman_bentley_appendix_1895,not considered in any way as a relative
mFyB,mbunji a tata,,,,AC99(227),holman_bentley_appendix_1895,not considered in any way as a relative
mBS,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
mBD,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
mZS,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
mZD,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
mFZD,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mFBD,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mMBD,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mMZD,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mFBS,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mFZS,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mMBS,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mMZS,mwana a ngwa ankaji,,,,AC99(48),holman_bentley_appendix_1895,the degree of relationship is always most indefinitely expressed
mH,nkama,,,,AC99(761),holman_bentley_appendix_1895,
mW,nkama,,,,AC99(811),holman_bentley_appendix_1895,
mHF,ko,,,njitu,AC99(80),holman_bentley_appendix_1895,
mHM,ko,,,,AC99(771),holman_bentley_appendix_1895,
mWF,ko,,,njitu,AC99(80),holman_bentley_appendix_1895,
mWM,ko,,,,AC99(771),holman_bentley_appendix_1895,
mBW,nzadi,,,,AC99(194),holman_bentley_appendix_1895,
mZH,nzadi,,,,AC99(27),holman_bentley_appendix_1895,
mWB,nzadi,,,,AC99(27),holman_bentley_appendix_1895,
mWZ,nzadi,,,,AC99(194),holman_bentley_appendix_1895,
mHB,nzadi,,,,AC99(27),holman_bentley_appendix_1895,
mHZ,nzadi,,,,AC99(194),holman_bentley_appendix_1895,
mco-W,nkaza a toko,,,yitu,AC99(811),holman_bentley_appendix_1895,
mSW,nkento osompelo kwa mwana aku,,,,AC99(52),holman_bentley_appendix_1895,
mDH,mwana a longo,,,,AC99(740),holman_bentley_appendix_1895,
fB,nsanga,,,,AC99(730),holman_bentley_appendix_1895,
feB,mpangi,,,,AC99(27),holman_bentley_appendix_1895,
fyB,mbunji,,,,AC99(27),holman_bentley_appendix_1895,
feZ,mpangi,,,,AC99(194),holman_bentley_appendix_1895,
fyZ,mbunji,,,,AC99(194),holman_bentley_appendix_1895,
fF,tata,,,ese,AC99(80),holman_bentley_appendix_1895,
fM,ngwa,,,ngudi,AC99(140),holman_bentley_appendix_1895,
fC,mwana,,,,AC99(732),holman_bentley_appendix_1895,
fS,mwana,,,,AC99(199),holman_bentley_appendix_1895,
fD,mwana,,,ankento,AC99(52),holman_bentley_appendix_1895,
fA,nkulu,,,,AC99(723),holman_bentley_appendix_1895,
fPP,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
fFF,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
fFM,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
fMF,nkaka,,,,AC99(756),holman_bentley_appendix_1895,
fMM,nkayi,,,,AC99(140),holman_bentley_appendix_1895,
fCC,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
fSS,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
fSD,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
fDS,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
fDD,ntekolo,,,,AC99(97),holman_bentley_appendix_1895,
fMB,ngudi,,,,AC99(227),holman_bentley_appendix_1895,
fMZ,ngudi,,,,AC99(14),holman_bentley_appendix_1895,
fFeB,mpangi a tata,,,,AC99(227),holman_bentley_appendix_1895,not considered in any way as a relative
fFyB,mbunji a tata,,,,AC99(227),holman_bentley_appendix_1895,not considered in any way as a relative
fBS,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
fBD,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
fZS,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
fZD,mwana-ankaji,,,,AC99(144),holman_bentley_appendix_1895,
