"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","mbonu",,,,"AC7(122)","mayer_histoire_2002",""
"myB","ndembi",,,,"AC7(122)","mayer_histoire_2002",""
"meZ","kodu",,,,"AC7(122)","mayer_histoire_2002",""
"myZ","kodu",,,,"AC7(122)","mayer_histoire_2002",""
"mF","tata",,,,"AC7(116)","mayer_histoire_2002",""
"mM","yayè",,,,"AC7(112)","mayer_histoire_2002",""
"mFB","tata",,,,"AC7(116)","mayer_histoire_2002",""
"mFZ","mamonimbé",,,,"AC7(116)","mayer_histoire_2002",""
"mMB","kokwè",,,,"AC7(114)","mayer_histoire_2002",""
"mMZ","yayè",,,,"AC7(112)","mayer_histoire_2002",""
"mFeB","tata",,,,"AC7(116)","mayer_histoire_2002","Inferred; NA"
"mFyB","tata",,,,"AC7(116)","mayer_histoire_2002","Inferred; NA"
"mFeZ","mamonimbé",,,,"AC7(116)","mayer_histoire_2002","Inferred; NA"
"mFyZ","mamonimbé",,,,"AC7(116)","mayer_histoire_2002","Inferred; NA"
"mMeZ","yayè",,,,"AC7(112)","mayer_histoire_2002","Inferred; NA"
"mMyZ","yayè",,,,"AC7(112)","mayer_histoire_2002","Inferred; NA"
"mMeB","kokwè",,,,"AC7(114)","mayer_histoire_2002","Inferred; NA"
"mMyB","kokwè",,,,"AC7(114)","mayer_histoire_2002","Inferred; NA"
"feB","ndomu",,,,"AC7(122)","mayer_histoire_2002",""
"fyB","ndomu",,,,"AC7(122)","mayer_histoire_2002",""
"feZ","mbomu",,,,"AC7(122)","mayer_histoire_2002",""
"fyZ","ndembi",,,,"AC7(122)","mayer_histoire_2002",""
