"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mS","mwana kagosîa",,,"","AC84(150)","last_polyglotta_1885",""
"mD","mwana musheki",,,"","AC84(150)","last_polyglotta_1885",""
"mW","muke",,,"","AC84(150)","last_polyglotta_1885",""
"fS","mwana kagosîa",,,"","AC84(150)","last_polyglotta_1885",""
"fD","mwana musheki",,,"","AC84(150)","last_polyglotta_1885",""
"fW","muke",,,"","AC84(150)","last_polyglotta_1885",""
"meB","kulu",,,"nkulu","AC82(49)","mann_vocabulary_1966",""
"myB","zpua",,,"nzana","AC82(84)","mann_vocabulary_1966",""
"mP","þiaji",,,"","AC82(15)","mann_vocabulary_1966",""
"mF","þaaþå",,,"","AC82(6)","mann_vocabulary_1966",""
"mM","maayu",,,"","AC82(55)","mann_vocabulary_1966",""
"mC","ana",,,"mwana","AC82(2)","mann_vocabulary_1966",""
"mFF","guukub",,,"","AC82(29)","mann_vocabulary_1966",""
"mFM","maama",,,"","AC82(55)","mann_vocabulary_1966",""
"mMF","guukub",,,"","AC82(29)","mann_vocabulary_1966",""
"mMM","maama",,,"","AC82(55)","mann_vocabulary_1966",""
"mSS","zukulu",,,"","AC82(42)","mann_vocabulary_1966",""
"mDS","zukulu",,,"","AC82(42)","mann_vocabulary_1966",""
"mMB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966",""
"mZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966",""
"mH","goo's",,,"namu","AC82(28)","mann_vocabulary_1966",""
"mHF","iaapa-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"mHM","ilmaayo-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"mWF","iaapa-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"mWM","ilmaayo-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"mBW","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mZH","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mWB","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mWZ","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mHB","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mHZ","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"mSW","gigijye",,,"","AC82(26)","mann_vocabulary_1966",""
"mDH","gigijye",,,"","AC82(26)","mann_vocabulary_1966",""
"mMeB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966","Inferred; NA"
"mMyB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966","Inferred; NA"
"meZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966","Inferred; NA"
"myZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966","Inferred; NA"
"feB","kulu",,,"nkulu","AC82(49)","mann_vocabulary_1966",""
"fyB","zpua",,,"nzana","AC82(84)","mann_vocabulary_1966",""
"fP","þiaji",,,"","AC82(15)","mann_vocabulary_1966",""
"fF","þaaþå",,,"","AC82(6)","mann_vocabulary_1966",""
"fM","maayu",,,"","AC82(55)","mann_vocabulary_1966",""
"fC","ana",,,"mwana","AC82(2)","mann_vocabulary_1966",""
"fFF","guukub",,,"","AC82(29)","mann_vocabulary_1966",""
"fFM","maama",,,"","AC82(55)","mann_vocabulary_1966",""
"fMF","guukub",,,"","AC82(29)","mann_vocabulary_1966",""
"fMM","maama",,,"","AC82(55)","mann_vocabulary_1966",""
"fSS","zukulu",,,"","AC82(42)","mann_vocabulary_1966",""
"fDS","zukulu",,,"","AC82(42)","mann_vocabulary_1966",""
"fMB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966",""
"fZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966",""
"fH","goo's",,,"namu","AC82(28)","mann_vocabulary_1966",""
"fHF","iaapa-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"fHM","ilmaayo-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"fWF","iaapa-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"fWM","ilmaayo-puko",,,"","AC82(47)","mann_vocabulary_1966",""
"fBW","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fZH","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fWB","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fWZ","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fHB","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fHZ","ikwela'",,,"","AC82(50)","mann_vocabulary_1966",""
"fSW","gigijye",,,"","AC82(26)","mann_vocabulary_1966",""
"fDH","gigijye",,,"","AC82(26)","mann_vocabulary_1966",""
"fMeB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966","Inferred; NA"
"fMyB","maarrub",,,"mami","AC82(55)","mann_vocabulary_1966","Inferred; NA"
"feZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966","Inferred; NA"
"fyZS","ipfa",,,"","AC82(41)","mann_vocabulary_1966","Inferred; NA"
"mB","ndugu",,,"lumbu","AC83(565)","masele_linguistic_2001",""
"mZ","iluumbu",,,"mvuna","AC83(591)","masele_linguistic_2001",""
"mFZ","sèèngi",,,"","AC83(562)","masele_linguistic_2001",""
"mW","nkiima",,,"","AC83(599)","masele_linguistic_2001",""
"mFeZ","sèèngi",,,"","AC83(562)","masele_linguistic_2001","Inferred; NA"
"mFyZ","sèèngi",,,"","AC83(562)","masele_linguistic_2001","Inferred; NA"
"fB","ndugu",,,"lumbu","AC83(565)","masele_linguistic_2001",""
"fZ","iluumbu",,,"mvuna","AC83(591)","masele_linguistic_2001",""
