parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mMZ,ngúé,,,,AC47(110),bahuchet_dans_1992,
mFeB,táé,,,,AC47(110),bahuchet_dans_1992,
mMBD,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
mMZD,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
mMBS,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
mMZS,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
fMZ,ngúé,,,,AC47(110),bahuchet_dans_1992,
fFeB,táé,,,,AC47(110),bahuchet_dans_1992,
fMBD,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
fMZD,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
fMBS,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
fMZS,mɔ̀ná,,,,AC47(110),bahuchet_dans_1992,
fBW,béndé,,,,AC47(118),bahuchet_dans_1992,
fWZ,béndé,,,,AC47(118),bahuchet_dans_1992,
fHZ,béndé,,,,AC47(118),bahuchet_dans_1992,
mZH,béndé,,,,AC46(43),bahuchet_dans_1992,
mWB,béndé,,,,AC46(43),bahuchet_dans_1992,
mHB,béndé,,,,AC46(43),bahuchet_dans_1992,
fZH,mó.kɔ̀pè,,,,AC46(43),bahuchet_dans_1992,
fWB,mó.kìó,,,,AC46(43),bahuchet_dans_1992,
fHB,mó.kɔ̀pè,,,,AC46(43),bahuchet_dans_1992,
mG,kádf,,,,AC48(88),bahuchet_les_1985,
mP,bìlà,,,,AC48(46),bahuchet_les_1985,
mS,bánà,,,,AC48(356),bahuchet_les_1985,
mD,bánà,,,,AC48(356),bahuchet_les_1985,
mFZD,kádf,,,,AC48(88),bahuchet_les_1985,
mFBD,kádf,,,,AC48(88),bahuchet_les_1985,
mMBD,kádf,,,,AC48(88),bahuchet_les_1985,
mMZD,kádf,,,,AC48(88),bahuchet_les_1985,
mFBS,kádf,,,,AC48(88),bahuchet_les_1985,
mFZS,kádf,,,,AC48(88),bahuchet_les_1985,
mMBS,kádf,,,,AC48(88),bahuchet_les_1985,
mMZS,kádf,,,,AC48(88),bahuchet_les_1985,
mH,páé,,,,AC48(90),bahuchet_les_1985,
fG,kádf,,,,AC48(88),bahuchet_les_1985,
fP,bìlà,,,,AC48(46),bahuchet_les_1985,
fS,bánà,,,,AC48(356),bahuchet_les_1985,
fD,bánà,,,,AC48(356),bahuchet_les_1985,
fFZD,kádf,,,,AC48(88),bahuchet_les_1985,
fFBD,kádf,,,,AC48(88),bahuchet_les_1985,
fMBD,kádf,,,,AC48(88),bahuchet_les_1985,
fMZD,kádf,,,,AC48(88),bahuchet_les_1985,
fFBS,kádf,,,,AC48(88),bahuchet_les_1985,
fFZS,kádf,,,,AC48(88),bahuchet_les_1985,
fMBS,kádf,,,,AC48(88),bahuchet_les_1985,
fMZS,kádf,,,,AC48(88),bahuchet_les_1985,
mB,kádí-wà-pàé,,,,AC46(42),cloarecheiss_aka_1978,
mZ,kádí-wà-mòétò,,,,AC46(42),cloarecheiss_aka_1978,
mF,táé,,,,AC46(42),cloarecheiss_aka_1978,
mM,ngúé,,,,AC46(42),cloarecheiss_aka_1978,
mC,mɔ̀ná,,,,AC46(42),cloarecheiss_aka_1978,
mFF,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mFM,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mMF,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mMM,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mCC,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mSS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mSD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mDS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mDD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mMB,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mFyB,kádí-wà-tàó-wà-pàé,,,,AC46(42),cloarecheiss_aka_1978,
mFyZ,kádí-wà-tàó-wà-mòétò,,,,AC46(42),cloarecheiss_aka_1978,
mZS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mZD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
meBS,mɔ̀ná-wà-kádí,,,,AC46(42),cloarecheiss_aka_1978,
meBD,mɔ̀ná-wà-kádí,,,,AC46(42),cloarecheiss_aka_1978,
mMBeS,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
mMByS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
mW,mòétò,,,,AC46(43),cloarecheiss_aka_1978,
mHF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mWM,mó.kìó,,,,AC46(43),cloarecheiss_aka_1978,
mco-W,mòétò-wà-bòlé,,,,AC46(43),cloarecheiss_aka_1978,main wife
mSW,mó.pàpé,,,,AC46(43),cloarecheiss_aka_1978,
mSWF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mDH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mDHF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mFZH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mMZH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fB,kádí-wà-pàé,,,,AC46(42),cloarecheiss_aka_1978,
fZ,kádí-wà-mòétò,,,,AC46(42),cloarecheiss_aka_1978,
fF,táé,,,,AC46(42),cloarecheiss_aka_1978,
fM,ngúé,,,,AC46(42),cloarecheiss_aka_1978,
fC,mɔ̀ná,,,,AC46(42),cloarecheiss_aka_1978,
fFF,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fFM,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fMF,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fMM,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fCC,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fSS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fSD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fDS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fDD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fMB,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fFyB,kádí-wà-tàó-wà-pàé,,,,AC46(42),cloarecheiss_aka_1978,
fFyZ,kádí-wà-tàó-wà-mòétò,,,,AC46(42),cloarecheiss_aka_1978,
fZS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fZD,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
feBS,mɔ̀ná-wà-kádí,,,,AC46(42),cloarecheiss_aka_1978,
feBD,mɔ̀ná-wà-kádí,,,,AC46(42),cloarecheiss_aka_1978,
fMBeS,kɔ̀kɔ̀,,,,AC46(42),cloarecheiss_aka_1978,
fMByS,ndàlà,,,,AC46(42),cloarecheiss_aka_1978,
fW,mòétò,,,,AC46(43),cloarecheiss_aka_1978,
fHF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fWM,mó.kìó,,,,AC46(43),cloarecheiss_aka_1978,
fco-W,mòétò-wà-bòlé,,,,AC46(43),cloarecheiss_aka_1978,main wife
fSW,mó.pàpé,,,,AC46(43),cloarecheiss_aka_1978,
fSWF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fDH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fDHF,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fFZH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
fMZH,mó.kɔ̀pè,,,,AC46(43),cloarecheiss_aka_1978,
mZH,béndé,,,,AC47(118),cloarecheiss_aka_1978,
mWB,béndé,,,,AC47(118),cloarecheiss_aka_1978,
mHB,béndé,,,,AC47(118),cloarecheiss_aka_1978,
fZH,mó.kɔ̀pè,,,,AC47(118),cloarecheiss_aka_1978,
fWB,mó.kìó,,,,AC47(118),cloarecheiss_aka_1978,
fHB,mó.kɔ̀pè,,,,AC47(118),cloarecheiss_aka_1978,
