parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meZ,ʔa-mo̰ːʔ,,male ego's older sister,,,,
feZ,ʔa-mo̰ːʔ,,female ego's older sister,,,,
mFM,ʔa.kaːʔ,,male ego's father's mother,,,,
mMM,ʔa.kaːʔ,,male ego's mother's mother,,,,
fFM,ʔa.kaːʔ,,female ego's father's mother,,,,
fMM,ʔa.kaːʔ,,female ego's mother's mother,,,,
mS,ʔa.kaj-ko̰ːɲ,,male ego's son,,,,
fS,ʔa.kaj-ko̰ːɲ,,female ego's son,,,,
mD,ʔa.kaj-ʔa.kan,,male ego's daughter,,,,
fD,ʔa.kaj-ʔa.kan,,female ego's daughter,,,,
meB,ʔa.miəŋ,,male ego's older brother,,,,
feB,ʔa.miəŋ,,female ego's older brother,,,,
mFyB,ʔa.ɲiː,,male ego's father's younger brother,,,,
mMyB,ʔa.ɲiː,,male ego's mother's younger brother,,,,
fFyB,ʔa.ɲiː,,female ego's father's younger brother,,,,
fMyB,ʔa.ɲiː,,female ego's mother's younger brother,,,,
mF,ʔa.ʔam,,male ego's father,,,,
fF,ʔa.ʔam,,female ego's father,,,,
myB,ʔa.ʔɛːm,,male ego's younger brother,,,,
fyB,ʔa.ʔɛːm,,female ego's younger brother,,,,
myZ,ʔa.ʔɛːm,,male ego's younger sister,,,,
fyZ,ʔa.ʔɛːm,,female ego's younger sister,,,,
mM,ʔa.ʔiː,,male ego's mother,,,,
fM,ʔa.ʔiː,,female ego's mother,,,,
mFeB,ʔm.pɨːt,,male ego's father's older brother,,,,
mMeB,ʔm.pɨːt,,male ego's mother's older brother,,,,
fFeB,ʔm.pɨːt,,female ego's father's older brother,,,,
fMeB,ʔm.pɨːt,,female ego's mother's older brother,,,,
