parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,taina,,male ego's older brother,,,,
myB,taina,,male ego's younger brother,,,,
feB,kave,,female ego's older brother,,,,
fyB,kave,,female ego's younger brother,,,,
meZ,kave,,male ego's older sister,,,,
myZ,kave,,male ego's younger sister,,,,
feZ,taina,,female ego's older sister,,,,
fyZ,taina,,female ego's younger sister,,,,
mF,"tamana, maatuaa",,male ego's father,,,,
mM,"pae, maatuaa",,male ego's mother,,,,
fF,"tamana, maatuaa",,female ego's father,,,,
fM,"pae, maatuaa",,female ego's mother,,,,
mS,"tama, tama tangata",,male ego's son,,,,
fS,"tama, tama tangata",,female ego's son,,,,
mD,"tama, tamaapine",,male ego's daughter,,,,
fD,"tama, tamaapine",,female ego's daughter,,,,
mSS,mokopuna,,male ego's son's son,,,,
mSD,mokopuna,,male ego's son's daughter,,,,
mDS,mokopuna,,male ego's daughter's son,,,,
mDD,mokopuna,,male ego's daughter's daughter,,,,
fSS,mokopuna,,female ego's son's son,,,,
fSD,mokopuna,,female ego's son's daughter,,,,
fDS,mokopuna,,female ego's daughter's son,,,,
fDD,mokopuna,,female ego's daugher's daughter,,,,
mFF,tupuna,,male ego's father‘s father,,,,
mFM,tupuna,,male ego's father's mother,,,,
mMF,tupuna,,male ego's mother's father,,,,
mMM,tupuna,,male ego's mother's mother,,,,
fFF,tupuna,,female ego's father's father,,,,
fFM,tupuna,,female ego's father's mother,,,,
fMF,tupuna,,female ego's mother's father,,,,
fMM,tupuna,,female ego's mother's mother,,,,
meBS,tama,,male ego's older brother's son,,,,
myBS,tama,,male ego's younger brother's son,,,,
meZS,iraamutu,,male ego's older sister's son,,,,
myZS,iraamutu,,male ego's younger sister's son,,,,
meBD,tama,,male ego's older brother's daughter,,,,
myBD,tama,,male ego's younger brother's daughter,,,,
meZD,iraamutu,,male ego's older sister's daughter,,,,
myZD,iraamutu,,male ego's younger sister's daughter,,,,
feBS,tama,,female ego's older brother's son,,,,
fyBS,tama,,female ego's younger brother's son,,,,
feZS,tama,,female ego's older sister's son,,,,
fyZS,tama,,female ego's younger sister's son,,,,
feBD,tama,,female ego's older brother's daughter,,,,
fyBD,tama,,female ego's younger brother's daughter,,,,
feZD,tama,,female ego's older sister's daughter,,,,
fyZD,tama,,female ego's younger sister's daughter,,,,
mFeB,tamana,,male ego's father's older brother,,,,
mFyB,tamana,,male ego's father's younger brother,,,,
mFeZ,makitanga,,male ego's father's older sister,,,,
mFyZ,makitanga,,male ego's father's younger sister,,,,
mMeB,tuatina,,male ego's mother's older brother,,,,
mMyB,tuatina,,male ego's mother's younger brother,,,,
mMeZ,pae,,male ego's mother's older sister,,,,
mMyZ,pae,,male ego's mother's younger sister,,,,
fFeB,tamana,,female ego's father's older brother,,,,
fFyB,tamana,,female ego's father's younger brother,,,,
fFeZ,makitanga,,female ego's father's older sister,,,,
fFyZ,makitanga,,female ego's father's younger sister,,,,
fMeB,tuatina,,female ego's mother's older brother,,,,
fMyB,tuatina,,female ego's mother's younger brother,,,,
fMeZ,pae,,female ego's mother's older sister,,,,
fMyZ,pae,,female ego's mother's younger sister,,,,
mW,nopine,,male ego's wife,,,,
fH,matua,,female ego‘s husband,,,,
mDH,"maatua, pungona",,male ego's daughter's husband,,,,
fDH,"maatua, pungona",,female ego's daughter's husband,,,,
mSW,"nau, pungona",,male ego's son's wife,,,,
fSW,"nau, pungona",,female ego's son's wife,,,,
mWF,"maatua, pungona",,male ego's wife's father,,,,
mWM,"nau, pungona",,male ego's wife's mother,,,,
mWB,ma,,male ego's wife's brother,,,,
fHF,"maatua, pungona",,female ego's husband's father,,,,
fHM,"nau, pungona",,female ego's husband's mother,,,,
fHZ,ma,,female ego's husband's sister,,,,
mBW,taina papine,,male ego's brother's wife,,,,
fBW,ma,,female ego's brother's wife,,,,
mZH,ma,,male ego's sister's husband,,,,
mFBS,"taina, tuatina",,male ego's father's brother's son,,,,
mFZS,"taina, tuatina",,male ego's father's sister's son,,,,
mMBS,"taina, tuatina",,male ego's mother's brother's son,,,,
mMZS,"taina, tuatina",,male ego's mother's sister's son,,,,
mFBD,kave,,male ego's father's brother's daughter,,,,
mFZD,kave,,male ego's father's sister's daughter,,,,
mMBD,kave,,male ego's mother's brother's daughter,,,,
mMZD,kave,,male ego's mother's sister's daughter,,,,
fFBS,"kave, tuatina",,female ego's father's brother's son,,,,
fFZS,"kave, tuatina",,female ego's father's sister's son,,,,
fMBS,"kave, tuatina",,female ego's mother's brother's son,,,,
fMZS,"kave, tuatina",,female ego's mother's sister's son,,,,
fFBD,taina,,female ego's father's brother's daughter,,,,
fFZD,taina,,female ego's father's sister's daughter,,,,
fMBD,taina,,female ego's mother's brother's daughter,,,,
fMZD,taina,,female ego's mother's sister's daughter,,,,
