parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tobro,,male ego's older brother,,,,
myB,aiber,,male ego's younger brother,,,,
feB,lutno,,female ego's older brother,,,,
fyB,lutno,,female ego's younger brother,,,,
meZ,lutno,,male ego's older sister,,,,
myZ,lutno,,male ego's younger sister,,,,
feZ,tobro,,female ego's older sister,,,,
fyZ,aiber,,female ego's younger sister,,,,
mF,abo,,male ego's father,,,,
mM,"nina, tna",,male ego's mother,,,,
fF,abo,,female ego's father,,,,
fM,"nina, tna",,female ego's mother,,,,
mS,otno,,male ego's son,,,,
fS,otno,,female ego's son,,,,
mD,otno,,male ego's daughter,,,,
fD,otno,,female ego's daughter,,,,
mFF,aia,,male ego's father‘s father,,,,
mFM,aia,,male ego's father's mother,,,,
mMF,aia,,male ego's mother's father,,,,
mMM,aia,,male ego's mother's mother,,,,
fFF,aia,,female ego's father's father,,,,
fFM,aia,,female ego's father's mother,,,,
fMF,aia,,female ego's mother's father,,,,
fMM,aia,,female ego's mother's mother,,,,
meZS,"adou, gute",,male ego's older sister's son,,,,
myZS,"adou, gute",,male ego's younger sister's son,,,,
meZD,adou,,male ego's older sister's daughter,,,,
myZD,adou,,male ego's younger sister's daughter,,,,
feBS,adou,,female ego's older brother's son,,,,
fyBS,adou,,female ego's younger brother's son,,,,
feZS,gute,,female ego's older sister's son,,,,
fyZS,gute,,female ego's younger sister's son,,,,
feBD,adou,,female ego's older brother's daughter,,,,
fyBD,adou,,female ego's younger brother's daughter,,,,
mFeB,timla,,male ego's father's older brother,,,,
mFyB,timla,,male ego's father's younger brother,,,,
mFeZ,adou,,male ego's father's older sister,,,,
mFyZ,adou,,male ego's father's younger sister,,,,
mMeB,"adou, gute, ŋoŋle, tumno",,male ego's mother's older brother,,,,
mMyB,"adou, gute, ŋoŋle, tumno",,male ego's mother's younger brother,,,,
fFeB,timla,,female ego's father's older brother,,,,
fFyB,timla,,female ego's father's younger brother,,,,
fFeZ,adou,,female ego's father's older sister,,,,
fFyZ,adou,,female ego's father's younger sister,,,,
fMeB,"adou, gute, ŋoŋle, tumno",,female ego's mother's older brother,,,,
fMyB,"adou, gute, ŋoŋle, tumno",,female ego's mother's younger brother,,,,
mW,"asap, esna",,male ego's wife,,,,
fH,"esna, ŋaŋo",,female ego‘s husband,,,,
mDH,rana,,male ego's daughter's husband,,,,
fDH,rana,,female ego's daughter's husband,,,,
mSW,rana,,male ego's son's wife,,,,
fSW,rana,,female ego's son's wife,,,,
mWF,rana,,male ego's wife's father,,,,
mWM,rana,,male ego's wife's mother,,,,
mWB,romoi,,male ego's wife's brother,,,,
mWZ,kaden,,male ego's wife's sister,,,,
fHF,rana,,female ego's husband's father,,,,
fHM,rana,,female ego's husband's mother,,,,
fHB,kaden,,female ego's husband's brother,,,,
fHZ,romoi,,female ego's husband's sister,,,,
mBW,kaden,,male ego's brother's wife,,,,
fBW,romoi,,female ego's brother's wife,,,,
mZH,romoi,,male ego's sister's husband,,,,
fZH,kaden,,female ego's sister's husband,,,,
mFBeS,"tobro, timla",,male ego‘s father‘s brother‘s older son,,,,
mFByS,"aiber, timla",,male ego‘s father‘s brother‘s younger son,,,,
mFBeD,"lutno, timla",,male ego‘s father‘s brother‘s older daughter,,,,
mFByD,"lutno, timla",,male ego‘s father‘s brother‘s younger daughter,,,,
mFZeS,aidagu,,male ego‘s father‘s sisters‘s older son,,,,
mFZyS,aidagu,,male ego‘s father‘s sisters‘s younger son,,,,
mFZeD,aidagu,,male ego‘s father‘s sisters‘s older daughter,,,,
mFZyD,aidagu,,male ego‘s father‘s sisters‘s younger daughter,,,,
mMBeS,aidagu,,male ego‘s mother‘s brother‘s older son,,,,
mMByS,aidagu,,male ego‘s mother‘s brother‘s younger son,,,,
mMBeD,aidagu,,male ego‘s mother‘s brother‘s older daughter,,,,
mMByD,aidagu,,male ego‘s mother‘s brother‘s younger daughter,,,,
mMZeS,"tobro, timla",,male ego‘s mother‘s sisters‘s older son,,,,
mMZyS,"aiber, timla",,male ego‘s mother‘s sisters‘s younger son,,,,
mMZeD,"lutno, timla",,male ego‘s mother‘s sisters‘s older daughter,,,,
mMZyD,"lutno, timla",,male ego‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,lutno,,female ego‘s father‘s brother‘s older son,,,,
fFByS,lutno,,female ego‘s father‘s brother‘s younger son,,,,
fFBeD,tobro,,female ego‘s father‘s brother‘s older daughter,,,,
fFByD,aiber,,female ego‘s father‘s brother‘s younger daughter,,,,
fFZeS,aidagu,,female ego‘s father‘s sisters‘s older son,,,,
fFZyS,aidagu,,female ego‘s father‘s sisters‘s younger son,,,,
fFZeD,aidagu,,female ego‘s father‘s sisters‘s older daughter,,,,
fFZyD,aidagu,,female ego‘s father‘s sisters‘s younger daughter,,,,
fMBeS,aidagu,,female ego‘s mother‘s brother‘s older son,,,,
fMByS,aidagu,,female ego‘s mother‘s brother‘s younger son,,,,
fMBeD,aidagu,,female ego‘s mother‘s brother‘s older daughter,,,,
fMByD,aidagu,,female ego‘s mother‘s brother‘s younger daughter,,,,
fMZeS,lutno,,female ego‘s mother‘s sisters‘s older son,,,,
fMZyS,lutno,,female ego‘s mother‘s sisters‘s younger son,,,,
fMZeD,tobro,,female ego‘s mother‘s sisters‘s older daughter,,,,
fMZyD,aiber,,female ego‘s mother‘s sisters‘s younger daughter,,,,
