parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"tutuʃän, tutu",,male ego's older brother,,,CapellLayard1980,
myB,tasi-n,,male ego's younger brother,,,CapellLayard1980,
feB,"tutuʃän, tutu",,female ego's older brother,,,CapellLayard1980,
fyB,tasi-n,,female ego's younger brother,,,CapellLayard1980,
fyZ,tasi-n,,female ego's younger sister,,,CapellLayard1980,
mF,te,,male ego's father,,,CapellLayard1980,
mM,mirä-,,male ego's mother,,,CapellLayard1980,
fF,te,,female ego's father,,,CapellLayard1980,
fM,mirä-,,female ego's mother,,,CapellLayard1980,
mS,natu-n,,male ego's son,,,CapellLayard1980,
fS,natu-n,,female ego's son,,,CapellLayard1980,
mD,natu-n,,male ego's daughter,,,CapellLayard1980,
fD,natu-n,,female ego's daughter,,,CapellLayard1980,
mSS,mbün,,male ego's son's son,,,CapellLayard1980,
mSD,mbün,,male ego's son's daughter,,,CapellLayard1980,
mDS,mbün,,male ego's daughter's son,,,CapellLayard1980,
mDD,mbün,,male ego's daughter's daughter,,,CapellLayard1980,
fSS,mbün,,female ego's son's son,,,CapellLayard1980,
fSD,mbün,,female ego's son's daughter,,,CapellLayard1980,
fDS,mbün,,female ego's daughter's son,,,CapellLayard1980,
fDD,mbün,,female ego's daugher's daughter,,,CapellLayard1980,
mFF,bumbu,,male ego's father‘s father,,,CapellLayard1980,
mFM,bumbu,,male ego's father's mother,,,CapellLayard1980,
mMF,bumbu,,male ego's mother's father,,,CapellLayard1980,
mMM,bumbu,,male ego's mother's mother,,,CapellLayard1980,
fFF,bumbu,,female ego's father's father,,,CapellLayard1980,
fFM,bumbu,,female ego's father's mother,,,CapellLayard1980,
fMF,bumbu,,female ego's mother's father,,,CapellLayard1980,
fMM,bumbu,,female ego's mother's mother,,,CapellLayard1980,
meBS,natun,,male ego's older brother's son,,,CapellLayard1980,
myBS,natun,,male ego's younger brother's son,,,CapellLayard1980,
meBD,natun,,male ego's older brother's daughter,,,CapellLayard1980,
myBD,natun,,male ego's younger brother's daughter,,,CapellLayard1980,
feBS,natun,,female ego's older brother's son,,,CapellLayard1980,
fyBS,natun,,female ego's younger brother's son,,,CapellLayard1980,
feZS,natun,,female ego's older sister's son,,,CapellLayard1980,
fyZS,natun,,female ego's younger sister's son,,,CapellLayard1980,
feBD,natun,,female ego's older brother's daughter,,,CapellLayard1980,
fyBD,natun,,female ego's younger brother's daughter,,,CapellLayard1980,
feZD,natun,,female ego's older sister's daughter,,,CapellLayard1980,
fyZD,natun,,female ego's younger sister's daughter,,,CapellLayard1980,
mFeB,"tlmä-n, te",,male ego's father's older brother,,,CapellLayard1980,
mFyB,"tlmä-n, te",,male ego's father's younger brother,,,CapellLayard1980,
mFeZ,mirä-,,male ego's father's older sister,,,CapellLayard1980,
mFyZ,mirä-,,male ego's father's younger sister,,,CapellLayard1980,
mMeB,mätuän,,male ego's mother's older brother,,,CapellLayard1980,
mMyB,mätuän,,male ego's mother's younger brother,,,CapellLayard1980,
mMeZ,mirä-,,male ego's mother's older sister,,,CapellLayard1980,
mMyZ,mirä-,,male ego's mother's younger sister,,,CapellLayard1980,
fFeB,"tlmä-n, te",,female ego's father's older brother,,,CapellLayard1980,
fFyB,"tlmä-n, te",,female ego's father's younger brother,,,CapellLayard1980,
fFeZ,mirä-,,female ego's father's older sister,,,CapellLayard1980,
fFyZ,mirä-,,female ego's father's younger sister,,,CapellLayard1980,
fMeB,mätuän,,female ego's mother's older brother,,,CapellLayard1980,
fMyB,mätuän,,female ego's mother's younger brother,,,CapellLayard1980,
fMeZ,mirä-,,female ego's mother's older sister,,,CapellLayard1980,
fMyZ,mirä-,,female ego's mother's younger sister,,,CapellLayard1980,
fH,tauwen,,female ego‘s husband,,,CapellLayard1980,
mDH,tauwen,,male ego's daughter's husband,,,CapellLayard1980,
fDH,pwela-k,,female ego's daughter's husband,,,CapellLayard1980,
mSW,wüŋa-n,,male ego's son's wife,,,CapellLayard1980,
fSW,wüŋa-n,,female ego's son's wife,,,CapellLayard1980,
mWF,pwela-k,,male ego's wife's father,,,CapellLayard1980,
mWM,pwela-k,,male ego's wife's mother,,,CapellLayard1980,
fHF,wüŋa-n,,female ego's husband's father,,,CapellLayard1980,
fHM,wüŋa-n,,female ego's husband's mother,,,CapellLayard1980,
fHB,tasi-n,,female ego's husband's brother,,,CapellLayard1980,tasi-n = husband's younger brother
fHZ,räwa-k,,female ego's husband's sister,,,CapellLayard1980,
mBW,"tutuʃän, tutu",,male ego's brother's wife,,,CapellLayard1980,
fBW,räwa-k,,female ego's brother's wife,,,CapellLayard1980,
mZH,tauwen,,male ego's sister's husband,,,CapellLayard1980,
fZH,tauwen,,female ego's sister's husband,,,CapellLayard1980,
mFBS,"tasi-n, tutuʃän, tutu",,male ego's father's brother's son,,,CapellLayard1980,
mFZS,tasi-n,,male ego's father's sister's son,,,CapellLayard1980,
mMBS,nötin mätuän,,male ego's mother's brother's son,,,CapellLayard1980,
mMZS,"tasi-n, tutuʃän, tutu",,male ego's mother's sister's son,,,CapellLayard1980,
mMBD,nötin mätuän,,male ego's mother's brother's daughter,,,CapellLayard1980,
fFBS,"tasi-n, tutuʃän, tutu",,female ego's father's brother's son,,,CapellLayard1980,
fFZS,tasi-n,,female ego's father's sister's son,,,CapellLayard1980,
fMBS,nötin mätuän,,female ego's mother's brother's son,,,CapellLayard1980,
fMZS,"tasi-n, tutuʃän, tutu",,female ego's mother's sister's son,,,CapellLayard1980,
fMBD,nötin mätuän,,female ego's mother's brother's daughter,,,CapellLayard1980,
mFeBS,"tasi-n, tutuʃän, tutu",,male ego's father's brother's son,,,CapellLayard1980,Inferred; 
mFyBS,"tasi-n, tutuʃän, tutu",,male ego's father's brother's son,,,CapellLayard1980,Inferred; 
mFeZS,tasi-n,,male ego's father's sister's son,,,CapellLayard1980,Inferred; 
mFyZS,tasi-n,,male ego's father's sister's son,,,CapellLayard1980,Inferred; 
mMeBS,nötin mätuän,,male ego's mother's brother's son,,,CapellLayard1980,Inferred; 
mMyBS,nötin mätuän,,male ego's mother's brother's son,,,CapellLayard1980,Inferred; 
mMeZS,"tasi-n, tutuʃän, tutu",,male ego's mother's sister's son,,,CapellLayard1980,Inferred; 
mMyZS,"tasi-n, tutuʃän, tutu",,male ego's mother's sister's son,,,CapellLayard1980,Inferred; 
mMeBD,nötin mätuän,,male ego's mother's brother's daughter,,,CapellLayard1980,Inferred; 
mMyBD,nötin mätuän,,male ego's mother's brother's daughter,,,CapellLayard1980,Inferred; 
mFBeS,"tasi-n, tutuʃän, tutu",,male ego's father's brother's son,,,CapellLayard1980,Inferred; 
mFByS,"tasi-n, tutuʃän, tutu",,male ego's father's brother's son,,,CapellLayard1980,Inferred; 
mFZeS,tasi-n,,male ego's father's sister's son,,,CapellLayard1980,Inferred; 
mFZyS,tasi-n,,male ego's father's sister's son,,,CapellLayard1980,Inferred; 
mMBeS,nötin mätuän,,male ego's mother's brother's son,,,CapellLayard1980,Inferred; 
mMByS,nötin mätuän,,male ego's mother's brother's son,,,CapellLayard1980,Inferred; 
mMZeS,"tasi-n, tutuʃän, tutu",,male ego's mother's sister's son,,,CapellLayard1980,Inferred; 
