parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tughantna,,male ego's older brother,,,,
myB,tas-,,male ego's younger brother,,,,
feB,man-,,female ego's older brother,,,,
fyB,man-,,female ego's younger brother,,,,
meZ,vivine,,male ego's older sister,,,,
myZ,vivine,,male ego's younger sister,,,,
mF,mama,,male ego's father,,,,
mM,nggalu,,male ego's mother,,,,
fF,mama,,female ego's father,,,,
fM,nggalu,,female ego's mother,,,,
mS,nattna,,male ego's son,,,,
fS,nattna,,female ego's son,,,,
mD,nattna,,male ego's daughter,,,,
fD,nattna,,female ego's daughter,,,,
mSS,hambrün,,male ego's son's son,,,,
mSD,hambrün,,male ego's son's daughter,,,,
mDS,hambrün,,male ego's daughter's son,,,,
mDD,hambrün,,male ego's daughter's daughter,,,,
fSS,hambrün,,female ego's son's son,,,,
fSD,hambrün,,female ego's son's daughter,,,,
fDS,hambrün,,female ego's daughter's son,,,,
fDD,hambrün,,female ego's daugher's daughter,,,,
mFF,bumbu,,male ego's father‘s father,,,,
mFM,nambwa,,male ego's father's mother,,,,
mMF,bumbu,,male ego's mother's father,,,,
mMM,nambwa,,male ego's mother's mother,,,,
fFF,bumbu,,female ego's father's father,,,,
fFM,nambwa,,female ego's father's mother,,,,
fMF,bumbu,,female ego's mother's father,,,,
fMM,nambwa,,female ego's mother's mother,,,,
meBS,nattna,,male ego's older brother's son,,,,
myBS,nattna,,male ego's younger brother's son,,,,
meZS,ghalan,,male ego's older sister's son,,,,
myZS,ghalan,,male ego's younger sister's son,,,,
meBD,nattna,,male ego's older brother's daughter,,,,
myBD,nattna,,male ego's younger brother's daughter,,,,
feBS,nattna,,female ego's older brother's son,,,,
fyBS,nattna,,female ego's younger brother's son,,,,
feBD,nattna,,female ego's older brother's daughter,,,,
fyBD,nattna,,female ego's younger brother's daughter,,,,
mFeZ,nggalele,,male ego's father's older sister,,,,
mFyZ,nggalele,,male ego's father's younger sister,,,,
mMeB,bimbi,,male ego's mother's older brother,,,,
mMyB,bimbi,,male ego's mother's younger brother,,,,
fFeZ,nggalele,,female ego's father's older sister,,,,
fFyZ,nggalele,,female ego's father's younger sister,,,,
fMeB,bimbi,,female ego's mother's older brother,,,,
fMyB,bimbi,,female ego's mother's younger brother,,,,
mDH,nallakh,,male ego's daughter's husband,,,,
fDH,nallakh,,female ego's daughter's husband,,,,
mSW,nevilakh,,male ego's son's wife,,,,
fSW,nevilakh,,female ego's son's wife,,,,
mWF,hat metenön,,male ego's wife's father,,,,
mWM,tiperrnen,,male ego's wife's mother,,,,
mWB,mur tlel,,male ego's wife's brother,,,,
fHF,hat metenön,,female ego's husband's father,,,,
fHM,tiperrnen,,female ego's husband's mother,,,,
fHZ,navin tlel,,female ego's husband's sister,,,,
mBW,nevilak,,male ego's brother's wife,,,,
fBW,nevilak,,female ego's brother's wife,,,,
mZH,nallakh,,male ego's sister's husband,,,,
fZH,nallakh,,female ego's sister's husband,,,,
mFZS,mamalele,,male ego's father's sister's son,,,,
mMBS,nattna,,male ego's mother's brother's son,,,,
mFZD,nggalele,,male ego's father's sister's daughter,,,,
mMBD,nattna,,male ego's mother's brother's daughter,,,,
fFZS,mamalele,,female ego's father's sister's son,,,,
fMBS,nattna,,female ego's mother's brother's son,,,,
fFZD,nggalele,,female ego's father's sister's daughter,,,,
fMBD,nattna,,female ego's mother's brother's daughter,,,,
