parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,bli,,male ego's older brother,,,Palmer2000,
myB,adi,,male ego's younger brother,,,Palmer2000,
feB,bli,,female ego's older brother,,,Palmer2000,
fyB,adi,,female ego's younger brother,,,Palmer2000,
meZ,embok,,male ego's older sister,,,Palmer2000,
myZ,adi,,male ego's younger sister,,,Palmer2000,
feZ,embok,,female ego's older sister,,,Palmer2000,
fyZ,adi,,female ego's younger sister,,,Palmer2000,
mF,rerama,,male ego's father,,,Palmer2000,
mM,bibi,,male ego's mother,,,Palmer2000,
fF,rerama,,female ego's father,,,Palmer2000,
fM,bibi,,female ego's mother,,,Palmer2000,
mS,pianak,,male ego's son,,,Palmer2000,
fS,pianak,,female ego's son,,,Palmer2000,
mD,pianak,,male ego's daughter,,,Palmer2000,
fD,pianak,,female ego's daughter,,,Palmer2000,
mSS,cucu,,male ego's son's son,,,Palmer2000,
mSD,cucu,,male ego's son's daughter,,,Palmer2000,
mDS,cucu,,male ego's daughter's son,,,Palmer2000,
mDD,cucu,,male ego's daughter's daughter,,,Palmer2000,
fSS,cucu,,female ego's son's son,,,Palmer2000,
fSD,cucu,,female ego's son's daughter,,,Palmer2000,
fDS,cucu,,female ego's daughter's son,,,Palmer2000,
fDD,cucu,,female ego's daugher's daughter,,,Palmer2000,
mFF,kaki,,male ego's father‘s father,,,Palmer2000,
mFM,nini,,male ego's father's mother,,,Palmer2000,
mMF,kaki,,male ego's mother's father,,,Palmer2000,
mMM,nini,,male ego's mother's mother,,,Palmer2000,
fFF,kaki,,female ego's father's father,,,Palmer2000,
fFM,nini,,female ego's father's mother,,,Palmer2000,
fMF,kaki,,female ego's mother's father,,,Palmer2000,
fMM,nini,,female ego's mother's mother,,,Palmer2000,
meBS,keponakan,,male ego's older brother's son,,,Palmer2000,
myBS,keponakan,,male ego's younger brother's son,,,Palmer2000,
meZS,keponakan,,male ego's older sister's son,,,Palmer2000,
myZS,keponakan,,male ego's younger sister's son,,,Palmer2000,
