"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kenanak",,"male ego's older brother",,,"Lincoln1976",""
"myB","kenanak",,"male ego's younger brother",,,"Lincoln1976",""
"feB","kenanak",,"female ego's older brother",,,"Lincoln1976",""
"fyB","kenanak",,"female ego's younger brother",,,"Lincoln1976",""
"meZ","kenanak",,"male ego's older sister",,,"Lincoln1976",""
"myZ","kenanak",,"male ego's younger sister",,,"Lincoln1976",""
"feZ","kenanak",,"female ego's older sister",,,"Lincoln1976",""
"fyZ","kenanak",,"female ego's younger sister",,,"Lincoln1976",""
"mF","tama",,"male ego's father",,,"Lincoln1976",""
"mM","sinah",,"male ego's mother",,,"Lincoln1976",""
"fF","tama",,"female ego's father",,,"Lincoln1976",""
"fM","sinah",,"female ego's mother",,,"Lincoln1976",""
"mS","anak",,"male ego's son",,,"Lincoln1976",""
"fS","anak",,"female ego's son",,,"Lincoln1976",""
"mD","anak",,"male ego's daughter",,,"Lincoln1976",""
"fD","anak",,"female ego's daughter",,,"Lincoln1976",""
"mSS","mupun",,"male ego's son's son",,,"Lincoln1976",""
"mSD","mupun",,"male ego's son's daughter",,,"Lincoln1976",""
"mDS","mupun",,"male ego's daughter's son",,,"Lincoln1976",""
"mDD","mupun",,"male ego's daughter's daughter",,,"Lincoln1976",""
"fSS","mupun",,"female ego's son's son",,,"Lincoln1976",""
"fSD","mupun",,"female ego's son's daughter",,,"Lincoln1976",""
"fDS","mupun",,"female ego's daughter's son",,,"Lincoln1976",""
"fDD","mupun",,"female ego's daugher's daughter",,,"Lincoln1976",""
"mFF","tepoh",,"male ego's father‘s father",,,"Lincoln1976",""
"mFM","tepoh",,"male ego's father's mother",,,"Lincoln1976",""
"mMF","tepoh",,"male ego's mother's father",,,"Lincoln1976",""
"mMM","tepoh",,"male ego's mother's mother",,,"Lincoln1976",""
"fFF","tepoh",,"female ego's father's father",,,"Lincoln1976",""
"fFM","tepoh",,"female ego's father's mother",,,"Lincoln1976",""
"fMF","tepoh",,"female ego's mother's father",,,"Lincoln1976",""
"fMM","tepoh",,"female ego's mother's mother",,,"Lincoln1976",""
"meBS","anak menakan",,"male ego's older brother's son",,,"Lincoln1976",""
"myBS","anak menakan",,"male ego's younger brother's son",,,"Lincoln1976",""
"meZS","anak menakan",,"male ego's older sister's son",,,"Lincoln1976",""
"myZS","anak menakan",,"male ego's younger sister's son",,,"Lincoln1976",""
"meBD","anak menakan",,"male ego's older brother's daughter",,,"Lincoln1976",""
"myBD","anak menakan",,"male ego's younger brother's daughter",,,"Lincoln1976",""
"meZD","anak menakan",,"male ego's older sister's daughter",,,"Lincoln1976",""
"myZD","anak menakan",,"male ego's younger sister's daughter",,,"Lincoln1976",""
"feBS","anak menakan",,"female ego's older brother's son",,,"Lincoln1976",""
"fyBS","anak menakan",,"female ego's younger brother's son",,,"Lincoln1976",""
"feZS","anak menakan",,"female ego's older sister's son",,,"Lincoln1976",""
"fyZS","anak menakan",,"female ego's younger sister's son",,,"Lincoln1976",""
"feBD","anak menakan",,"female ego's older brother's daughter",,,"Lincoln1976",""
"fyBD","anak menakan",,"female ego's younger brother's daughter",,,"Lincoln1976",""
"feZD","anak menakan",,"female ego's older sister's daughter",,,"Lincoln1976",""
