parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mFF,babai,,male ego's father‘s father,,,amangaluiwebsite,
mFM,sumuk,,male ego's father's mother,,,amangaluiwebsite,
mMF,babai,,male ego's mother's father,,,amangaluiwebsite,
mMM,sumuk,,male ego's mother's mother,,,amangaluiwebsite,
fFF,babai,,female ego's father's father,,,amangaluiwebsite,
fFM,sumuk,,female ego's father's mother,,,amangaluiwebsite,
fMF,babai,,female ego's mother's father,,,amangaluiwebsite,
fMM,sumuk,,female ego's mother's mother,,,amangaluiwebsite,
mFeB,somba,,male ego's father's older brother,,,amangaluiwebsite,
mFyB,tua dari,,male ego's father's younger brother,,,amangaluiwebsite,
mFeZ,noyung,,male ego's father's older sister,,,amangaluiwebsite,
mFyZ,tua daying,,male ego's father's younger sister,,,amangaluiwebsite,
mMeB,somba,,male ego's mother's older brother,,,amangaluiwebsite,
mMyB,tua dari,,male ego's mother's younger brother,,,amangaluiwebsite,
mMeZ,noyung,,male ego's mother's older sister,,,amangaluiwebsite,
mMyZ,tua daying,,male ego's mother's younger sister,,,amangaluiwebsite,
fFeB,somba,,female ego's father's older brother,,,amangaluiwebsite,
fFyB,tua dari,,female ego's father's younger brother,,,amangaluiwebsite,
fFeZ,noyung,,female ego's father's older sister,,,amangaluiwebsite,
fFyZ,tua daying,,female ego's father's younger sister,,,amangaluiwebsite,
fMeB,somba,,female ego's mother's older brother,,,amangaluiwebsite,
fMyB,tua dari,,female ego's mother's younger brother,,,amangaluiwebsite,
fMeZ,noyung,,female ego's mother's older sister,,,amangaluiwebsite,
fMyZ,tua daying,,female ego's mother's younger sister,,,amangaluiwebsite,
