"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tëval-",,"male ego's older brother",,,"Dodd2014",
"myB","tëval-",,"male ego's younger brother",,,"Dodd2014",
"feB","m'an-",,"female ego's older brother",,,"Dodd2014",
"fyB","m'an-",,"female ego's younger brother",,,"Dodd2014",
"meZ","vën-",,"male ego's older sister",,,"Dodd2014",
"myZ","vën-",,"male ego's younger sister",,,"Dodd2014",
"feZ","tkha-",,"female ego's older sister",,,"Dodd2014",
"mF","tatei",,"male ego's father",,,"Dodd2014",
"mM","unei",,"male ego's mother",,,"Dodd2014",
"fF","tatei",,"female ego's father",,,"Dodd2014",
"fM","unei",,"female ego's mother",,,"Dodd2014",
"mS","au pa-",,"male ego's son",,,"Dodd2014",
"fS","au pa-",,"female ego's son",,,"Dodd2014",
"mD","vën pa-",,"male ego's daughter",,,"Dodd2014",
"fD","vën pa-",,"female ego's daughter",,,"Dodd2014",
"mFF","dui-",,"male ego's father‘s father",,,"Dodd2014",
"mFM","tap'-",,"male ego's father's mother",,,"Dodd2014",
"mMF","dui-",,"male ego's mother's father",,,"Dodd2014",
"mMM","tap'-",,"male ego's mother's mother",,,"Dodd2014",
"fFF","dui-",,"female ego's father's father",,,"Dodd2014",
"fFM","tap'-",,"female ego's father's mother",,,"Dodd2014",
"fMF","dui-",,"female ego's mother's father",,,"Dodd2014",
"fMM","tap'-",,"female ego's mother's mother",,,"Dodd2014",
"meZS","mërirei",,"male ego's older sister's son",,,"Dodd2014",
"myZS","p'ënei",,"male ego's younger sister's son",,,"Dodd2014",
"meZD","p'ënei",,"male ego's older sister's daughter",,,"Dodd2014",
"myZD","p'ënei",,"male ego's younger sister's daughter",,,"Dodd2014",
"mFeB","tatei",,"male ego's father's older brother",,,"Dodd2014",
"mFyB","tatei",,"male ego's father's younger brother",,,"Dodd2014",
"mFeZ","vavei",,"male ego's father's older sister",,,"Dodd2014",
"mFyZ","vavei",,"male ego's father's younger sister",,,"Dodd2014",
"mMeB","p'ënei",,"male ego's mother's older brother",,,"Dodd2014",
"mMyB","p'ënei",,"male ego's mother's younger brother",,,"Dodd2014",
"mMeZ","unei",,"male ego's mother's older sister",,,"Dodd2014",
"mMyZ","unei",,"male ego's mother's younger sister",,,"Dodd2014",
"fFeB","tatei",,"female ego's father's older brother",,,"Dodd2014",
"fFyB","tatei",,"female ego's father's younger brother",,,"Dodd2014",
"fFeZ","vavei",,"female ego's father's older sister",,,"Dodd2014",
"fFyZ","vavei",,"female ego's father's younger sister",,,"Dodd2014",
"fMeB","p'ënei",,"female ego's mother's older brother",,,"Dodd2014",
"fMyB","p'ënei",,"female ego's mother's younger brother",,,"Dodd2014",
"fMeZ","unei",,"female ego's mother's older sister",,,"Dodd2014",
"fMyZ","unei",,"female ego's mother's younger sister",,,"Dodd2014",
"mW","nau-",,"male ego's wife",,,"Dodd2014",
"fH","nau-",,"female ego‘s husband",,,"Dodd2014",
"mDH","lalei",,"male ego's daughter's husband",,,"Dodd2014",
"fDH","lalei",,"female ego's daughter's husband",,,"Dodd2014",
