parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"kak, tain",,male ego's older brother,,,,
myB,"kak, mirim, tain",,male ego's younger brother,,,,
feB,"kak, liun",,female ego's older brother,,,,
fyB,"kak, liun",,female ego's younger brother,,,,
meZ,"kak, liun",,male ego's older sister,,,,
myZ,"kak, liun",,male ego's younger sister,,,,
feZ,"kak, tain",,female ego's older sister,,,,
fyZ,"kak, tain",,female ego's younger sister,,,,
mF,"mam, taman",,male ego's father,,,,
mM,"nen, tinan",,male ego's mother,,,,
fF,"mam, taman",,female ego's father,,,,
fM,"nen, tinan",,female ego's mother,,,,
mS,aítòmǒl,,male ego's son,,,,
fS,aítòmǒl,,female ego's son,,,,
mD,aípain,,male ego's daughter,,,,
fD,aípain,,female ego's daughter,,,,
mSS,"se̠s, tibún",,male ego's son's son,,,,
mSD,"se̠s, tibún",,male ego's son's daughter,,,,
mDS,"se̠s, tibún",,male ego's daughter's son,,,,
mDD,"se̠s, tibún",,male ego's daughter's daughter,,,,
fSS,"se̠s, tibún",,female ego's son's son,,,,
fSD,"se̠s, tibún",,female ego's son's daughter,,,,
fDS,"se̠s, tibún",,female ego's daughter's son,,,,
fDD,"se̠s, tibún",,female ego's daugher's daughter,,,,
mFF,"se̠s, tibún",,male ego's father‘s father,,,,
mFM,"se̠s, tibún",,male ego's father's mother,,,,
mMF,"se̠s, tibún",,male ego's mother's father,,,,
mMM,"se̠s, tibún",,male ego's mother's mother,,,,
fFF,"se̠s, tibún",,female ego's father's father,,,,
fFM,"se̠s, tibún",,female ego's father's mother,,,,
fMF,"se̠s, tibún",,female ego's mother's father,,,,
fMM,"se̠s, tibún",,female ego's mother's mother,,,,
meBS,aítòmǒl,,male ego's older brother's son,,,,
myBS,aítòmǒl,,male ego's younger brother's son,,,,
meZS,"wajan, nǐmbin",,male ego's older sister's son,,,,
myZS,"wajan, nǐmbin",,male ego's younger sister's son,,,,
meBD,aípain,,male ego's older brother's daughter,,,,
myBD,aípain,,male ego's younger brother's daughter,,,,
meZD,"wajan, nǐmbin",,male ego's older sister's daughter,,,,
myZD,"wajan, nǐmbin",,male ego's younger sister's daughter,,,,
feBS,aítòmǒl,,female ego's older brother's son,,,,
fyBS,aítòmǒl,,female ego's younger brother's son,,,,
feZS,"wajan, nǐmbin",,female ego's older sister's son,,,,
fyZS,"wajan, nǐmbin",,female ego's younger sister's son,,,,
feBD,aípain,,female ego's older brother's daughter,,,,
fyBD,aípain,,female ego's younger brother's daughter,,,,
feZD,"wajan, nǐmbin",,female ego's older sister's daughter,,,,
fyZD,"wajan, nǐmbin",,female ego's younger sister's daughter,,,,
mFeB,taman,,male ego's father's older brother,,,,
mFyB,taman,,male ego's father's younger brother,,,,
mFeZ,nǐmbin,,male ego's father's older sister,,,,
mFyZ,nǐmbin,,male ego's father's younger sister,,,,
mMeB,wajan,,male ego's mother's older brother,,,,
mMyB,wajan,,male ego's mother's younger brother,,,,
mMeZ,tinan,,male ego's mother's older sister,,,,
mMyZ,tinan,,male ego's mother's younger sister,,,,
fFeB,taman,,female ego's father's older brother,,,,
fFyB,taman,,female ego's father's younger brother,,,,
fFeZ,nǐmbin,,female ego's father's older sister,,,,
fFyZ,nǐmbin,,female ego's father's younger sister,,,,
fMeB,wajan,,female ego's mother's older brother,,,,
fMyB,wajan,,female ego's mother's younger brother,,,,
fMeZ,tinan,,female ego's mother's older sister,,,,
fMyZ,tinan,,female ego's mother's younger sister,,,,
mW,évan,,male ego's wife,,,,
fH,évan,,female ego‘s husband,,,,
mWF,netěnèn,,male ego's wife's father,,,,
mWM,raówan,,male ego's wife's mother,,,,
mWB,"be (béa), nǔmbén",,male ego's wife's brother,,,,
fHF,netěnèn,,female ego's husband's father,,,,
fHM,raówan,,female ego's husband's mother,,,,
fHB,"be (béa), nǔmbén",,female ego's husband's brother,,,,
mZH,be (béa),,male ego's sister's husband,,,,
fZH,be (béa),,female ego's sister's husband,,,,
mFBS,"gei, tain",,male ego's father's brother's son,,,,
mFZS,daowǎlín,,male ego's father's sister's son,,,,
mMBS,daowǎlín,,male ego's mother's brother's son,,,,
mMZS,"gei, tain",,male ego's mother's sister's son,,,,
mFBD,"gei, liun",,male ego's father's brother's daughter,,,,
mFZD,daowǎlín,,male ego's father's sister's daughter,,,,
mMBD,daowǎlín,,male ego's mother's brother's daughter,,,,
mMZD,"gei, liun",,male ego's mother's sister's daughter,,,,
fFBS,"gei, liun",,female ego's father's brother's son,,,,
fFZS,daowǎlín,,female ego's father's sister's son,,,,
fMBS,daowǎlín,,female ego's mother's brother's son,,,,
fMZS,"gei, liun",,female ego's mother's sister's son,,,,
fFBD,"gei, tain",,female ego's father's brother's daughter,,,,
fFZD,daowǎlín,,female ego's father's sister's daughter,,,,
fMBD,daowǎlín,,female ego's mother's brother's daughter,,,,
fMZD,"gei, tain",,female ego's mother's sister's daughter,,,,
