"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mF","mamo!, hma",,"male ego's father",,,"Holle1980v2",
"mM","aje! hnje",,"male ego's mother",,,"Holle1980v2",
"fF","mamo!, hma",,"female ego's father",,,"Holle1980v2",
"fM","aje! hnje",,"female ego's mother",,,"Holle1980v2",
"mS","ntoe man",,"male ego's son",,,"Holle1980v2",
"mD","ntoe maping",,"male ego's daughter",,,"Holle1980v2",
"fS","ntoe man",,"female ego's son",,,"Holle1980v2",
"fD","ntoe maping",,"female ego's daughter",,,"Holle1980v2",
"mFF","oeat",,"male ego's father's father",,,"Holle1980v2",
"mFM","ngolo",,"male ego's father's mother",,,"Holle1980v2",
"mMF","oeat",,"male ego's mother's father",,,"Holle1980v2",
"mMM","ngolo",,"male ego's mother's mother",,,"Holle1980v2",
"fFF","oeat",,"female ego's father's father",,,"Holle1980v2",
"fFM","ngolo",,"female ego's father's mother",,,"Holle1980v2",
"fMF","oeat",,"female ego's mother's father",,,"Holle1980v2",
"fMM","ngolo",,"female ego's mother's mother",,,"Holle1980v2",
"meB","teno taoeati",,"male ego's older brother",,,"Holle1980v2",
"myB","teno tawawai",,"male ego's younger brother",,,"Holle1980v2",
"feB","rama",,"female ego's older brother",,,"Holle1980v2",
"fyB","rama",,"female ego's younger brother",,,"Holle1980v2",
"meZ","rama",,"male ego's older sister",,,"Holle1980v2",
"myZ","rama",,"male ego's younger sister",,,"Holle1980v2",
"feZ","teno taoeati",,"female ego's older sister",,,"Holle1980v2",
"fyZ","teno tawawai",,"female ego's younger sister",,,"Holle1980v2",
"mSS","boe",,"male ego's son's son",,,"Holle1980v2",
"mSD","boe",,"male ego's son's daughter",,,"Holle1980v2",
"mDS","boe",,"male ego's daughter's son",,,"Holle1980v2",
"mDD","boe",,"male ego's daughter's daughter",,,"Holle1980v2",
"fSS","boe",,"female ego's son's son",,,"Holle1980v2",
"fSD","boe",,"female ego's son's daughter",,,"Holle1980v2",
"fDS","boe",,"female ego's daughter's son",,,"Holle1980v2",
"fDD","boe",,"female ego's daugher's daughter",,,"Holle1980v2",
"mFeB","toewai",,"male ego's father's older brother",,,"Holle1980v2",
"mFyB","toewai",,"male ego's father's younger brother",,,"Holle1980v2",
"mFeZ","fofai",,"male ego's father's older sister",,,"Holle1980v2",
"mFyZ","fofai",,"male ego's father's younger sister",,,"Holle1980v2",
"mMeB","toewai",,"male ego's mother's older brother",,,"Holle1980v2",
"mMyB","toewai",,"male ego's mother's younger brother",,,"Holle1980v2",
"mMeZ","fofai",,"male ego's mother's older sister",,,"Holle1980v2",
"mMyZ","fofai",,"male ego's mother's younger sister",,,"Holle1980v2",
"fFeB","toewai",,"female ego's father's older brother",,,"Holle1980v2",
"fFyB","toewai",,"female ego's father's younger brother",,,"Holle1980v2",
"fFeZ","fofai",,"female ego's father's older sister",,,"Holle1980v2",
"fFyZ","fofai",,"female ego's father's younger sister",,,"Holle1980v2",
"fMeB","toewai",,"female ego's mother's older brother",,,"Holle1980v2",
"fMyB","toewai",,"female ego's mother's younger brother",,,"Holle1980v2",
"fMeZ","fofai",,"female ego's mother's older sister",,,"Holle1980v2",
"fMyZ","fofai",,"female ego's mother's younger sister",,,"Holle1980v2",
"meBS","fano",,"male ego's older brother's son",,,"Holle1980v2",
"myBS","fano",,"male ego's younger brother's son",,,"Holle1980v2",
"meZS","fano",,"male ego's older sister's son",,,"Holle1980v2",
"myZS","fano",,"male ego's younger sister's son",,,"Holle1980v2",
"meBD","fano maping",,"male ego's older brother's daughter",,,"Holle1980v2",
"myBD","fano maping",,"male ego's younger brother's daughter",,,"Holle1980v2",
"meZD","fano maping",,"male ego's older sister's daughter",,,"Holle1980v2",
"myZD","fano maping",,"male ego's younger sister's daughter",,,"Holle1980v2",
"feBS","fano",,"female ego's older brother's son",,,"Holle1980v2",
"fyBS","fano",,"female ego's younger brother's son",,,"Holle1980v2",
"feZS","fano",,"female ego's older sister's son",,,"Holle1980v2",
"fyZS","fano",,"female ego's younger sister's son",,,"Holle1980v2",
"feBD","fano maping",,"female ego's older brother's daughter",,,"Holle1980v2",
"fyBD","fano maping",,"female ego's younger brother's daughter",,,"Holle1980v2",
"feZD","fano maping",,"female ego's older sister's daughter",,,"Holle1980v2",
"fyZD","fano maping",,"female ego's younger sister's daughter",,,"Holle1980v2",
"mFeBS","fano",,"male ego's father‘s older brother‘s son",,,"Holle1980v2",
"mFyBS","fano",,"male ego‘s father‘s younger brother‘s son",,,"Holle1980v2",
"mFeZS","fano",,"male ego's father‘s older sister‘s son",,,"Holle1980v2",
"mFyZS","fano",,"male ego‘s father‘s younger sister‘s son",,,"Holle1980v2",
"mFeBD","fano maping",,"male ego's father‘s older brother‘s daughter",,,"Holle1980v2",
"mFyBD","fano maping",,"male ego‘s father‘s younger brother‘s daughter",,,"Holle1980v2",
"mFeZD","fano maping",,"male ego's father‘s older sister‘s daughter",,,"Holle1980v2",
"mFyZD","fano maping",,"male ego‘s father‘s younger sister‘s daughter",,,"Holle1980v2",
"mMeBS","fano",,"male ego's mother‘s older brother‘s son",,,"Holle1980v2",
"mMyBS","fano",,"male ego‘s mother‘s younger brother‘s son",,,"Holle1980v2",
"mMeZS","fano",,"male ego's mother‘s older sister‘s son",,,"Holle1980v2",
"mMyZS","fano",,"male ego‘s mother‘s younger sister‘s son",,,"Holle1980v2",
"mMeBD","fano maping",,"male ego's mother‘s older brother‘s daughter",,,"Holle1980v2",
"mMyBD","fano maping",,"male ego‘s mother‘s younger brother‘s daughter",,,"Holle1980v2",
"mMeZD","fano maping",,"male ego's mother‘s older sister‘s daughter",,,"Holle1980v2",
"mMyZD","fano maping",,"male ego‘s mother‘s younger sister‘s daughter",,,"Holle1980v2",
"fFeBS","fano",,"female ego's father‘s older brother‘s son",,,"Holle1980v2",
"fFyBS","fano",,"female ego‘s father‘s younger brother‘s son",,,"Holle1980v2",
"fFeZS","fano",,"female ego's father‘s older sister‘s son",,,"Holle1980v2",
"fFyZS","fano",,"female ego‘s father‘s younger sister‘s son",,,"Holle1980v2",
"fFeBD","fano maping",,"female ego's father‘s older brother‘s daughter",,,"Holle1980v2",
"fFyBD","fano maping",,"female ego‘s father‘s younger brother‘s daughter",,,"Holle1980v2",
"fFeZD","fano maping",,"female ego's father‘s older sister‘s daughter",,,"Holle1980v2",
"fFyZD","fano maping",,"female ego‘s father‘s younger sister‘s daughter",,,"Holle1980v2",
"fMeBS","fano",,"female ego's mother‘s older brother‘s son",,,"Holle1980v2",
"fMyBS","fano",,"female ego‘s mother‘s younger brother‘s son",,,"Holle1980v2",
"fMeZS","fano",,"female ego's mother‘s older sister‘s son",,,"Holle1980v2",
"fMyZS","fano",,"female ego‘s mother‘s younger sister‘s son",,,"Holle1980v2",
"fMeBD","fano maping",,"female ego's mother‘s older brother‘s daughter",,,"Holle1980v2",
"fMyBD","fano maping",,"female ego‘s mother‘s younger brother‘s daughter",,,"Holle1980v2",
"fMeZD","fano maping",,"female ego's mother‘s older sister‘s daughter",,,"Holle1980v2",
"fMyZD","fano maping",,"female ego‘s mother‘s younger sister‘s daughter",,,"Holle1980v2",
"mWF","manai",,"male ego's wife's father",,,"Holle1980v2",
"fHF","manai",,"female ego's husband's father",,,"Holle1980v2",
"mWM","manai",,"male ego's wife's mother",,,"Holle1980v2",
"fHM","manai",,"female ego's husband's mother",,,"Holle1980v2",
