"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tuqas",,,,"AUS50(640)","busser_towards_2009",""
"meB","masituqas",,,,"AUS50(589)","busser_towards_2009",""
"meB","masituhas",,,,"AUS50(589)","busser_towards_2009",""
"myB","nauba",,,,"AUS50(602)","busser_towards_2009",""
"myB","masinauba",,,,"AUS50(589)","busser_towards_2009",""
"meZ","tuqas",,,,"AUS50(640)","busser_towards_2009",""
"meZ","masituqas",,,,"AUS50(589)","busser_towards_2009",""
"meZ","masituhas",,,,"AUS50(589)","busser_towards_2009",""
"myZ","nauba",,,,"AUS50(602)","busser_towards_2009",""
"myZ","masinauba",,,,"AUS50(589)","busser_towards_2009",""
"mF","tama",,,,"AUS50(632)","busser_towards_2009",""
"mM","tina",,,,"AUS50(637)","busser_towards_2009",""
"mC","uvaö'aö",,,,"AUS50(642)","busser_towards_2009",""
"mFF","aki",,,,"AUS50(545)","busser_towards_2009",""
"mFM","bai",,,,"AUS50(549)","busser_towards_2009",""
"mMF","aki",,,,"AUS50(545)","busser_towards_2009",""
"mMM","bai",,,,"AUS50(549)","busser_towards_2009",""
"mCC","baluvä'aö",,,,"AUS50(549)","busser_towards_2009",""
"mSS","baluvä'aö",,,,"AUS50(549)","busser_towards_2009",""
"mSD","baluvä'aö",,,,"AUS50(549)","busser_towards_2009",""
"mDS","baluvä'aö",,,,"AUS50(549)","busser_towards_2009",""
"mFZD","kailuqai'an",,,,"AUS50(565)","busser_towards_2009",""
"mFBD","maltais'an",,,,"AUS50(582)","busser_towards_2009",""
"mMZD","kailuqai'an",,,,"AUS50(565)","busser_towards_2009",""
"mFBS","maltais'an",,,,"AUS50(582)","busser_towards_2009",""
"mFZS","kailuqai'an",,,,"AUS50(565)","busser_towards_2009",""
"mMZS","kailuqai'an",,,,"AUS50(565)","busser_towards_2009",""
"mW","binanau'aö",,,,"AUS50(550)","busser_towards_2009",""
"mBW","mavala",,,,"AUS50(593)","busser_towards_2009",""
