parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kaka,,male ego's older brother,,,,
myB,wai,,male ego's younger brother,,,,
feB,feta,,female ego's older brother,,,,
fyB,feta,,female ego's younger brother,,,,
meZ,naha,,male ego's older sister,,,,
myZ,naha,,male ego's younger sister,,,,
feZ,kaka,,female ego's older sister,,,,
fyZ,wai,,female ego's younger sister,,,,
mF,ama,,male ego's father,,,,
mM,ina,,male ego's mother,,,,
fF,ama,,female ego's father,,,,
fM,ina,,female ego's mother,,,,
mS,anak,,male ego's son,,,,
fS,anak,,female ego's son,,,,
mD,anak,,male ego's daughter,,,,
fD,anak,,female ego's daughter,,,,
mSS,opo,,male ego's son's son,,,,
mSD,opo,,male ego's son's daughter,,,,
mDS,opo,,male ego's daughter's son,,,,
mDD,opo,,male ego's daughter's daughter,,,,
fSS,opo,,female ego's son's son,,,,
fSD,opo,,female ego's son's daughter,,,,
fDS,opo,,female ego's daughter's son,,,,
fDD,opo,,female ego's daugher's daughter,,,,
mFF,opo,,male ego's father‘s father,,,,
mFM,opo,,male ego's father's mother,,,,
mMF,opo,,male ego's mother's father,,,,
mMM,opo,,male ego's mother's mother,,,,
fFF,opo,,female ego's father's father,,,,
fFM,opo,,female ego's father's mother,,,,
fMF,opo,,female ego's mother's father,,,,
fMM,opo,,female ego's mother's mother,,,,
meBS,anak,,male ego's older brother's son,,,,
myBS,anak,,male ego's younger brother's son,,,,
meZS,anak,,male ego's older sister's son,,,,
myZS,anak,,male ego's younger sister's son,,,,
meBD,anak,,male ego's older brother's daughter,,,,
myBD,anak,,male ego's younger brother's daughter,,,,
meZD,anak,,male ego's older sister's daughter,,,,
myZD,anak,,male ego's younger sister's daughter,,,,
feBS,anak,,female ego's older brother's son,,,,
fyBS,anak,,female ego's younger brother's son,,,,
feZS,anak,,female ego's older sister's son,,,,
fyZS,anak,,female ego's younger sister's son,,,,
feBD,anak,,female ego's older brother's daughter,,,,
fyBD,anak,,female ego's younger brother's daughter,,,,
feZD,anak,,female ego's older sister's daughter,,,,
fyZD,anak,,female ego's younger sister's daughter,,,,
mFeB,ama,,male ego's father's older brother,,,,
mFyB,ama,,male ego's father's younger brother,,,,
mFeZ,yoi,,male ego's father's older sister,,,,
mFyZ,yoi,,male ego's father's younger sister,,,,
mMeB,meme,,male ego's mother's older brother,,,,
mMyB,meme,,male ego's mother's younger brother,,,,
mMeZ,ina,,male ego's mother's older sister,,,,
mMyZ,"ina, in-fali-n",,male ego's mother's younger sister,,,,
fFeB,ama,,female ego's father's older brother,,,,
fFyB,ama,,female ego's father's younger brother,,,,
fFeZ,yoi,,female ego's father's older sister,,,,
fFyZ,yoi,,female ego's father's younger sister,,,,
fMeB,meme,,female ego's mother's older brother,,,,
fMyB,meme,,female ego's mother's younger brother,,,,
fMeZ,ina,,female ego's mother's older sister,,,,
fMyZ,"ina, in-fali-n",,female ego's mother's younger sister,,,,
mW,bali-k,,male ego's wife,,,,
fH,gebhaa,,female ego‘s husband,,,,
mDH,em-sawa-n,,male ego's daughter's husband,,,,
fDH,em-sawa-n,,female ego's daughter's husband,,,,
mSW,em-sawa-n,,male ego's son's wife,,,,
fSW,em-sawa-n,,female ego's son's wife,,,,
mWF,kete,,male ego's wife's father,,,,
mWM,kete,,male ego's wife's mother,,,,
mWB,wali,,male ego's wife's brother,,,,
fHF,kete,,female ego's husband's father,,,,
fHM,kete,,female ego's husband's mother,,,,
fHB,wali,,female ego's husband's brother,,,,
fBW,wali,,female ego's brother's wife,,,,
mZH,wali,,male ego's sister's husband,,,,
fZH,wali,,female ego's sister's husband,,,,
