parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,'aka,,male ego's older brother,,,Headland1974,
myB,'wadi,,male ego's younger brother,,,Headland1974,
feB,'aka,,female ego's older brother,,,Headland1974,
fyB,'wadi,,female ego's younger brother,,,Headland1974,
meZ,'aka,,male ego's older sister,,,Headland1974,
myZ,'wadi,,male ego's younger sister,,,Headland1974,
feZ,'aka,,female ego's older sister,,,Headland1974,
fyZ,'wadi,,female ego's younger sister,,,Headland1974,
mF,'ama,,male ego's father,,,Headland1974,
mM,'ina,,male ego's mother,,,Headland1974,
fF,'ama,,female ego's father,,,Headland1974,
fM,'ina,,female ego's mother,,,Headland1974,
mS,anak,,male ego's son,,,Headland1974,
fS,anak,,female ego's son,,,Headland1974,
mD,anak,,male ego's daughter,,,Headland1974,
fD,anak,,female ego's daughter,,,Headland1974,
mSS,'apo,,male ego's son's son,,,Headland1974,
mSD,'apo,,male ego's son's daughter,,,Headland1974,
mDS,'apo,,male ego's daughter's son,,,Headland1974,
mDD,'apo,,male ego's daughter's daughter,,,Headland1974,
fSS,'apo,,female ego's son's son,,,Headland1974,
fSD,'apo,,female ego's son's daughter,,,Headland1974,
fDS,'apo,,female ego's daughter's son,,,Headland1974,
fDD,'apo,,female ego's daugher's daughter,,,Headland1974,
mFF,'apo,,male ego's father‘s father,,,Headland1974,
mFM,'apo,,male ego's father's mother,,,Headland1974,
mMF,'apo,,male ego's mother's father,,,Headland1974,
mMM,'apo,,male ego's mother's mother,,,Headland1974,
fFF,'apo,,female ego's father's father,,,Headland1974,
fFM,'apo,,female ego's father's mother,,,Headland1974,
fMF,'apo,,female ego's mother's father,,,Headland1974,
fMM,'apo,,female ego's mother's mother,,,Headland1974,
meBS,anéng,,male ego's older brother's son,,,Headland1974,
myBS,anéng,,male ego's younger brother's son,,,Headland1974,
meZS,anéng,,male ego's older sister's son,,,Headland1974,
myZS,anéng,,male ego's younger sister's son,,,Headland1974,
meBD,anéng,,male ego's older brother's daughter,,,Headland1974,
myBD,anéng,,male ego's younger brother's daughter,,,Headland1974,
meZD,anéng,,male ego's older sister's daughter,,,Headland1974,
myZD,anéng,,male ego's younger sister's daughter,,,Headland1974,
feBS,anéng,,female ego's older brother's son,,,Headland1974,
fyBS,anéng,,female ego's younger brother's son,,,Headland1974,
feZS,anéng,,female ego's older sister's son,,,Headland1974,
fyZS,anéng,,female ego's younger sister's son,,,Headland1974,
feBD,anéng,,female ego's older brother's daughter,,,Headland1974,
fyBD,anéng,,female ego's younger brother's daughter,,,Headland1974,
feZD,anéng,,female ego's older sister's daughter,,,Headland1974,
fyZD,anéng,,female ego's younger sister's daughter,,,Headland1974,
mFeB,amay,,male ego's father's older brother,,,Headland1974,
mFyB,amay,,male ego's father's younger brother,,,Headland1974,
mFeZ,'dada,,male ego's father's older sister,,,Headland1974,
mFyZ,'dada,,male ego's father's younger sister,,,Headland1974,
mMeB,amay,,male ego's mother's older brother,,,Headland1974,
mMyB,amay,,male ego's mother's younger brother,,,Headland1974,
mMeZ,'dada,,male ego's mother's older sister,,,Headland1974,
mMyZ,'dada,,male ego's mother's younger sister,,,Headland1974,
fFeB,amay,,female ego's father's older brother,,,Headland1974,
fFyB,amay,,female ego's father's younger brother,,,Headland1974,
fFeZ,'dada,,female ego's father's older sister,,,Headland1974,
fFyZ,'dada,,female ego's father's younger sister,,,Headland1974,
fMeB,amay,,female ego's mother's older brother,,,Headland1974,
fMyB,amay,,female ego's mother's younger brother,,,Headland1974,
fMeZ,'dada,,female ego's mother's older sister,,,Headland1974,
fMyZ,'dada,,female ego's mother's younger sister,,,Headland1974,
mW,bakés,,male ego's wife,,,Headland1974,
fH,lakay,,female ego‘s husband,,,Headland1974,
mDH,manugen,,male ego's daughter's husband,,,Headland1974,
fDH,manugen,,female ego's daughter's husband,,,Headland1974,
mSW,manugen,,male ego's son's wife,,,Headland1974,
fSW,manugen,,female ego's son's wife,,,Headland1974,
mWF,manugen,,male ego's wife's father,,,Headland1974,
mWM,manugen,,male ego's wife's mother,,,Headland1974,
mWB,'kayong,,male ego's wife's brother,,,Headland1974,
mWZ,'kayong,,male ego's wife's sister,,,Headland1974,
fHF,manugen,,female ego's husband's father,,,Headland1974,
fHM,manugen,,female ego's husband's mother,,,Headland1974,
fHB,'kayong,,female ego's husband's brother,,,Headland1974,
fHZ,'kayong,,female ego's husband's sister,,,Headland1974,
mBW,'kayong,,male ego's brother's wife,,,Headland1974,
fBW,'kayong,,female ego's brother's wife,,,Headland1974,
mZH,'kayong,,male ego's sister's husband,,,Headland1974,
fZH,'kayong,,female ego's sister's husband,,,Headland1974,
mFBS,'pensan,,male ego's father's brother's son,,,Headland1974,
mFZS,'pensan,,male ego's father's sister's son,,,Headland1974,
