parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"súun ig-, pútul ug, titi",,male ego's older brother,,,,
myB,"manghud, súun ig-, pútul ug",,male ego's younger brother,,,,
feB,"súun ig-, pútul ug, titi",,female ego's older brother,,,,
fyB,"manghud, súun ig-, pútul ug",,female ego's younger brother,,,,
meZ,"súun ig-, pútul ug, manang",,male ego's older sister,,,,
myZ,"manghud, súun ig-, pútul ug",,male ego's younger sister,,,,
feZ,"súun ig-, pútul ug, manang",,female ego's older sister,,,,
fyZ,"manghud, súun ig-, pútul ug",,female ego's younger sister,,,,
mF,"úyung, amahan, irpat, itay",,male ego's father,,,,
mM,anay,,male ego's mother,,,,
fF,"úyung, amahan, irpat, itay",,female ego's father,,,,
fM,anay,,female ego's mother,,,,
mS,anak,,male ego's son,,,,
fS,anak,,female ego's son,,,,
mD,anak,,male ego's daughter,,,,
fD,anak,,female ego's daughter,,,,
mSS,apu,,male ego's son's son,,,,
mSD,apu,,male ego's son's daughter,,,,
mDS,apu,,male ego's daughter's son,,,,
mDD,apu,,male ego's daughter's daughter,,,,
fSS,apu,,female ego's son's son,,,,
fSD,apu,,female ego's son's daughter,,,,
fDS,apu,,female ego's daughter's son,,,,
fDD,apu,,female ego's daugher's daughter,,,,
mFF,"úyung, lúlu",,male ego's father‘s father,,,,
mFM,úyang,,male ego's father's mother,,,,
mMF,"úyung, lúlu",,male ego's mother's father,,,,
mMM,úyang,,male ego's mother's mother,,,,
fFF,"úyung, lúlu",,female ego's father's father,,,,
fFM,úyang,,female ego's father's mother,,,,
fMF,"úyung, lúlu",,female ego's mother's father,,,,
fMM,úyang,,female ego's mother's mother,,,,
meBS,pag-umangkun,,male ego's older brother's son,,,,
myBS,pag-umangkun,,male ego's younger brother's son,,,,
meZS,pag-umangkun,,male ego's older sister's son,,,,
myZS,pag-umangkun,,male ego's younger sister's son,,,,
meBD,pag-umangkun,,male ego's older brother's daughter,,,,
myBD,pag-umangkun,,male ego's younger brother's daughter,,,,
meZD,pag-umangkun,,male ego's older sister's daughter,,,,
myZD,pag-umangkun,,male ego's younger sister's daughter,,,,
feBS,pag-umangkun,,female ego's older brother's son,,,,
fyBS,pag-umangkun,,female ego's younger brother's son,,,,
feZS,pag-umangkun,,female ego's older sister's son,,,,
fyZS,pag-umangkun,,female ego's younger sister's son,,,,
feBD,pag-umangkun,,female ego's older brother's daughter,,,,
fyBD,pag-umangkun,,female ego's younger brother's daughter,,,,
feZD,pag-umangkun,,female ego's older sister's daughter,,,,
fyZD,pag-umangkun,,female ego's younger sister's daughter,,,,
mFeB,uyuan,,male ego's father's older brother,,,,
mFyB,uyuan,,male ego's father's younger brother,,,,
mFeZ,anti,,male ego's father's older sister,,,,
mFyZ,anti,,male ego's father's younger sister,,,,
mMeB,uyuan,,male ego's mother's older brother,,,,
mMyB,uyuan,,male ego's mother's younger brother,,,,
mMeZ,anti,,male ego's mother's older sister,,,,
mMyZ,anti,,male ego's mother's younger sister,,,,
fFeB,uyuan,,female ego's father's older brother,,,,
fFyB,uyuan,,female ego's father's younger brother,,,,
fFeZ,anti,,female ego's father's older sister,,,,
fFyZ,anti,,female ego's father's younger sister,,,,
fMeB,uyuan,,female ego's mother's older brother,,,,
fMyB,uyuan,,female ego's mother's younger brother,,,,
fMeZ,anti,,female ego's mother's older sister,,,,
fMyZ,anti,,female ego's mother's younger sister,,,,
mW,ispúsa,,male ego's wife,,,,
fH,bána,,female ego‘s husband,,,,
mDH,masámung,,male ego's daughter's husband,,,,
fDH,masámung,,female ego's daughter's husband,,,,
mSW,binaláyi,,male ego's son's wife,,,,
fSW,binaláyi,,female ego's son's wife,,,,
mWB,bayaw,,male ego's wife's brother,,,,
mWZ,bayaw,,male ego's wife's sister,,,,
fHB,bayaw,,female ego's husband's brother,,,,
fHZ,bayaw,,female ego's husband's sister,,,,
mBW,bayaw,,male ego's brother's wife,,,,
fBW,bayaw,,female ego's brother's wife,,,,
mZH,"bayaw, masámung",,male ego's sister's husband,,,,
fZH,"bayaw, masámung",,female ego's sister's husband,,,,
mFBS,"igtagsa, ig-",,male ego's father's brother's son,,,,
mFZS,"igtagsa, ig-",,male ego's father's sister's son,,,,
mMBS,"igtagsa, ig-",,male ego's mother's brother's son,,,,
mMZS,"igtagsa, ig-",,male ego's mother's sister's son,,,,
mFBD,"igtagsa, ig-",,male ego's father's brother's daughter,,,,
mFZD,"igtagsa, ig-",,male ego's father's sister's daughter,,,,
mMBD,"igtagsa, ig-",,male ego's mother's brother's daughter,,,,
mMZD,"igtagsa, ig-",,male ego's mother's sister's daughter,,,,
fFBS,"igtagsa, ig-",,female ego's father's brother's son,,,,
fFZS,"igtagsa, ig-",,female ego's father's sister's son,,,,
fMBS,"igtagsa, ig-",,female ego's mother's brother's son,,,,
fMZS,"igtagsa, ig-",,female ego's mother's sister's son,,,,
fFBD,"igtagsa, ig-",,female ego's father's brother's daughter,,,,
fFZD,"igtagsa, ig-",,female ego's father's sister's daughter,,,,
fMBD,"igtagsa, ig-",,female ego's mother's brother's daughter,,,,
fMZD,"igtagsa, ig-",,female ego's mother's sister's daughter,,,,
