parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"kaka-, ábe",,male ego's older brother,,,Healey1960,
myB,wagi,,male ego's younger brother,,,Healey1960,
feB,kalakyán,,female ego's older brother,,,Healey1960,
fyB,kalakyán,,female ego's younger brother,,,Healey1960,
meZ,kábayán,,male ego's older sister,,,Healey1960,
myZ,kábayán,,male ego's younger sister,,,Healey1960,
feZ,"kaka-, ábe",,female ego's older sister,,,Healey1960,
fyZ,wagi,,female ego's younger sister,,,Healey1960,
mF,dama-,,male ego's father,,,Healey1960,
mM,hina-,,male ego's mother,,,Healey1960,
fF,dama-,,female ego's father,,,Healey1960,
fM,hina-,,female ego's mother,,,Healey1960,
mS,"aleng, anák",,male ego's son,,,Healey1960,
fS,"aleng, anák",,female ego's son,,,Healey1960,
mD,"aleng, anák",,male ego's daughter,,,Healey1960,
fD,"aleng, anák",,female ego's daughter,,,Healey1960,
mSS,afu,,male ego's son's son,,,Healey1960,
mSD,afu,,male ego's son's daughter,,,Healey1960,
mDS,afu,,male ego's daughter's son,,,Healey1960,
mDD,afu,,male ego's daughter's daughter,,,Healey1960,
fSS,afu,,female ego's son's son,,,Healey1960,
fSD,afu,,female ego's son's daughter,,,Healey1960,
fDS,afu,,female ego's daughter's son,,,Healey1960,
fDD,afu,,female ego's daugher's daughter,,,Healey1960,
mFF,bábo,,male ego's father‘s father,,,Healey1960,
mFM,bábo,,male ego's father's mother,,,Healey1960,
mMF,bábo,,male ego's mother's father,,,Healey1960,
mMM,bábo,,male ego's mother's mother,,,Healey1960,
fFF,bábo,,female ego's father's father,,,Healey1960,
fFM,bábo,,female ego's father's mother,,,Healey1960,
fMF,bábo,,female ego's mother's father,,,Healey1960,
fMM,bábo,,female ego's mother's mother,,,Healey1960,
meBS,pangánakán,,male ego's older brother's son,,,Healey1960,
myBS,pangánakán,,male ego's younger brother's son,,,Healey1960,
meZS,pangánakán,,male ego's older sister's son,,,Healey1960,
myZS,pangánakán,,male ego's younger sister's son,,,Healey1960,
