parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,g-ilugu,,male ego's older brother,,,,
myB,g-ilugu,,male ego's younger brother,,,,
feB,g-ilugu,,female ego's older brother,,,,
fyB,g-ilugu,,female ego's younger brother,,,,
meZ,g-ilugu,,male ego's older sister,,,,
myZ,g-ilugu,,male ego's younger sister,,,,
feZ,g-ilugu,,female ego's older sister,,,,
fyZ,g-ilugu,,female ego's younger sister,,,,
mF,g-ama,,male ego's father,,,,
mM,g-ina,,male ego's mother,,,,
fF,g-ama,,female ego's father,,,,
fM,g-ina,,female ego's mother,,,,
mS,bata,,male ego's son,,,,
fS,bata,,female ego's son,,,,
mD,bata,,male ego's daughter,,,,
fD,bata,,female ego's daughter,,,,
mFF,g-apo,,male ego's father‘s father,,,,
mFM,g-apo,,male ego's father's mother,,,,
mMF,g-apo,,male ego's mother's father,,,,
mMM,g-apo,,male ego's mother's mother,,,,
fFF,g-apo,,female ego's father's father,,,,
fFM,g-apo,,female ego's father's mother,,,,
fMF,g-apo,,female ego's mother's father,,,,
fMM,g-apo,,female ego's mother's mother,,,,
mFeB,manak,,male ego's father's older brother,,,,
mFyB,manak,,male ego's father's younger brother,,,,
mMeB,g-aya,,male ego's mother's older brother,,,,
mMyB,g-aya,,male ego's mother's younger brother,,,,
fFeB,manak,,female ego's father's older brother,,,,
fFyB,manak,,female ego's father's younger brother,,,,
fMeB,g-aya,,female ego's mother's older brother,,,,
fMyB,g-aya,,female ego's mother's younger brother,,,,
mW,sawa,,male ego's wife,,,,
mWF,ponongangan,,male ego's wife's father,,,,
mWM,ponongangan,,male ego's wife's mother,,,,
fHF,ponongangan,,female ego's husband's father,,,,
fHM,ponongangan,,female ego's husband's mother,,,,
