"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tigagna",,"male ego's older brother",,,"White1988",
"myB","tahigna",,"male ego's younger brother",,,"White1988",
"feB","ḡregagna",,"female ego's older brother",,,"White1988",
"fyB","ḡregagna",,"female ego's younger brother",,,"White1988",
"meZ","ḡregagna",,"male ego's older sister",,,"White1988",
"myZ","ḡregagna",,"male ego's younger sister",,,"White1988",
"feZ","tigagna",,"female ego's older sister",,,"White1988",
"fyZ","tahigna",,"female ego's younger sister",,,"White1988",
"mF","kmagna",,"male ego's father",,,"White1988",
"mM","dogegna",,"male ego's mother",,,"White1988",
"fF","kmagna",,"female ego's father",,,"White1988",
"fM","dogegna",,"female ego's mother",,,"White1988",
"mS","thugna",,"male ego's son",,,"White1988",
"fS","thugna",,"female ego's son",,,"White1988",
"mD","thugna",,"male ego's daughter",,,"White1988",
"fD","thugna",,"female ego's daughter",,,"White1988",
"mSS","ḡragna",,"male ego's son's son",,,"White1988",
"mSD","ḡragna",,"male ego's son's daughter",,,"White1988",
"mDS","ḡragna",,"male ego's daughter's son",,,"White1988",
"mDD","ḡragna",,"male ego's daughter's daughter",,,"White1988",
"fSS","ḡragna",,"female ego's son's son",,,"White1988",
"fSD","ḡragna",,"female ego's son's daughter",,,"White1988",
"fDS","ḡragna",,"female ego's daughter's son",,,"White1988",
"fDD","ḡragna",,"female ego's daugher's daughter",,,"White1988",
"mFM","kave",,"male ego's father's mother",,,"White1988",
"mMM","kave",,"male ego's mother's mother",,,"White1988",
"fFM","kave",,"female ego's father's mother",,,"White1988",
"fMM","kave",,"female ego's mother's mother",,,"White1988",
"meZS","ḡlegugna",,"male ego's older sister's son",,,"White1988",
"myZS","ḡlegugna",,"male ego's younger sister's son",,,"White1988",
"meZD","ḡlegugna",,"male ego's older sister's daughter",,,"White1988",
"myZD","ḡlegugna",,"male ego's younger sister's daughter",,,"White1988",
"mFeB","kmagna",,"male ego's father's older brother",,,"White1988",
"mFyB","kmagna",,"male ego's father's younger brother",,,"White1988",
"mMeB","nebugna, thabubugna",,"male ego's mother's older brother",,,"White1988",
"mMyB","nebugna, thabubugna",,"male ego's mother's younger brother",,,"White1988",
"fFeB","kmagna",,"female ego's father's older brother",,,"White1988",
"fFyB","kmagna",,"female ego's father's younger brother",,,"White1988",
"fMeB","nebugna, thabubugna",,"female ego's mother's older brother",,,"White1988",
"fMyB","nebugna, thabubugna",,"female ego's mother's younger brother",,,"White1988",
"mW","khetogna",,"male ego's wife",,,"White1988",
"fH","khetogna",,"female ego‘s husband",,,"White1988",
"mWM","nan̄hogna",,"male ego's wife's mother",,,"White1988",
"mWB","iva, tifi, vave",,"male ego's wife's brother",,,"White1988",
"mWZ","iva, tifi, vave",,"male ego's wife's sister",,,"White1988",
"fHB","iva, tifi, vave",,"female ego's husband's brother",,,"White1988",
"fHZ","iva, tifi, vave",,"female ego's husband's sister",,,"White1988",
"mBW","iva, tifi, vave",,"male ego's brother's wife",,,"White1988",
"fBW","iva, tifi, vave",,"female ego's brother's wife",,,"White1988",
"mZH","iva, tifi, vave",,"male ego's sister's husband",,,"White1988",
"fZH","iva, tifi, vave",,"female ego's sister's husband",,,"White1988",
"mFBeS","tigagna",,"male ego‘s father‘s brother‘s older son",,,"White1988",
"mFByS","tahigna",,"male ego‘s father‘s brother‘s younger son",,,"White1988",
"mFBeD","ḡregagna",,"male ego‘s father‘s brother‘s older daughter",,,"White1988",
"mFByD","ḡregagna",,"male ego‘s father‘s brother‘s younger daughter",,,"White1988",
"mFZeS","fakarhaigna",,"male ego‘s father‘s sisters‘s older son",,,"White1988",
"mFZyS","fakarhaigna",,"male ego‘s father‘s sisters‘s younger son",,,"White1988",
"mFZeD","fakarhaigna",,"male ego‘s father‘s sisters‘s older daughter",,,"White1988",
"mFZyD","fakarhaigna",,"male ego‘s father‘s sisters‘s younger daughter",,,"White1988",
"mMBeS","fakarhaigna",,"male ego‘s mother‘s brother‘s older son",,,"White1988",
"mMByS","fakarhaigna",,"male ego‘s mother‘s brother‘s younger son",,,"White1988",
"mMBeD","fakarhaigna",,"male ego‘s mother‘s brother‘s older daughter",,,"White1988",
"mMByD","fakarhaigna",,"male ego‘s mother‘s brother‘s younger daughter",,,"White1988",
"mMZeS","tigagna",,"male ego‘s mother‘s sisters‘s older son",,,"White1988",
"mMZyS","tahigna",,"male ego‘s mother‘s sisters‘s younger son",,,"White1988",
"mMZeD","ḡregagna",,"male ego‘s mother‘s sisters‘s older daughter",,,"White1988",
