parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"mama, tejin",,male ego's older brother,,,Dehu1967,
myB,"jin, tejin",,male ego's younger brother,,,Dehu1967,
feB,mama,,female ego's older brother,,,Dehu1967,
meZ,"ifaxa, mama",,male ego's older sister,,,Dehu1967,
myZ,ifaxa,,male ego's younger sister,,,Dehu1967,
feZ,"ifaxa, mama, tejin",,female ego's older sister,,,Dehu1967,
fyZ,"jin, tejin",,female ego's younger sister,,,Dehu1967,
mM,teifenie,,male ego's mother,,,Dehu1967,
fM,teifenie,,female ego's mother,,,Dehu1967,
mD,xeze,,male ego's daughter,,,Dehu1967,
fD,xeze,,female ego's daughter,,,Dehu1967,
mSS,api,,male ego's son's son,,,Dehu1967,
mSD,api,,male ego's son's daughter,,,Dehu1967,
mDS,api,,male ego's daughter's son,,,Dehu1967,
mDD,api,,male ego's daughter's daughter,,,Dehu1967,
fSS,api,,female ego's son's son,,,Dehu1967,
fSD,api,,female ego's son's daughter,,,Dehu1967,
fDS,api,,female ego's daughter's son,,,Dehu1967,
fDD,api,,female ego's daugher's daughter,,,Dehu1967,
mFF,qaqaa,,male ego's father‘s father,,,Dehu1967,
mFM,qaqa,,male ego's father's mother,,,Dehu1967,
mMF,qaqaa,,male ego's mother's father,,,Dehu1967,
mMM,qaqa,,male ego's mother's mother,,,Dehu1967,
fFF,qaqaa,,female ego's father's father,,,Dehu1967,
fFM,qaqa,,female ego's father's mother,,,Dehu1967,
fMF,qaqaa,,female ego's mother's father,,,Dehu1967,
fMM,qaqa,,female ego's mother's mother,,,Dehu1967,
mFeZ,tete,,male ego's father's older sister,,,Dehu1967,
mFyZ,tete,,male ego's father's younger sister,,,Dehu1967,
mMeZ,tete,,male ego's mother's older sister,,,Dehu1967,
mMyZ,tete,,male ego's mother's younger sister,,,Dehu1967,
fFeZ,tete,,female ego's father's older sister,,,Dehu1967,
fFyZ,tete,,female ego's father's younger sister,,,Dehu1967,
fMeZ,tete,,female ego's mother's older sister,,,Dehu1967,
fMyZ,tete,,female ego's mother's younger sister,,,Dehu1967,
mW,föe,,male ego's wife,,,Dehu1967,
mDH,tesin,,male ego's daughter's husband,,,Dehu1967,
fDH,tesin,,female ego's daughter's husband,,,Dehu1967,
