parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"teik, mwagatina",,male ego's older brother,,,,
myB,"teik, mwagatina",,male ego's younger brother,,,,
feB,tutvak,,female ego's older brother,,,,
fyB,tutvak,,female ego's younger brother,,,,
meZ,tutvak,,male ego's older sister,,,,
myZ,tutvak,,male ego's younger sister,,,,
feZ,"teik, mwagatina",,female ego's older sister,,,,
fyZ,"teik, mwagatina",,female ego's younger sister,,,,
mF,mamakia,,male ego's father,,,,
mM,tatakia,,male ego's mother,,,,
fF,mamakia,,female ego's father,,,,
fM,tatakia,,female ego's mother,,,,
mS,mwegoiakia,,male ego's son,,,,
fS,mwegoiakia,,female ego's son,,,,
mD,mwegoiakia,,male ego's daughter,,,,
fD,mwegoiakia,,female ego's daughter,,,,
mMF,pupukia,,male ego's mother's father,,,,
mMM,pupukia,,male ego's mother's mother,,,,
fMF,pupukia,,female ego's mother's father,,,,
fMM,pupukia,,female ego's mother's mother,,,,
meZS,meruk,,male ego's older sister's son,,,,
myZS,meruk,,male ego's younger sister's son,,,,
meZD,meruk,,male ego's older sister's daughter,,,,
myZD,meruk,,male ego's younger sister's daughter,,,,
feBS,mwegoiakia,,female ego's older brother's son,,,,
fyBS,mwegoiakia,,female ego's younger brother's son,,,,
feZS,mwegoiakia,,female ego's older sister's son,,,,
fyZS,mwegoiakia,,female ego's younger sister's son,,,,
feBD,mwegoiakia,,female ego's older brother's daughter,,,,
fyBD,mwegoiakia,,female ego's younger brother's daughter,,,,
feZD,mwegoiakia,,female ego's older sister's daughter,,,,
fyZD,mwegoiakia,,female ego's younger sister's daughter,,,,
mFeB,mamakia,,male ego's father's older brother,,,,
mFyB,mamakia,,male ego's father's younger brother,,,,
mMeZ,tatakia,,male ego's mother's older sister,,,,
mMyZ,tatakia,,male ego's mother's younger sister,,,,
fFeB,mamakia,,female ego's father's older brother,,,,
fFyB,mamakia,,female ego's father's younger brother,,,,
fMeZ,tatakia,,female ego's mother's older sister,,,,
fMyZ,tatakia,,female ego's mother's younger sister,,,,
mW,"tekwinana, tekwinakia",,male ego's wife,,,,
fH,"tekwenakia, temwankia",,female ego‘s husband,,,,
mDH,kwiiga,,male ego's daughter's husband,,,,
fDH,kwiiga,,female ego's daughter's husband,,,,
mWF,kwiiga,,male ego's wife's father,,,,
mWM,kwiiga,,male ego's wife's mother,,,,
mWB,woiuk,,male ego's wife's brother,,,,
mZH,kwiiga,,male ego's sister's husband,,,,
