"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","menyadi",,"male ego's older brother",,,"harding1970cultures",""
"myB","menyadi",,"male ego's younger brother",,,"harding1970cultures",""
"feB","menyadi",,"female ego's older brother",,,"harding1970cultures",""
"fyB","menyadi",,"female ego's younger brother",,,"harding1970cultures",""
"meZ","menyadi",,"male ego's older sister",,,"harding1970cultures",""
"myZ","menyadi",,"male ego's younger sister",,,"harding1970cultures",""
"feZ","menyadi",,"female ego's older sister",,,"harding1970cultures",""
"fyZ","menyadi",,"female ego's younger sister",,,"harding1970cultures",""
"mF","apai",,"male ego's father",,,"harding1970cultures",""
"mM","indai",,"male ego's mother",,,"harding1970cultures",""
"fF","apai",,"female ego's father",,,"harding1970cultures",""
"fM","indai",,"female ego's mother",,,"harding1970cultures",""
"mS","anak",,"male ego's son",,,"harding1970cultures",""
"fS","anak",,"female ego's son",,,"harding1970cultures",""
"mD","anak",,"male ego's daughter",,,"harding1970cultures",""
"fD","anak",,"female ego's daughter",,,"harding1970cultures",""
"mSS","ucho",,"male ego's son's son",,,"harding1970cultures",""
"mSD","ucho",,"male ego's son's daughter",,,"harding1970cultures",""
"mDS","ucho",,"male ego's daughter's son",,,"harding1970cultures",""
"mDD","ucho",,"male ego's daughter's daughter",,,"harding1970cultures",""
"fSS","ucho",,"female ego's son's son",,,"harding1970cultures",""
"fSD","ucho",,"female ego's son's daughter",,,"harding1970cultures",""
"fDS","ucho",,"female ego's daughter's son",,,"harding1970cultures",""
"fDD","ucho",,"female ego's daugher's daughter",,,"harding1970cultures",""
"mFF","aki",,"male ego's father‘s father",,,"harding1970cultures",""
"mFM","ini",,"male ego's father's mother",,,"harding1970cultures",""
"mMF","aki",,"male ego's mother's father",,,"harding1970cultures",""
"mMM","ini",,"male ego's mother's mother",,,"harding1970cultures",""
"fFF","aki",,"female ego's father's father",,,"harding1970cultures",""
"fFM","ini",,"female ego's father's mother",,,"harding1970cultures",""
"fMF","aki",,"female ego's mother's father",,,"harding1970cultures",""
"fMM","ini",,"female ego's mother's mother",,,"harding1970cultures",""
"meBS","akan",,"male ego's older brother's son",,,"harding1970cultures",""
"myBS","akan",,"male ego's younger brother's son",,,"harding1970cultures",""
