parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"kaparsut, wagi",,male ego's older brother,,,,
myB,"kaparsut, udiyán, wagi",,male ego's younger brother,,,,
feB,"kaparsut, wagi",,female ego's older brother,,,,
fyB,"kaparsut, udiyán, wagi",,female ego's younger brother,,,,
meZ,"kaparsut, wagi",,male ego's older sister,,,,
myZ,"kaparsut, udiyán, wagi",,male ego's younger sister,,,,
feZ,"kaparsut, wagi",,female ego's older sister,,,,
fyZ,"kaparsut, udiyán, wagi",,female ego's younger sister,,,,
mF,ama,,male ego's father,,,,
mM,ina,,male ego's mother,,,,
fF,ama,,female ego's father,,,,
fM,ina,,female ego's mother,,,,
mS,anqanaq,,male ego's son,,,,
fS,anqanaq,,female ego's son,,,,
mD,anqanaq,,male ego's daughter,,,,
fD,anqanaq,,female ego's daughter,,,,
mSS,apúku,,male ego's son's son,,,,
mSD,apúku,,male ego's son's daughter,,,,
mDS,apúku,,male ego's daughter's son,,,,
mDD,apúku,,male ego's daughter's daughter,,,,
fSS,apúku,,female ego's son's son,,,,
fSD,apúku,,female ego's son's daughter,,,,
fDS,apúku,,female ego's daughter's son,,,,
fDD,apúku,,female ego's daugher's daughter,,,,
mFF,akay,,male ego's father‘s father,,,,
mFM,ukoq,,male ego's father's mother,,,,
mMF,akay,,male ego's mother's father,,,,
mMM,ukoq,,male ego's mother's mother,,,,
fFF,akay,,female ego's father's father,,,,
fFM,ukoq,,female ego's father's mother,,,,
fMF,akay,,female ego's mother's father,,,,
fMM,ukoq,,female ego's mother's mother,,,,
meBS,ammanakan,,male ego's older brother's son,,,,
myBS,ammanakan,,male ego's younger brother's son,,,,
meZS,ammanakan,,male ego's older sister's son,,,,
myZS,ammanakan,,male ego's younger sister's son,,,,
meBD,ammanakan,,male ego's older brother's daughter,,,,
myBD,ammanakan,,male ego's younger brother's daughter,,,,
meZD,ammanakan,,male ego's older sister's daughter,,,,
myZD,ammanakan,,male ego's younger sister's daughter,,,,
feBS,ammanakan,,female ego's older brother's son,,,,
fyBS,ammanakan,,female ego's younger brother's son,,,,
feZS,ammanakan,,female ego's older sister's son,,,,
fyZS,ammanakan,,female ego's younger sister's son,,,,
feBD,ammanakan,,female ego's older brother's daughter,,,,
fyBD,ammanakan,,female ego's younger brother's daughter,,,,
feZD,ammanakan,,female ego's older sister's daughter,,,,
fyZD,ammanakan,,female ego's younger sister's daughter,,,,
mFeB,ulitag,,male ego's father's older brother,,,,
mFyB,ulitag,,male ego's father's younger brother,,,,
mFeZ,fkit,,male ego's father's older sister,,,,
mFyZ,fkit,,male ego's father's younger sister,,,,
mMeB,ulitag,,male ego's mother's older brother,,,,
mMyB,ulitag,,male ego's mother's younger brother,,,,
mMeZ,fkit,,male ego's mother's older sister,,,,
mMyZ,fkit,,male ego's mother's younger sister,,,,
fFeB,ulitag,,female ego's father's older brother,,,,
fFyB,ulitag,,female ego's father's younger brother,,,,
fFeZ,fkit,,female ego's father's older sister,,,,
fFyZ,fkit,,female ego's father's younger sister,,,,
fMeB,ulitag,,female ego's mother's older brother,,,,
fMyB,ulitag,,female ego's mother's younger brother,,,,
fMeZ,fkit,,female ego's mother's older sister,,,,
fMyZ,fkit,,female ego's mother's younger sister,,,,
mW,atáwa,,male ego's wife,,,,
fH,atáwa,,female ego‘s husband,,,,
mDH,manúgang,,male ego's daughter's husband,,,,
fDH,manúgang,,female ego's daughter's husband,,,,
mSW,manúgang,,male ego's son's wife,,,,
fSW,manúgang,,female ego's son's wife,,,,
mWF,katugángan,,male ego's wife's father,,,,
mWM,katugángan,,male ego's wife's mother,,,,
mWB,katayug,,male ego's wife's brother,,,,
mWZ,ípág,,male ego's wife's sister,,,,
fHF,katugángan,,female ego's husband's father,,,,
fHM,katugángan,,female ego's husband's mother,,,,
fHB,ípág,,female ego's husband's brother,,,,
fHZ,katayug,,female ego's husband's sister,,,,
mBW,ípág,,male ego's brother's wife,,,,
fBW,katayug,,female ego's brother's wife,,,,
mZH,katayug,,male ego's sister's husband,,,,
fZH,ípág,,female ego's sister's husband,,,,
mFBS,kapinsán,,male ego's father's brother's son,,,,
mFZS,kapinsán,,male ego's father's sister's son,,,,
mMBS,kapinsán,,male ego's mother's brother's son,,,,
mMZS,kapinsán,,male ego's mother's sister's son,,,,
mFBD,kapinsán,,male ego's father's brother's daughter,,,,
mFZD,kapinsán,,male ego's father's sister's daughter,,,,
mMBD,kapinsán,,male ego's mother's brother's daughter,,,,
mMZD,kapinsán,,male ego's mother's sister's daughter,,,,
fFBS,kapinsán,,female ego's father's brother's son,,,,
fFZS,kapinsán,,female ego's father's sister's son,,,,
fMBS,kapinsán,,female ego's mother's brother's son,,,,
fMZS,kapinsán,,female ego's mother's sister's son,,,,
fFBD,kapinsán,,female ego's father's brother's daughter,,,,
fFZD,kapinsán,,female ego's father's sister's daughter,,,,
fMBD,kapinsán,,female ego's mother's brother's daughter,,,,
fMZD,kapinsán,,female ego's mother's sister's daughter,,,,
