parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kabsat,,male ego's older brother,,,,
myB,áding,,male ego's younger brother,,,,
feB,kabsat,,female ego's older brother,,,,
fyB,áding,,female ego's younger brother,,,,
meZ,kabsat,,male ego's older sister,,,,
myZ,áding,,male ego's younger sister,,,,
feZ,kabsat,,female ego's older sister,,,,
fyZ,áding,,female ego's younger sister,,,,
mF,ama,,male ego's father,,,,
mM,ina,,male ego's mother,,,,
fF,ama,,female ego's father,,,,
fM,ina,,female ego's mother,,,,
mS,anak,,male ego's son,,,,
fS,anak,,female ego's son,,,,
mD,anak,,male ego's daughter,,,,
fD,anak,,female ego's daughter,,,,
mSS,apu,,male ego's son's son,,,,
mSD,apu,,male ego's son's daughter,,,,
mDS,apu,,male ego's daughter's son,,,,
mDD,apu,,male ego's daughter's daughter,,,,
fSS,apu,,female ego's son's son,,,,
fSD,apu,,female ego's son's daughter,,,,
fDS,apu,,female ego's daughter's son,,,,
fDD,apu,,female ego's daugher's daughter,,,,
mFF,"apu, lúlung",,male ego's father‘s father,,,,
mFM,"apu, lúlang",,male ego's father's mother,,,,
mMF,"apu, lúlung",,male ego's mother's father,,,,
mMM,"apu, lúlang",,male ego's mother's mother,,,,
fFF,"apu, lúlung",,female ego's father's father,,,,
fFM,"apu, lúlang",,female ego's father's mother,,,,
fMF,"apu, lúlung",,female ego's mother's father,,,,
fMM,"apu, lúlang",,female ego's mother's mother,,,,
meBS,ka'anakan,,male ego's older brother's son,,,,
myBS,ka'anakan,,male ego's younger brother's son,,,,
meZS,ka'anakan,,male ego's older sister's son,,,,
myZS,ka'anakan,,male ego's younger sister's son,,,,
meBD,ka'anakan,,male ego's older brother's daughter,,,,
myBD,ka'anakan,,male ego's younger brother's daughter,,,,
meZD,ka'anakan,,male ego's older sister's daughter,,,,
myZD,ka'anakan,,male ego's younger sister's daughter,,,,
feBS,ka'anakan,,female ego's older brother's son,,,,
fyBS,ka'anakan,,female ego's younger brother's son,,,,
feZS,ka'anakan,,female ego's older sister's son,,,,
fyZS,ka'anakan,,female ego's younger sister's son,,,,
feBD,ka'anakan,,female ego's older brother's daughter,,,,
fyBD,ka'anakan,,female ego's younger brother's daughter,,,,
feZD,ka'anakan,,female ego's older sister's daughter,,,,
fyZD,ka'anakan,,female ego's younger sister's daughter,,,,
mFeB,pangama'en,,male ego's father's older brother,,,,
mFyB,pangama'en,,male ego's father's younger brother,,,,
mFeZ,pangina'en,,male ego's father's older sister,,,,
mFyZ,pangina'en,,male ego's father's younger sister,,,,
mMeB,pangama'en,,male ego's mother's older brother,,,,
mMyB,pangama'en,,male ego's mother's younger brother,,,,
mMeZ,pangina'en,,male ego's mother's older sister,,,,
mMyZ,pangina'en,,male ego's mother's younger sister,,,,
fFeB,pangama'en,,female ego's father's older brother,,,,
fFyB,pangama'en,,female ego's father's younger brother,,,,
fFeZ,pangina'en,,female ego's father's older sister,,,,
fFyZ,pangina'en,,female ego's father's younger sister,,,,
fMeB,pangama'en,,female ego's mother's older brother,,,,
fMyB,pangama'en,,female ego's mother's younger brother,,,,
fMeZ,pangina'en,,female ego's mother's older sister,,,,
fMyZ,pangina'en,,female ego's mother's younger sister,,,,
mFBS,kasinsin,,male ego's father's brother's son,,,,
mFZS,kasinsin,,male ego's father's sister's son,,,,
mMBS,kasinsin,,male ego's mother's brother's son,,,,
mMZS,kasinsin,,male ego's mother's sister's son,,,,
mFBD,kasinsin,,male ego's father's brother's daughter,,,,
mFZD,kasinsin,,male ego's father's sister's daughter,,,,
mMBD,kasinsin,,male ego's mother's brother's daughter,,,,
mMZD,kasinsin,,male ego's mother's sister's daughter,,,,
fFBS,kasinsin,,female ego's father's brother's son,,,,
fFZS,kasinsin,,female ego's father's sister's son,,,,
fMBS,kasinsin,,female ego's mother's brother's son,,,,
fMZS,kasinsin,,female ego's mother's sister's son,,,,
fFBD,kasinsin,,female ego's father's brother's daughter,,,,
fFZD,kasinsin,,female ego's father's sister's daughter,,,,
fMBD,kasinsin,,female ego's mother's brother's daughter,,,,
fMZD,kasinsin,,female ego's mother's sister's daughter,,,,
