"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","angu paluhu",,"male ego's older brother",,,"Forth1990",""
"myB","angu paluhu",,"male ego's younger brother",,,"Forth1990",""
"feB","anamini",,"female ego's older brother",,,"Forth1990",""
"fyB","anamini",,"female ego's younger brother",,,"Forth1990",""
"meZ","anawini",,"male ego's older sister",,,"Forth1990",""
"myZ","anawini",,"male ego's younger sister",,,"Forth1990",""
"feZ","angu kawini",,"female ego's older sister",,,"Forth1990",""
"fyZ","angu kawini",,"female ego's younger sister",,,"Forth1990",""
"mF","ama",,"male ego's father",,,"Forth1990",""
"mM","ina",,"male ego's mother",,,"Forth1990",""
"fF","ama",,"female ego's father",,,"Forth1990",""
"fM","ina",,"female ego's mother",,,"Forth1990",""
"mS","ana mini",,"male ego's son",,,"Forth1990",""
"fS","ana mini",,"female ego's son",,,"Forth1990",""
"mD","ana kawini",,"male ego's daughter",,,"Forth1990",""
"fD","ana kawini",,"female ego's daughter",,,"Forth1990",""
"mSS","umbuku",,"male ego's son's son",,,"Forth1990",""
"mSD","umbuku",,"male ego's son's daughter",,,"Forth1990",""
"mDS","umbuku",,"male ego's daughter's son",,,"Forth1990",""
"mDD","umbuku",,"male ego's daughter's daughter",,,"Forth1990",""
"fSS","umbuku",,"female ego's son's son",,,"Forth1990",""
"fSD","umbuku",,"female ego's son's daughter",,,"Forth1990",""
"fDS","umbuku",,"female ego's daughter's son",,,"Forth1990",""
"fDD","umbuku",,"female ego's daugher's daughter",,,"Forth1990",""
"mFF","boku",,"male ego's father‘s father",,,"Forth1990",""
"mFM","àpu",,"male ego's father's mother",,,"Forth1990",""
"mMF","boku",,"male ego's mother's father",,,"Forth1990",""
"mMM","àpu",,"male ego's mother's mother",,,"Forth1990",""
"fFF","boku",,"female ego's father's father",,,"Forth1990",""
"fFM","àpu",,"female ego's father's mother",,,"Forth1990",""
"fMF","boku",,"female ego's mother's father",,,"Forth1990",""
"fMM","àpu",,"female ego's mother's mother",,,"Forth1990",""
"meBS","ana mini",,"male ego's older brother's son",,,"Forth1990",""
"myBS","ana mini",,"male ego's younger brother's son",,,"Forth1990",""
"meZS","laleba",,"male ego's older sister's son",,,"Forth1990",""
"myZS","laleba",,"male ego's younger sister's son",,,"Forth1990",""
"meBD","ana kawini",,"male ego's older brother's daughter",,,"Forth1990",""
"myBD","ana kawini",,"male ego's younger brother's daughter",,,"Forth1990",""
"meZD","laleba",,"male ego's older sister's daughter",,,"Forth1990",""
"myZD","laleba",,"male ego's younger sister's daughter",,,"Forth1990",""
"feBS","dawa",,"female ego's older brother's son",,,"Forth1990",""
"fyBS","dawa",,"female ego's younger brother's son",,,"Forth1990",""
"feZS","ana mini",,"female ego's older sister's son",,,"Forth1990",""
"fyZS","ana mini",,"female ego's younger sister's son",,,"Forth1990",""
"feBD","dawa",,"female ego's older brother's daughter",,,"Forth1990",""
"fyBD","dawa",,"female ego's younger brother's daughter",,,"Forth1990",""
"feZD","ana kawini",,"female ego's older sister's daughter",,,"Forth1990",""
"fyZD","ana kawini",,"female ego's younger sister's daughter",,,"Forth1990",""
"mFeB","ama",,"male ego's father's older brother",,,"Forth1990",""
"mFyB","ama",,"male ego's father's younger brother",,,"Forth1990",""
"mFeZ","mamu",,"male ego's father's older sister",,,"Forth1990",""
"mFyZ","mamu",,"male ego's father's younger sister",,,"Forth1990",""
"mMeB","tuya",,"male ego's mother's older brother",,,"Forth1990",""
"mMyB","tuya",,"male ego's mother's younger brother",,,"Forth1990",""
"mMeZ","ina",,"male ego's mother's older sister",,,"Forth1990",""
"mMyZ","ina",,"male ego's mother's younger sister",,,"Forth1990",""
"fFeB","ama",,"female ego's father's older brother",,,"Forth1990",""
"fFyB","ama",,"female ego's father's younger brother",,,"Forth1990",""
"fFeZ","mamu",,"female ego's father's older sister",,,"Forth1990",""
"fFyZ","mamu",,"female ego's father's younger sister",,,"Forth1990",""
"fMeB","tuya",,"female ego's mother's older brother",,,"Forth1990",""
"fMyB","tuya",,"female ego's mother's younger brother",,,"Forth1990",""
"fMeZ","ina",,"female ego's mother's older sister",,,"Forth1990",""
"fMyZ","ina",,"female ego's mother's younger sister",,,"Forth1990",""
"mW","papaha",,"male ego's wife",,,"Forth1990",""
"fH","lei",,"female ego‘s husband",,,"Forth1990",""
"mDH","layia",,"male ego's daughter's husband",,,"Forth1990",""
"fDH","layia",,"female ego's daughter's husband",,,"Forth1990",""
"mSW","wayia",,"male ego's son's wife",,,"Forth1990",""
"fSW","wayia",,"female ego's son's wife",,,"Forth1990",""
"mWF","ama yera",,"male ego's wife's father",,,"Forth1990",""
"mWM","ina yera",,"male ego's wife's mother",,,"Forth1990",""
"mWB","yera",,"male ego's wife's brother",,,"Forth1990",""
"mWZ","balu",,"male ego's wife's sister",,,"Forth1990",""
"fHF","ama yianu",,"female ego's husband's father",,,"Forth1990",""
"fHM","ina yianu",,"female ego's husband's mother",,,"Forth1990",""
"fHB","balu",,"female ego's husband's brother",,,"Forth1990",""
"fHZ","mangàlu",,"female ego's husband's sister",,,"Forth1990",""
"mBW","balu",,"male ego's brother's wife",,,"Forth1990",""
"fBW","rai anamini",,"female ego's brother's wife",,,"Forth1990",""
"mZH","layia",,"male ego's sister's husband",,,"Forth1990",""
"fZH","balu",,"female ego's sister's husband",,,"Forth1990",""
"mFBS","angu paluhu",,"male ego's father's brother's son",,,"Forth1990",""
"mFZS","layia",,"male ego's father's sister's son",,,"Forth1990",""
"mMBS","yera",,"male ego's mother's brother's son",,,"Forth1990",""
"mMZS","angu paluhu",,"male ego's mother's sister's son",,,"Forth1990",""
"mFBD","anawini",,"male ego's father's brother's daughter",,,"Forth1990",""
"mFZD","anawini",,"male ego's father's sister's daughter",,,"Forth1990",""
"mMBD","balu",,"male ego's mother's brother's daughter",,,"Forth1990",""
"mMZD","anawini",,"male ego's mother's sister's daughter",,,"Forth1990",""
"fFBS","anamini",,"female ego's father's brother's son",,,"Forth1990",""
"fFZS","balu",,"female ego's father's sister's son",,,"Forth1990",""
"fMBS","rai anamini",,"female ego's mother's brother's son",,,"Forth1990",""
"fMZS","anamini",,"female ego's mother's sister's son",,,"Forth1990",""
