"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kaka",,"male ego's older brother",,,"Mead1999",
"myB","hai",,"male ego's younger brother",,,"Mead1999",
"feB","kaka",,"female ego's older brother",,,"Mead1999",
"fyB","hai",,"female ego's younger brother",,,"Mead1999",
"meZ","kaka",,"male ego's older sister",,,"Mead1999",
"myZ","hai",,"male ego's younger sister",,,"Mead1999",
"feZ","kaka",,"female ego's older sister",,,"Mead1999",
"fyZ","hai",,"female ego's younger sister",,,"Mead1999",
"mF","ama",,"male ego's father",,,"Mead1999",
"mM","ina",,"male ego's mother",,,"Mead1999",
"fF","ama",,"female ego's father",,,"Mead1999",
"fM","ina",,"female ego's mother",,,"Mead1999",
"mS","ana",,"male ego's son",,,"Mead1999",
"fS","ana",,"female ego's son",,,"Mead1999",
"mD","ana",,"male ego's daughter",,,"Mead1999",
"fD","ana",,"female ego's daughter",,,"Mead1999",
"mSS","peepe",,"male ego's son's son",,,"Mead1999",
"mSD","peepe",,"male ego's son's daughter",,,"Mead1999",
"mDS","peepe",,"male ego's daughter's son",,,"Mead1999",
"mDD","peepe",,"male ego's daughter's daughter",,,"Mead1999",
"fSS","peepe",,"female ego's son's son",,,"Mead1999",
"fSD","peepe",,"female ego's son's daughter",,,"Mead1999",
"fDS","peepe",,"female ego's daughter's son",,,"Mead1999",
"fDD","peepe",,"female ego's daugher's daughter",,,"Mead1999",
"mFF","nene",,"male ego's father‘s father",,,"Mead1999",
"mFM","nene",,"male ego's father's mother",,,"Mead1999",
"mMF","nene",,"male ego's mother's father",,,"Mead1999",
"mMM","nene",,"male ego's mother's mother",,,"Mead1999",
"fFF","nene",,"female ego's father's father",,,"Mead1999",
"fFM","nene",,"female ego's father's mother",,,"Mead1999",
"fMF","nene",,"female ego's mother's father",,,"Mead1999",
"fMM","nene",,"female ego's mother's mother",,,"Mead1999",
"mFeB","lakiama",,"male ego's father's older brother",,,"Mead1999",
"mFyB","lakiama",,"male ego's father's younger brother",,,"Mead1999",
"mFeZ","lakiina",,"male ego's father's older sister",,,"Mead1999",
"mFyZ","lakiina",,"male ego's father's younger sister",,,"Mead1999",
"mMeB","lakiama",,"male ego's mother's older brother",,,"Mead1999",
"mMyB","lakiama",,"male ego's mother's younger brother",,,"Mead1999",
"mMeZ","lakiina",,"male ego's mother's older sister",,,"Mead1999",
"mMyZ","lakiina",,"male ego's mother's younger sister",,,"Mead1999",
"fFeB","lakiama",,"female ego's father's older brother",,,"Mead1999",
"fFyB","lakiama",,"female ego's father's younger brother",,,"Mead1999",
"fFeZ","lakiina",,"female ego's father's older sister",,,"Mead1999",
"fFyZ","lakiina",,"female ego's father's younger sister",,,"Mead1999",
"fMeB","lakiama",,"female ego's mother's older brother",,,"Mead1999",
"fMyB","lakiama",,"female ego's mother's younger brother",,,"Mead1999",
"fMeZ","lakiina",,"female ego's mother's older sister",,,"Mead1999",
"fMyZ","lakiina",,"female ego's mother's younger sister",,,"Mead1999",
"mW","sagina",,"male ego's wife",,,"Mead1999",
"fH","sagina",,"female ego‘s husband",,,"Mead1999",
