"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kaaka",,"male ego's older brother",,,"Mead1999",
"myB","hai",,"male ego's younger brother",,,"Mead1999",
"feB","kaaka",,"female ego's older brother",,,"Mead1999",
"fyB","hai",,"female ego's younger brother",,,"Mead1999",
"meZ","kaaka",,"male ego's older sister",,,"Mead1999",
"myZ","hai",,"male ego's younger sister",,,"Mead1999",
"feZ","kaaka",,"female ego's older sister",,,"Mead1999",
"fyZ","hai",,"female ego's younger sister",,,"Mead1999",
"mF","iana",,"male ego's father",,,"Mead1999",
"mM","iina",,"male ego's mother",,,"Mead1999",
"fF","iana",,"female ego's father",,,"Mead1999",
"fM","iina",,"female ego's mother",,,"Mead1999",
"mS","ana",,"male ego's son",,,"Mead1999",
"fS","ana",,"female ego's son",,,"Mead1999",
"mD","ana",,"male ego's daughter",,,"Mead1999",
"fD","ana",,"female ego's daughter",,,"Mead1999",
"mSS","peepe",,"male ego's son's son",,,"Mead1999",
"mSD","peepe",,"male ego's son's daughter",,,"Mead1999",
"mDS","peepe",,"male ego's daughter's son",,,"Mead1999",
"mDD","peepe",,"male ego's daughter's daughter",,,"Mead1999",
"fSS","peepe",,"female ego's son's son",,,"Mead1999",
"fSD","peepe",,"female ego's son's daughter",,,"Mead1999",
"fDS","peepe",,"female ego's daughter's son",,,"Mead1999",
"fDD","peepe",,"female ego's daugher's daughter",,,"Mead1999",
"mFF","peepe",,"male ego's father‘s father",,,"Mead1999",
"mFM","peepe",,"male ego's father's mother",,,"Mead1999",
"mMF","peepe",,"male ego's mother's father",,,"Mead1999",
"mMM","peepe",,"male ego's mother's mother",,,"Mead1999",
"fFF","peepe",,"female ego's father's father",,,"Mead1999",
"fFM","peepe",,"female ego's father's mother",,,"Mead1999",
"fMF","peepe",,"female ego's mother's father",,,"Mead1999",
"fMM","peepe",,"female ego's mother's mother",,,"Mead1999",
"mFeB","imaama",,"male ego's father's older brother",,,"Mead1999",
"mFyB","imaama",,"male ego's father's younger brother",,,"Mead1999",
"mFeZ","inaina",,"male ego's father's older sister",,,"Mead1999",
"mFyZ","inaina",,"male ego's father's younger sister",,,"Mead1999",
"mMeB","imaama",,"male ego's mother's older brother",,,"Mead1999",
"mMyB","imaama",,"male ego's mother's younger brother",,,"Mead1999",
"mMeZ","inaina",,"male ego's mother's older sister",,,"Mead1999",
"mMyZ","inaina",,"male ego's mother's younger sister",,,"Mead1999",
"fFeB","imaama",,"female ego's father's older brother",,,"Mead1999",
"fFyB","imaama",,"female ego's father's younger brother",,,"Mead1999",
"fFeZ","inaina",,"female ego's father's older sister",,,"Mead1999",
"fFyZ","inaina",,"female ego's father's younger sister",,,"Mead1999",
"fMeB","imaama",,"female ego's mother's older brother",,,"Mead1999",
"fMyB","imaama",,"female ego's mother's younger brother",,,"Mead1999",
"fMeZ","inaina",,"female ego's mother's older sister",,,"Mead1999",
"fMyZ","inaina",,"female ego's mother's younger sister",,,"Mead1999",
"mW","more, iroßai",,"male ego's wife",,,"Mead1999",
"fH","ßali, lagai",,"female ego‘s husband",,,"Mead1999",
