"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,"male speaker's sibling",,,"",""
"mB","ndere-",,"male speaker's brother",,146,"Boettger_2015","Inalienable"
"mZ","piso-",,"male speaker's sister",,146,"Boettger_2015","Inalienable"
"meB","",,"male speaker's elder brother",,,"",""
"myB","",,"male speaker's younger brother",,,"",""
"meZ","",,"male speaker's elder sister",,,"",""
"myZ","",,"male speaker's younger sister",,,"",""
"mP","",,"male speaker's parent",,,"",""
"mF","tete",,"male speaker's father",,146,"Boettger_2015","also used with the male name prefix Po-; "
"mF","tam-",,"male speaker's father",,146,"Boettger_2015","Inalienable"
"mM","nane-",,"male speaker's mother",,146,"Boettger_2015","also used with female name prefix Pi-; Inalienable"
"mC","ndur-",,"male speaker's child",,146,"Boettger_2015","tendency to call all children of the ascending generation ndur-; reglarless whether descendant from parallel or cross sibling link; Inalienable"
"mS","tete",,"male speaker's son",,146,"Boettger_2015",""
"mS","ndur-",,"male speaker's son",,146,"Boettger_2015","tendency to call all children of the ascending generation ndur-; reglarless whether descendant from parallel or cross sibling link; Inalienable"
"mD","tete",,"male speaker's daughter",,146,"Boettger_2015",""
"mD","ndur-",,"male speaker's daughter",,146,"Boettger_2015","tendency to call all children of the ascending generation ndur-; reglarless whether descendant from parallel or cross sibling link; Inalienable"
"mA","tumʙu-",,"male speaker's ancestor",,146,"Boettger_2015","Inalienable"
"mA","mʙutin",,"male speaker's ancestor",,146,"Boettger_2015","term is present; but hardly used"
"mA","kipan",,"male speaker's ancestor",,146,"Boettger_2015","term is present; but hardly used"
"mA","sersere",,"male speaker's ancestor",,146,"Boettger_2015","family tree'"
"mA","yayan",,"male speaker's ancestor",,146,"Boettger_2015","relationship furthest apart; past this degree; marriage is possible (ca. 13th or 14th degree)"
"mA","yayin",,"male speaker's ancestor",,146,"Boettger_2015","original ancestor who is connected to the clan land; forefather (Tok Pisin 'as ples man')"
"mPP","",,"male speaker's grandparent",,,"",""
