"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","getawangk",,"male ego's older brother",,,"funabiki2012a",""
"myB","geta'asungk",,"male ego's younger brother",,,"funabiki2012a",""
"feB","kuna'anungk",,"female ego's older brother",,,"funabiki2012a",""
"fyB","kuna'anungk",,"female ego's younger brother",,,"funabiki2012a",""
"meZ","kubabunungk",,"male ego's older sister",,,"funabiki2012a",""
"myZ","kubabunungk",,"male ego's younger sister",,,"funabiki2012a",""
"feZ","getawangk",,"female ego's older sister",,,"funabiki2012a",""
"fyZ","geta'asungk",,"female ego's younger sister",,,"funabiki2012a",""
"mF","gutamangk",,"male ego's father",,,"funabiki2012a",""
"mM","gusunangk",,"male ego's mother",,,"funabiki2012a",""
"fF","gutamangk",,"female ego's father",,,"funabiki2012a",""
"fM","gusunangk",,"female ego's mother",,,"funabiki2012a",""
"mS","guna'atungk",,"male ego's son",,,"funabiki2012a",""
"fS","guna'atungk",,"female ego's son",,,"funabiki2012a",""
"mD","guna'atungk",,"male ego's daughter",,,"funabiki2012a",""
"fD","guna'atungk",,"female ego's daughter",,,"funabiki2012a",""
"mSS","kuma'ambungk",,"male ego's son's son",,,"funabiki2012a",""
"mSD","kuma'ambungk",,"male ego's son's daughter",,,"funabiki2012a",""
"mDS","kuma'ambungk",,"male ego's daughter's son",,,"funabiki2012a",""
"mDD","kuma'ambungk",,"male ego's daughter's daughter",,,"funabiki2012a",""
"fSS","kuma'ambungk",,"female ego's son's son",,,"funabiki2012a",""
"fSD","kuma'ambungk",,"female ego's son's daughter",,,"funabiki2012a",""
"fDS","kuma'ambungk",,"female ego's daughter's son",,,"funabiki2012a",""
"fDD","kuma'ambungk",,"female ego's daugher's daughter",,,"funabiki2012a",""
"mFF","geta'abungk",,"male ego's father‘s father",,,"funabiki2012a",""
"mFM","kambwangk",,"male ego's father's mother",,,"funabiki2012a",""
"mMF","geta'abungk",,"male ego's mother's father",,,"funabiki2012a",""
"mMM","kambwangk",,"male ego's mother's mother",,,"funabiki2012a",""
