parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kaka',,male ego's older brother,,,,
myB,ale',,male ego's younger brother,,,,
feB,kaka',,female ego's older brother,,,,
fyB,ale',,female ego's younger brother,,,,
meZ,embhu',,male ego's older sister,,,,
myZ,ale',,male ego's younger sister,,,,
feZ,embhu',,female ego's older sister,,,,
fyZ,ale',,female ego's younger sister,,,,
mF,eppa',,male ego's father,,,,
mM,embu,,male ego's mother,,,,
fF,eppa',,female ego's father,,,,
fM,embu,,female ego's mother,,,,
mS,ana',,male ego's son,,,,
fS,ana',,female ego's son,,,,
mD,ana',,male ego's daughter,,,,
fD,ana',,female ego's daughter,,,,
mSS,kompoy,,male ego's son's son,,,,
mSD,kompoy,,male ego's son's daughter,,,,
mDS,kompoy,,male ego's daughter's son,,,,
mDD,kompoy,,male ego's daughter's daughter,,,,
fSS,kompoy,,female ego's son's son,,,,
fSD,kompoy,,female ego's son's daughter,,,,
fDS,kompoy,,female ego's daughter's son,,,,
fDD,kompoy,,female ego's daugher's daughter,,,,
mFF,embah lakeh,,male ego's father‘s father,,,,
mFM,embah bini,,male ego's father's mother,,,,
mMF,embah lakeh,,male ego's mother's father,,,,
mMM,embah bini,,male ego's mother's mother,,,,
fFF,embah lakeh,,female ego's father's father,,,,
fFM,embah bini,,female ego's father's mother,,,,
fMF,embah lakeh,,female ego's mother's father,,,,
fMM,embah bini,,female ego's mother's mother,,,,
meBS,penakan,,male ego's older brother's son,,,,
myBS,penakan,,male ego's younger brother's son,,,,
meZS,penakan,,male ego's older sister's son,,,,
myZS,penakan,,male ego's younger sister's son,,,,
meBD,penakan,,male ego's older brother's daughter,,,,
myBD,penakan,,male ego's younger brother's daughter,,,,
meZD,penakan,,male ego's older sister's daughter,,,,
myZD,penakan,,male ego's younger sister's daughter,,,,
feBS,penakan,,female ego's older brother's son,,,,
fyBS,penakan,,female ego's younger brother's son,,,,
feZS,penakan,,female ego's older sister's son,,,,
fyZS,penakan,,female ego's younger sister's son,,,,
feBD,penakan,,female ego's older brother's daughter,,,,
fyBD,penakan,,female ego's younger brother's daughter,,,,
feZD,penakan,,female ego's older sister's daughter,,,,
fyZD,penakan,,female ego's younger sister's daughter,,,,
mFeB,obe',,male ego's father's older brother,,,,
mFyB,majedi',,male ego's father's younger brother,,,,
mFeZ,obe',,male ego's father's older sister,,,,
mFyZ,majedi',,male ego's father's younger sister,,,,
mMeB,obe',,male ego's mother's older brother,,,,
mMyB,majedi',,male ego's mother's younger brother,,,,
mMeZ,obe',,male ego's mother's older sister,,,,
mMyZ,majedi',,male ego's mother's younger sister,,,,
fFeB,obe',,female ego's father's older brother,,,,
fFyB,majedi',,female ego's father's younger brother,,,,
fFeZ,obe',,female ego's father's older sister,,,,
fFyZ,majedi',,female ego's father's younger sister,,,,
fMeB,obe',,female ego's mother's older brother,,,,
fMyB,majedi',,female ego's mother's younger brother,,,,
fMeZ,obe',,female ego's mother's older sister,,,,
fMyZ,majedi',,female ego's mother's younger sister,,,,
mW,bini,,male ego's wife,,,,
fH,lakeh,,female ego‘s husband,,,,
mDH,mantoh,,male ego's daughter's husband,,,,
fDH,mantoh,,female ego's daughter's husband,,,,
mSW,mantoh,,male ego's son's wife,,,,
fSW,mantoh,,female ego's son's wife,,,,
mWF,pa' mattua,,male ego's wife's father,,,,
mWM,embu mattua,,male ego's wife's mother,,,,
mWB,epa,,male ego's wife's brother,,,,
mWZ,epa,,male ego's wife's sister,,,,
fHF,pa' mattua,,female ego's husband's father,,,,
fHM,embu mattua,,female ego's husband's mother,,,,
fHB,epa,,female ego's husband's brother,,,,
fHZ,epa,,female ego's husband's sister,,,,
mBW,epa,,male ego's brother's wife,,,,
fBW,epa,,female ego's brother's wife,,,,
mZH,epa,,male ego's sister's husband,,,,
fZH,epa,,female ego's sister's husband,,,,
mFBS,sepopo,,male ego's father's brother's son,,,,
mFZS,sepopo,,male ego's father's sister's son,,,,
mMBS,sepopo,,male ego's mother's brother's son,,,,
mMZS,sepopo,,male ego's mother's sister's son,,,,
mFBD,sepopo,,male ego's father's brother's daughter,,,,
mFZD,sepopo,,male ego's father's sister's daughter,,,,
mMBD,sepopo,,male ego's mother's brother's daughter,,,,
mMZD,sepopo,,male ego's mother's sister's daughter,,,,
fFBS,sepopo,,female ego's father's brother's son,,,,
fFZS,sepopo,,female ego's father's sister's son,,,,
fMBS,sepopo,,female ego's mother's brother's son,,,,
fMZS,sepopo,,female ego's mother's sister's son,,,,
fFBD,sepopo,,female ego's father's brother's daughter,,,,
fFZD,sepopo,,female ego's father's sister's daughter,,,,
fMBD,sepopo,,female ego's mother's brother's daughter,,,,
fMZD,sepopo,,female ego's mother's sister's daughter,,,,
