"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tua-kana",,"male ego's older brother",,,"Marck1996",
"myB","teina",,"male ego's younger brother",,,"Marck1996",
"feB","tu-ngane",,"female ego's older brother",,,"Marck1996",
"fyB","tu-ngane",,"female ego's younger brother",,,"Marck1996",
"meZ","tua-'ine",,"male ego's older sister",,,"Marck1996",
"myZ","tua-'ine",,"male ego's younger sister",,,"Marck1996",
"feZ","tua-kana",,"female ego's older sister",,,"Marck1996",
"fyZ","teina",,"female ego's younger sister",,,"Marck1996",
"mF","metua tane",,"male ego's father",,,"Marck1996",
"mM","metua va'ine",,"male ego's mother",,,"Marck1996",
"fF","metua tane",,"female ego's father",,,"Marck1996",
"fM","metua va'ine",,"female ego's mother",,,"Marck1996",
"mS","tama-roa",,"male ego's son",,,"Marck1996",
"fS","tama-roa",,"female ego's son",,,"Marck1996",
"mD","tama-'ine",,"male ego's daughter",,,"Marck1996",
"fD","tama-'ine",,"female ego's daughter",,,"Marck1996",
"mSS","mokopuna tane",,"male ego's son's son",,,"Marck1996",
"mSD","mokopuna va'ine",,"male ego's son's daughter",,,"Marck1996",
"mDS","mokopuna tane",,"male ego's daughter's son",,,"Marck1996",
"mDD","mokopuna va'ine",,"male ego's daughter's daughter",,,"Marck1996",
"fSS","mokopuna tane",,"female ego's son's son",,,"Marck1996",
"fSD","mokopuna va'ine",,"female ego's son's daughter",,,"Marck1996",
"fDS","mokopuna tane",,"female ego's daughter's son",,,"Marck1996",
"fDD","mokopuna va'ine",,"female ego's daugher's daughter",,,"Marck1996",
"mFF","tupuna tane",,"male ego's father‘s father",,,"Marck1996",
"mFM","tupuna va'ine",,"male ego's father's mother",,,"Marck1996",
"mMF","tupuna tane",,"male ego's mother's father",,,"Marck1996",
"mMM","tupuna va'ine",,"male ego's mother's mother",,,"Marck1996",
"fFF","tupuna tane",,"female ego's father's father",,,"Marck1996",
"fFM","tupuna va'ine",,"female ego's father's mother",,,"Marck1996",
"fMF","tupuna tane",,"female ego's mother's father",,,"Marck1996",
"fMM","tupuna va'ine",,"female ego's mother's mother",,,"Marck1996",
"meBS","tama-roa",,"male ego's older brother's son",,,"Marck1996",
"myBS","tama-roa",,"male ego's younger brother's son",,,"Marck1996",
"meZS","tama-roa",,"male ego's older sister's son",,,"Marck1996",
"myZS","tama-roa",,"male ego's younger sister's son",,,"Marck1996",
"meBD","tama-'ine",,"male ego's older brother's daughter",,,"Marck1996",
"myBD","tama-'ine",,"male ego's younger brother's daughter",,,"Marck1996",
"meZD","tama-'ine",,"male ego's older sister's daughter",,,"Marck1996",
"myZD","tama-'ine",,"male ego's younger sister's daughter",,,"Marck1996",
"feBS","tama-roa",,"female ego's older brother's son",,,"Marck1996",
"fyBS","tama-roa",,"female ego's younger brother's son",,,"Marck1996",
"feZS","tama-roa",,"female ego's older sister's son",,,"Marck1996",
"fyZS","tama-roa",,"female ego's younger sister's son",,,"Marck1996",
"feBD","tama-'ine",,"female ego's older brother's daughter",,,"Marck1996",
"fyBD","tama-'ine",,"female ego's younger brother's daughter",,,"Marck1996",
"feZD","tama-'ine",,"female ego's older sister's daughter",,,"Marck1996",
"fyZD","tama-'ine",,"female ego's younger sister's daughter",,,"Marck1996",
"mFeB","metua tane",,"male ego's father's older brother",,,"Marck1996",
"mFyB","metua tane",,"male ego's father's younger brother",,,"Marck1996",
"mFeZ","metua va'ine",,"male ego's father's older sister",,,"Marck1996",
"mFyZ","metua va'ine",,"male ego's father's younger sister",,,"Marck1996",
"mMeB","metua tane",,"male ego's mother's older brother",,,"Marck1996",
"mMyB","metua tane",,"male ego's mother's younger brother",,,"Marck1996",
"mMeZ","metua va'ine",,"male ego's mother's older sister",,,"Marck1996",
"mMyZ","metua va'ine",,"male ego's mother's younger sister",,,"Marck1996",
"fFeB","metua tane",,"female ego's father's older brother",,,"Marck1996",
"fFyB","metua tane",,"female ego's father's younger brother",,,"Marck1996",
"fFeZ","metua va'ine",,"female ego's father's older sister",,,"Marck1996",
"fFyZ","metua va'ine",,"female ego's father's younger sister",,,"Marck1996",
"fMeB","metua tane",,"female ego's mother's older brother",,,"Marck1996",
"fMyB","metua tane",,"female ego's mother's younger brother",,,"Marck1996",
"fMeZ","metua va'ine",,"female ego's mother's older sister",,,"Marck1996",
"fMyZ","metua va'ine",,"female ego's mother's younger sister",,,"Marck1996",
"mDH","'unonga",,"male ego's daughter's husband",,,"Marck1996",
"fDH","'unonga",,"female ego's daughter's husband",,,"Marck1996",
"mSW","'unonga",,"male ego's son's wife",,,"Marck1996",
"fSW","'unonga",,"female ego's son's wife",,,"Marck1996",
"mWF","purunga",,"male ego's wife's father",,,"Marck1996",
"mWM","purunga",,"male ego's wife's mother",,,"Marck1996",
"mWB","tao-kete",,"male ego's wife's brother",,,"Marck1996",
"mWZ","tao-kete",,"male ego's wife's sister",,,"Marck1996",
"fHF","purunga",,"female ego's husband's father",,,"Marck1996",
"fHM","purunga",,"female ego's husband's mother",,,"Marck1996",
"fHB","tao-kete",,"female ego's husband's brother",,,"Marck1996",
"fHZ","tao-kete",,"female ego's husband's sister",,,"Marck1996",
"mBW","tao-kete",,"male ego's brother's wife",,,"Marck1996",
"fBW","tao-kete",,"female ego's brother's wife",,,"Marck1996",
"mZH","tao-kete",,"male ego's sister's husband",,,"Marck1996",
"fZH","tao-kete",,"female ego's sister's husband",,,"Marck1996",
"mFBeS","tua-kana",,"male ego‘s father‘s brother‘s older son",,,"Marck1996",
"mFByS","teina",,"male ego‘s father‘s brother‘s younger son",,,"Marck1996",
