parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,ka'é,,male ego's older brother,,,,
myB,asé,,male ego's younger brother,,,,
feB,nara,,female ego's older brother,,,,
fyB,nara,,female ego's younger brother,,,,
meZ,weta,,male ego's older sister,,,,
myZ,weta,,male ego's younger sister,,,,
feZ,weta,,female ego's older sister,,,,
fyZ,weta,,female ego's younger sister,,,,
mF,amé,,male ego's father,,,,
mM,iné,,male ego's mother,,,,
fF,amé,,female ego's father,,,,
fM,iné,,female ego's mother,,,,
mS,anak,,male ego's son,,,,
fS,anak,,female ego's son,,,,
mD,anak,,male ego's daughter,,,,
fD,anak,,female ego's daughter,,,,
mSS,empo,,male ego's son's son,,,,
mSD,empo,,male ego's son's daughter,,,,
mDS,empo,,male ego's daughter's son,,,,
mDD,empo,,male ego's daughter's daughter,,,,
fSS,empo,,female ego's son's son,,,,
fSD,empo,,female ego's son's daughter,,,,
fDS,empo,,female ego's daughter's son,,,,
fDD,empo,,female ego's daugher's daughter,,,,
mFF,empo,,male ego's father‘s father,,,,
mFM,empo,,male ego's father's mother,,,,
mMF,empo,,male ego's mother's father,,,,
mMM,empo,,male ego's mother's mother,,,,
fFF,empo,,female ego's father's father,,,,
fFM,empo,,female ego's father's mother,,,,
fMF,empo,,female ego's mother's father,,,,
fMM,empo,,female ego's mother's mother,,,,
meBS,anak,,male ego's older brother's son,,,,
myBS,anak,,male ego's younger brother's son,,,,
meZS,ko'a,,male ego's older sister's son,,,,
myZS,ko'a,,male ego's younger sister's son,,,,
meBD,anak,,male ego's older brother's daughter,,,,
myBD,anak,,male ego's younger brother's daughter,,,,
meZD,ko'a,,male ego's older sister's daughter,,,,
myZD,ko'a,,male ego's younger sister's daughter,,,,
feBS,anak,,female ego's older brother's son,,,,
fyBS,anak,,female ego's younger brother's son,,,,
feZS,ko'a,,female ego's older sister's son,,,,
fyZS,ko'a,,female ego's younger sister's son,,,,
feBD,anak,,female ego's older brother's daughter,,,,
fyBD,anak,,female ego's younger brother's daughter,,,,
feZD,ko'a,,female ego's older sister's daughter,,,,
fyZD,ko'a,,female ego's younger sister's daughter,,,,
mFeB,amé,,male ego's father's older brother,,,,
mFyB,amé,,male ego's father's younger brother,,,,
mFeZ,inang,,male ego's father's older sister,,,,
mFyZ,inang,,male ego's father's younger sister,,,,
mMeB,to'a,,male ego's mother's older brother,,,,
mMyB,to'a,,male ego's mother's younger brother,,,,
mMeZ,iné,,male ego's mother's older sister,,,,
mMyZ,iné,,male ego's mother's younger sister,,,,
fFeB,amé,,female ego's father's older brother,,,,
fFyB,amé,,female ego's father's younger brother,,,,
fFeZ,inang,,female ego's father's older sister,,,,
fFyZ,inang,,female ego's father's younger sister,,,,
fMeB,to'a,,female ego's mother's older brother,,,,
fMyB,to'a,,female ego's mother's younger brother,,,,
fMeZ,iné,,female ego's mother's older sister,,,,
fMyZ,iné,,female ego's mother's younger sister,,,,
mW,wina,,male ego's wife,,,,
fH,rona,,female ego‘s husband,,,,
mDH,ko'a,,male ego's daughter's husband,,,,
fDH,ko'a,,female ego's daughter's husband,,,,
mSW,woté,,male ego's son's wife,,,,
fSW,woté,,female ego's son's wife,,,,
mWF,to'a,,male ego's wife's father,,,,
mWM,to'a,,male ego's wife's mother,,,,
mWB,késa,,male ego's wife's brother,,,,
mWZ,wina,,male ego's wife's sister,,,,
fHF,to'a,,female ego's husband's father,,,,
fHM,to'a,,female ego's husband's mother,,,,
fHB,késa,,female ego's husband's brother,,,,
fHZ,wina,,female ego's husband's sister,,,,
mBW,wina,,male ego's brother's wife,,,,
fBW,wina,,female ego's brother's wife,,,,
mZH,kéla,,male ego's sister's husband,,,,
fZH,kéla,,female ego's sister's husband,,,,
mFBeS,ka'é,,male ego‘s father‘s brother‘s older son,,,,
mFByS,asé,,male ego‘s father‘s brother‘s younger son,,,,
mFBeD,weta,,male ego‘s father‘s brother‘s older daughter,,,,
mFByD,weta,,male ego‘s father‘s brother‘s younger daughter,,,,
mFZeS,kéla,,male ego‘s father‘s sisters‘s older son,,,,
mFZyS,kéla,,male ego‘s father‘s sisters‘s younger son,,,,
mFZeD,weta,,male ego‘s father‘s sisters‘s older daughter,,,,
mFZyD,weta,,male ego‘s father‘s sisters‘s younger daughter,,,,
mMBeS,késa,,male ego‘s mother‘s brother‘s older son,,,,
mMByS,késa,,male ego‘s mother‘s brother‘s younger son,,,,
mMBeD,wina,,male ego‘s mother‘s brother‘s older daughter,,,,
mMByD,wina,,male ego‘s mother‘s brother‘s younger daughter,,,,
mMZeS,ka'é,,male ego‘s mother‘s sisters‘s older son,,,,
mMZyS,asé,,male ego‘s mother‘s sisters‘s younger son,,,,
mMZeD,weta,,male ego‘s mother‘s sisters‘s older daughter,,,,
mMZyD,weta,,male ego‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,nara,,female ego‘s father‘s brother‘s older son,,,,
fFByS,nara,,female ego‘s father‘s brother‘s younger son,,,,
fFBeD,weta,,female ego‘s father‘s brother‘s older daughter,,,,
fFByD,weta,,female ego‘s father‘s brother‘s younger daughter,,,,
fFZeS,kéla,,female ego‘s father‘s sisters‘s older son,,,,
fFZyS,kéla,,female ego‘s father‘s sisters‘s younger son,,,,
fFZeD,weta,,female ego‘s father‘s sisters‘s older daughter,,,,
fFZyD,weta,,female ego‘s father‘s sisters‘s younger daughter,,,,
fMBeS,késa,,female ego‘s mother‘s brother‘s older son,,,,
fMByS,késa,,female ego‘s mother‘s brother‘s younger son,,,,
fMBeD,wina,,female ego‘s mother‘s brother‘s older daughter,,,,
fMByD,wina,,female ego‘s mother‘s brother‘s younger daughter,,,,
fMZeS,nara,,female ego‘s mother‘s sisters‘s older son,,,,
fMZyS,nara,,female ego‘s mother‘s sisters‘s younger son,,,,
fMZeD,weta,,female ego‘s mother‘s sisters‘s older daughter,,,,
fMZyD,weta,,female ego‘s mother‘s sisters‘s younger daughter,,,,
