"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tuakana",,"male ego's older brother",,,,""
"myB","teina",,"male ego's younger brother",,,,""
"feB","tungaane",,"female ego's older brother",,,,""
"fyB","tungaane",,"female ego's younger brother",,,,""
"meZ","tuahine",,"male ego's older sister",,,,""
"myZ","tuahine",,"male ego's younger sister",,,,""
"feZ","tuakana",,"female ego's older sister",,,,""
"fyZ","teina",,"female ego's younger sister",,,,""
"mF","matua",,"male ego's father",,,,""
"mM","matua wahine, whaea",,"male ego's mother",,,,"matua wahine is formal"
"fF","matua",,"female ego's father",,,,""
"fM","matua wahine, whaea",,"female ego's mother",,,,"matua wahine is formal"
"mS","tama",,"male ego's son",,,,""
"fS","tama",,"female ego's son",,,,""
"mD","tamaahine, kootiro",,"male ego's daughter",,,,"tamaahine is formal"
"fD","tamaahine, kootiro",,"female ego's daughter",,,,"tamaahine is formal"
"mSS","mokopuna",,"male ego's son's son",,,,""
"mSD","mokopuna",,"male ego's son's daughter",,,,""
"mDS","mokopuna",,"male ego's daughter's son",,,,""
"mDD","mokopuna",,"male ego's daughter's daughter",,,,""
"fSS","mokopuna",,"female ego's son's son",,,,""
"fSD","mokopuna",,"female ego's son's daughter",,,,""
"fDS","mokopuna",,"female ego's daughter's son",,,,""
"fDD","mokopuna",,"female ego's daugher's daughter",,,,""
"mFF","tipuna, tupuna matua",,"male ego's father‘s father",,,,""
"mFM","tipuna, tupuna matua",,"male ego's father's mother",,,,""
"mMF","tipuna, tupuna matua",,"male ego's mother's father",,,,""
"mMM","tipuna, tupuna matua",,"male ego's mother's mother",,,,""
"fFF","tipuna, tupuna matua",,"female ego's father's father",,,,""
"fFM","tipuna, tupuna matua",,"female ego's father's mother",,,,""
"fMF","tipuna, tupuna matua",,"female ego's mother's father",,,,""
"fMM","tipuna, tupuna matua",,"female ego's mother's mother",,,,""
"meBS","iraamutu",,"male ego's older brother's son",,,,""
"myBS","iraamutu",,"male ego's younger brother's son",,,,""
"meZS","iraamutu",,"male ego's older sister's son",,,,""
"myZS","iraamutu",,"male ego's younger sister's son",,,,""
"meBD","iraamutu",,"male ego's older brother's daughter",,,,""
"myBD","iraamutu",,"male ego's younger brother's daughter",,,,""
"meZD","iraamutu",,"male ego's older sister's daughter",,,,""
"myZD","iraamutu",,"male ego's younger sister's daughter",,,,""
"feBS","iraamutu",,"female ego's older brother's son",,,,""
"fyBS","iraamutu",,"female ego's younger brother's son",,,,""
"feZS","iraamutu",,"female ego's older sister's son",,,,""
"fyZS","iraamutu",,"female ego's younger sister's son",,,,""
"feBD","iraamutu",,"female ego's older brother's daughter",,,,""
"fyBD","iraamutu",,"female ego's younger brother's daughter",,,,""
"feZD","iraamutu",,"female ego's older sister's daughter",,,,""
"fyZD","iraamutu",,"female ego's younger sister's daughter",,,,""
"mFeB","matua, matua keekee, matakeekee",,"male ego's father's older brother",,,,"matua keekee, matakeekee"
"mFyB","matua, matua keekee, matakeekee",,"male ego's father's younger brother",,,,""
"mFeZ","whaea, matua keekee, matakeekee",,"male ego's father's older sister",,,,""
"mFyZ","whaea, matua keekee, matakeekee",,"male ego's father's younger sister",,,,""
