parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,jeu,,male ego's older brother,,,rynkiewich2012soul,
myB,jetu,,male ego's younger brother,,,rynkiewich2012soul,
feB,jeu,,female ego's older brother,,,rynkiewich2012soul,
fyB,jetu,,female ego's younger brother,,,rynkiewich2012soul,
meZ,jeu,,male ego's older sister,,,rynkiewich2012soul,
myZ,jetu,,male ego's younger sister,,,rynkiewich2012soul,
feZ,jeu,,female ego's older sister,,,rynkiewich2012soul,
fyZ,jetu,,female ego's younger sister,,,rynkiewich2012soul,
mF,jema,,male ego's father,,,rynkiewich2012soul,
mM,jinu,,male ego's mother,,,rynkiewich2012soul,
fF,jema,,female ego's father,,,rynkiewich2012soul,
fM,jinu,,female ego's mother,,,rynkiewich2012soul,
mS,neju,,male ego's son,,,rynkiewich2012soul,
fS,neju,,female ego's son,,,rynkiewich2012soul,
mD,neju,,male ego's daughter,,,rynkiewich2012soul,
fD,neju,,female ego's daughter,,,rynkiewich2012soul,
mSS,jibu,,male ego's son's son,,,rynkiewich2012soul,
mSD,jibu,,male ego's son's daughter,,,rynkiewich2012soul,
mDS,jibu,,male ego's daughter's son,,,rynkiewich2012soul,
mDD,jibu,,male ego's daughter's daughter,,,rynkiewich2012soul,
fSS,jibu,,female ego's son's son,,,rynkiewich2012soul,
fSD,jibu,,female ego's son's daughter,,,rynkiewich2012soul,
fDS,jibu,,female ego's daughter's son,,,rynkiewich2012soul,
fDD,jibu,,female ego's daugher's daughter,,,rynkiewich2012soul,
mFF,jibu,,male ego's father‘s father,,,rynkiewich2012soul,
mFM,jibu,,male ego's father's mother,,,rynkiewich2012soul,
mMF,jibu,,male ego's mother's father,,,rynkiewich2012soul,
mMM,jibu,,male ego's mother's mother,,,rynkiewich2012soul,
fFF,jibu,,female ego's father's father,,,rynkiewich2012soul,
fFM,jibu,,female ego's father's mother,,,rynkiewich2012soul,
fMF,jibu,,female ego's mother's father,,,rynkiewich2012soul,
fMM,jibu,,female ego's mother's mother,,,rynkiewich2012soul,
meBS,neju,,male ego's older brother's son,,,rynkiewich2012soul,
myBS,mangeru,,male ego's younger brother's son,,,rynkiewich2012soul,
meZS,neju,,male ego's older sister's son,,,rynkiewich2012soul,
myZS,mangeru,,male ego's younger sister's son,,,rynkiewich2012soul,
meBD,neju,,male ego's older brother's daughter,,,rynkiewich2012soul,
myBD,mangeru,,male ego's younger brother's daughter,,,rynkiewich2012soul,
meZD,neju,,male ego's older sister's daughter,,,rynkiewich2012soul,
myZD,mangeru,,male ego's younger sister's daughter,,,rynkiewich2012soul,
feBS,neju,,female ego's older brother's son,,,rynkiewich2012soul,
fyBS,mangeru,,female ego's younger brother's son,,,rynkiewich2012soul,
feZS,neju,,female ego's older sister's son,,,rynkiewich2012soul,
fyZS,mangeru,,female ego's younger sister's son,,,rynkiewich2012soul,
feBD,neju,,female ego's older brother's daughter,,,rynkiewich2012soul,
fyBD,mangeru,,female ego's younger brother's daughter,,,rynkiewich2012soul,
feZD,neju,,female ego's older sister's daughter,,,rynkiewich2012soul,
fyZD,mangeru,,female ego's younger sister's daughter,,,rynkiewich2012soul,
mFeB,uleba,,male ego's father's older brother,,,rynkiewich2012soul,
mFyB,uleba,,male ego's father's younger brother,,,rynkiewich2012soul,
mFeZ,jinu,,male ego's father's older sister,,,rynkiewich2012soul,
mFyZ,jinu,,male ego's father's younger sister,,,rynkiewich2012soul,
mMeB,jema,,male ego's mother's older brother,,,rynkiewich2012soul,
mMyB,jema,,male ego's mother's younger brother,,,rynkiewich2012soul,
mMeZ,jinu,,male ego's mother's older sister,,,rynkiewich2012soul,
mMyZ,jinu,,male ego's mother's younger sister,,,rynkiewich2012soul,
fFeB,uleba,,female ego's father's older brother,,,rynkiewich2012soul,
fFyB,uleba,,female ego's father's younger brother,,,rynkiewich2012soul,
fFeZ,jinu,,female ego's father's older sister,,,rynkiewich2012soul,
fFyZ,jinu,,female ego's father's younger sister,,,rynkiewich2012soul,
fMeB,jema,,female ego's mother's older brother,,,rynkiewich2012soul,
fMyB,jema,,female ego's mother's younger brother,,,rynkiewich2012soul,
fMeZ,jinu,,female ego's mother's older sister,,,rynkiewich2012soul,
fMyZ,jinu,,female ego's mother's younger sister,,,rynkiewich2012soul,
mFBeS,jeu,,male ego‘s father‘s brother‘s older son,,,rynkiewich2012soul,
mFByS,jetu,,male ego‘s father‘s brother‘s younger son,,,rynkiewich2012soul,
mFBeD,jeu jinu,,male ego‘s father‘s brother‘s older daughter,,,rynkiewich2012soul,
mFByD,jetu jinu,,male ego‘s father‘s brother‘s younger daughter,,,rynkiewich2012soul,
mFZeS,jeu,,male ego‘s father‘s sisters‘s older son,,,rynkiewich2012soul,
mFZyS,jetu,,male ego‘s father‘s sisters‘s younger son,,,rynkiewich2012soul,
mFZeD,jeu reliku,,male ego‘s father‘s sisters‘s older daughter,,,rynkiewich2012soul,
mFZyD,jetu reliku,,male ego‘s father‘s sisters‘s younger daughter,,,rynkiewich2012soul,
mMBeS,jeu,,male ego‘s mother‘s brother‘s older son,,,rynkiewich2012soul,
mMByS,jetu,,male ego‘s mother‘s brother‘s younger son,,,rynkiewich2012soul,
mMBeD,jeu reliku,,male ego‘s mother‘s brother‘s older daughter,,,rynkiewich2012soul,
mMByD,jetu reliku,,male ego‘s mother‘s brother‘s younger daughter,,,rynkiewich2012soul,
mMZeS,jeu,,male ego‘s mother‘s sisters‘s older son,,,rynkiewich2012soul,
mMZyS,jetu,,male ego‘s mother‘s sisters‘s younger son,,,rynkiewich2012soul,
mMZeD,jeu jinu,,male ego‘s mother‘s sisters‘s older daughter,,,rynkiewich2012soul,
mMZyD,jetu jinu,,male ego‘s mother‘s sisters‘s younger daughter,,,rynkiewich2012soul,
fFBeS,jeu jinu,,female ego‘s father‘s brother‘s older son,,,rynkiewich2012soul,
fFByS,jetu jinu,,female ego‘s father‘s brother‘s younger son,,,rynkiewich2012soul,
fFBeD,jeu,,female ego‘s father‘s brother‘s older daughter,,,rynkiewich2012soul,
fFByD,jetu,,female ego‘s father‘s brother‘s younger daughter,,,rynkiewich2012soul,
fFZeS,jeu reliku,,female ego‘s father‘s sisters‘s older son,,,rynkiewich2012soul,
fFZyS,jetu reliku,,female ego‘s father‘s sisters‘s younger son,,,rynkiewich2012soul,
fFZeD,jeu,,female ego‘s father‘s sisters‘s older daughter,,,rynkiewich2012soul,
fFZyD,jetu,,female ego‘s father‘s sisters‘s younger daughter,,,rynkiewich2012soul,
fMBeS,jeu reliku,,female ego‘s mother‘s brother‘s older son,,,rynkiewich2012soul,
fMByS,jetu reliku,,female ego‘s mother‘s brother‘s younger son,,,rynkiewich2012soul,
fMBeD,jeu,,female ego‘s mother‘s brother‘s older daughter,,,rynkiewich2012soul,
fMByD,jetu,,female ego‘s mother‘s brother‘s younger daughter,,,rynkiewich2012soul,
fMZeS,jeu jinu,,female ego‘s mother‘s sisters‘s older son,,,rynkiewich2012soul,
fMZyS,jetu jinu,,female ego‘s mother‘s sisters‘s younger son,,,rynkiewich2012soul,
fMZeD,jeu,,female ego‘s mother‘s sisters‘s older daughter,,,rynkiewich2012soul,
fMZyD,jetu,,female ego‘s mother‘s sisters‘s younger daughter,,,rynkiewich2012soul,
