parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"ka, tawau, dabok",,male ego's older brother,,,,"ka and dabok are indirectly possessed, tawa-u is directly possessed"
myB,"te, teiu",,male ego's younger brother,,,,"te is indirectly possessed, tei-u is directly posssessed"
feB,lu,,female ego's older brother,,,,lu can be either directly or indirectly possessed
fyB,lu,,female ego's younger brother,,,,lu can be either directly or indirectly possessed
meZ,lu,,male ego's older sister,,,,lu can be either directly or indirectly possessed
myZ,lu,,male ego's younger sister,,,,lu can be either directly or indirectly possessed
feZ,"ka, tawau, dabok",,female ego's older sister,,,,"ka and dabok are indirectly possessed, tawa-u is directly possessed"
fyZ,"te, teiu",,female ego's younger sister,,,,"te is indirectly possessed, tei-u is directly posssessed"
mF,"tamau, mam",,male ego's father,,,,"tama-u is directly possessed, mam is indirectly possessed"
mM,"tinau, nen",,male ego's mother,,,,"tina-u is directly possessed, nen is indirectly possessed"
fF,"tamau, mam",,female ego's father,,,,"tama-u is directly possessed, mam is indirectly possessed"
fM,"tinau, nen",,female ego's mother,,,,"tina-u is directly possessed, nen is indirectly possessed"
mS,"aim, wado",,male ego's son,,,,"aim is indirectly possessed, wado is directly possessed"
fS,"aim, wado",,female ego's son,,,,"aim is indirectly possessed, wado is directly possessed"
mD,aipain,,male ego's daughter,,,,aipain is indirectly possessed
fD,aipain,,female ego's daughter,,,,aipain is indirectly possessed
mSS,"tibu, sise",,male ego's son's son,,,,"tibu is directly possessed, sise is indirectly possessed"
mSD,"tibu, sise",,male ego's son's daughter,,,,"tibu is directly possessed, sise is indirectly possessed"
mDS,"tibu, sise",,male ego's daughter's son,,,,"tibu is directly possessed, sise is indirectly possessed"
mDD,"tibu, sise",,male ego's daughter's daughter,,,,"tibu is directly possessed, sise is indirectly possessed"
fSS,"tibu, sise",,female ego's son's son,,,,"tibu is directly possessed, sise is indirectly possessed"
fSD,"tibu, sise",,female ego's son's daughter,,,,"tibu is directly possessed, sise is indirectly possessed"
fDS,"tibu, sise",,female ego's daughter's son,,,,"tibu is directly possessed, sise is indirectly possessed"
fDD,"tibu, sise",,female ego's daugher's daughter,,,,"tibu is directly possessed, sise is indirectly possessed"
mFF,"tibu, sise, dabok",,male ego's father‘s father,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
mFM,"tibu, sise, dabok",,male ego's father's mother,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
mMF,"tibu, sise, dabok",,male ego's mother's father,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
mMM,"tibu, sise, dabok",,male ego's mother's mother,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
fFF,"tibu, sise, dabok",,female ego's father's father,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
fFM,"tibu, sise, dabok",,female ego's father's mother,,,,"tibu is directly possessed, sise and dabok are indirectly possessed"
