parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,tama,,male ego's father,,,Chung2005,
mM,tama,,male ego's mother,,,Chung2005,
fF,rabui,,female ego's father,,,Chung2005,
fM,rabui,,female ego's mother,,,Chung2005,
mFeB,"yeluwaitamana, tama",,male ego's father's older brother,,,Chung2005,
mFyB,"yeluwaitamana, tama",,male ego's father's younger brother,,,Chung2005,
mMeB,"meme, sabe",,male ego's mother's older brother,,,Chung2005,
mMyB,"meme, sabe",,male ego's mother's younger brother,,,Chung2005,
fFeB,"yeluwaitamana, tama",,female ego's father's older brother,,,Chung2005,
fFyB,"yeluwaitamana, tama",,female ego's father's younger brother,,,Chung2005,
fMeB,"meme, sabe",,female ego's mother's older brother,,,Chung2005,
fMyB,"meme, sabe",,female ego's mother's younger brother,,,Chung2005,
mW,lepne,,male ego's wife,,,Chung2005,
fH,taundu,,female ego‘s husband,,,Chung2005,
