parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
fFM,tá-ku ku-i-a,,female speaker's father's mother,,,,
fMM,tá-ku ku-i-a,,female speaker's mother's mother,,,,
mFM,tá-ku ku-i-a,,male speaker's father's mother,,,,
mMM,tá-ku ku-i-a,,male speaker's mother's mother,,,,
fDD,tá-ku mo-ko-pu-na,,female speaker's daughter's daughter,,,,
fDS,tá-ku mo-ko-pu-na,,female speaker's daughter's son,,,,
fSD,tá-ku mo-ko-pu-na,,female speaker's son's daughter,,,,
fSS,tá-ku mo-ko-pu-na,,female speaker's son's son,,,,
mDD,tá-ku mo-ko-pu-na,,male speaker's daughter's daughter,,,,
mDS,tá-ku mo-ko-pu-na,,male speaker's daughter's son,,,,
mSD,tá-ku mo-ko-pu-na,,male speaker's son's daughter,,,,
mSS,tá-ku mo-ko-pu-na,,male speaker's son's son,,,,
fFeB,ta-ku pa-pa-ke-ke,,female speaker's father's older brother,,,,
fFyB,ta-ku pa-pa-ke-ke,,female speaker's father's younger brother,,,,
mFeB,ta-ku pa-pa-ke-ke,,male speaker's father's older brother,,,,
mFyB,ta-ku pa-pa-ke-ke,,male speaker's father's younger brother,,,,
fF,ta-ku papa,,female speaker's father,,,,
mF,ta-ku papa,,male speaker's father,,,,
feBS,ta-ku ta-ma,,female speaker's older brother's son,,,,
feZS,ta-ku ta-ma,,female speaker's older sister's son,,,,
fyBS,ta-ku ta-ma,,female speaker's younger brother's son,,,,
fyZS,ta-ku ta-ma,,female speaker's younger sister's son,,,,
meBS,ta-ku ta-ma,,male speaker's older brother's son,,,,
meZS,ta-ku ta-ma,,male speaker's older sister's son,,,,
myBS,ta-ku ta-ma,,male speaker's younger brother's son,,,,
myZS,ta-ku ta-ma,,male speaker's younger sister's son,,,,
fS,tá-ku ta-ma,,female speaker's son,,,,
mS,tá-ku ta-ma,,male speaker's son,,,,
feBD,ta-ku ta-ma-hi-ne,,female speaker's older brother's daughter,,,,
feZD,ta-ku ta-ma-hi-ne,,female speaker's older sister's daughter,,,,
fyBD,ta-ku ta-ma-hi-ne,,female speaker's younger brother's daughter,,,,
fyZD,ta-ku ta-ma-hi-ne,,female speaker's younger sister's daughter,,,,
meZD,ta-ku ta-ma-hi-ne,,male speaker's older sister's daughter,,,,
myZD,ta-ku ta-ma-hi-ne,,male speaker's younger sister's daughter,,,,
fD,tá-ku ta-ma-hi-ne,,female speaker's daughter,,,,
mD,tá-ku ta-ma-hi-ne,,male speaker's daughter,,,,
meBD,ta-ku tam-a-hi-ne,,male speaker's older brother's daughter,,,,
myBD,ta-ku tam-a-hi-ne,,male speaker's younger brother's daughter,,,,
fyZ,ta-ku te-i-na,,female speaker's younger sister,,,,
mFByS,ta-ku te-i-na,,male speaker's father's brother's younger son,,,,
myB,ta-ku te-i-na,,male speaker's younger brother,,,,
mFByD,ta-ku tu-a-hi-na-te-i-na,,male speaker's father's brother's younger daughter,,,,
mFBeD,ta-ku tu-a-hi-ne,,male speaker's father's brother's older daughter,,,,
myZ,ta-ku tu-a-hi-ne te-i-na,,male speaker's younger sister,,,,
fFBeD,ta-ku tu-a-ka-na,,female speaker's father's brother's older daughter,,,,
meB,ta-ku tu-a-ka-na,,male speaker's older brother,,,,
mFBeS,ta-ku tu-a-ka-na,,male speaker's father's brother's older son,,,,
fFF,tá-ku tu-pu-na,,female speaker's father's father,,,,
fMF,tá-ku tu-pu-na,,female speaker's mother's father,,,,
mFF,tá-ku tu-pu-na,,male speaker's father's father,,,,
mMF,tá-ku tu-pu-na,,male speaker's mother's father,,,,
fFBeS,ta-ku tun-ga-ne,,female speaker's father's brother's older son,,,,
fyB,ta-ku tun-ga-ne te-i-na,,female speaker's younger brother,,,,
fFByS,ta-ku tun-ga-ne-te-i-na,,female speaker's father's brother's younger son,,,,
feB,ta-ku tun-go-ne,,female speaker's older brother,,,,
fM,ta-ku wa-e-a,,female speaker's mother,,,,
mM,ta-ku wa-e-a,,male speaker's mother,,,,
fFByD,ta-ku-te-i-na,,female speaker's father's brother's younger daughter,,,,
mW,"ta-ku, ho-a",,male speaker's wife,,,,
fH,"ta-ku, ta-hu",,female speaker's husband,,,,
mFZeD,ta´-ku te-a-hi-ne,,male speaker's father's sister's older daughter,,,,
fFZeD,ta´-ku te-a-ka-na,,female speaker's father's sister's older daughter,,,,
fFZyD,ta´-ku te-i-na,,female speaker's father's sister's younger daughter,,,,
mFZyS,ta´-ku te-t-na,,male speaker's father's sister's younger son,,,,
mFZeS,ta´-ku tu-a-ka-na,,male speaker's father's sister's older son,,,,
mMBeS,ta´-ku tu-a-ka-na,,male speaker's mother's brother's older son,,,,
mFZyD,ta´-ku tu-o-hi-na-te-i-na,,male speaker's father's sister's younger daughter,,,,
fFZeS,ta´-ku tun-ga-ne,,female speaker's father's sister's older son,,,,
fMBeS,ta´-ku tun-ga-ne,,female speaker's mother's brother's older son,,,,
fFZyS,ta´-ku tun-ga-ne-te-i-na,,male speaker's father's sister's younger son,,,,
fFeZ,ta´-ku wa-e-a,,female speaker's father's older sister,,,,
fFyZ,ta´-ku wa-e-a,,female speaker's father's younger sister,,,,
mFeZ,ta´-ku wa-e-a,,male speaker's father's older sister,,,,
mFyZ,ta´-ku wa-e-a,,male speaker's father's younger sister,,,,
meZ,taku tu-a-hi-ne,,male speker's older sister,,,,
feZ,taku tu-a-ka-na,,female speaker's older sister,,,,
