"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tuaga",,"male ego's older brother",,,"CodringtonPalmer1896",""
"myB","tasiu, tasmatagaraqa",,"male ego's younger brother",,,"CodringtonPalmer1896",""
"feB","tutuai",,"female ego's older brother",,,"CodringtonPalmer1896",""
"fyB","tutuai",,"female ego's younger brother",,,"CodringtonPalmer1896",""
"meZ","tutuai",,"male ego's older sister",,,"CodringtonPalmer1896",""
"myZ","tutuai",,"male ego's younger sister",,,"CodringtonPalmer1896",""
"feZ","tuaga",,"female ego's older sister",,,"CodringtonPalmer1896",""
"fyZ","tasiu, tasmatagaraqa",,"female ego's younger sister",,,"CodringtonPalmer1896",""
"mF","tamak, mama, tamai",,"male ego's father",,,"CodringtonPalmer1896",""
"mM","veve",,"male ego's mother",,,"CodringtonPalmer1896",""
"fF","tamak, mama, tamai",,"female ego's father",,,"CodringtonPalmer1896",""
"fM","veve",,"female ego's mother",,,"CodringtonPalmer1896",""
"mS","merei",,"male ego's son",,,"CodringtonPalmer1896",""
"fS","merei",,"female ego's son",,,"CodringtonPalmer1896",""
"mD","merei",,"male ego's daughter",,,"CodringtonPalmer1896",""
"fD","merei",,"female ego's daughter",,,"CodringtonPalmer1896",""
"mSS","tupui",,"male ego's son's son",,,"CodringtonPalmer1896",""
"mSD","tupui",,"male ego's son's daughter",,,"CodringtonPalmer1896",""
"mDS","tupui",,"male ego's daughter's son",,,"CodringtonPalmer1896",""
"mDD","tupui",,"male ego's daughter's daughter",,,"CodringtonPalmer1896",""
"fSS","tupui",,"female ego's son's son",,,"CodringtonPalmer1896",""
"fSD","tupui",,"female ego's son's daughter",,,"CodringtonPalmer1896",""
"fDS","tupui",,"female ego's daughter's son",,,"CodringtonPalmer1896",""
"fDD","tupui",,"female ego's daugher's daughter",,,"CodringtonPalmer1896",""
"mFF","tupui",,"male ego's father‘s father",,,"CodringtonPalmer1896",""
"mFM","tupui",,"male ego's father's mother",,,"CodringtonPalmer1896",""
"mMF","tupui",,"male ego's mother's father",,,"CodringtonPalmer1896",""
"mMM","tupui",,"male ego's mother's mother",,,"CodringtonPalmer1896",""
"fFF","tupui",,"female ego's father's father",,,"CodringtonPalmer1896",""
"fFM","tupui",,"female ego's father's mother",,,"CodringtonPalmer1896",""
"fMF","tupui",,"female ego's mother's father",,,"CodringtonPalmer1896",""
"fMM","tupui",,"female ego's mother's mother",,,"CodringtonPalmer1896",""
"meBS","pio, merei",,"male ego's older brother's son",,,"CodringtonPalmer1896",""
"myBS","pio, merei",,"male ego's younger brother's son",,,"CodringtonPalmer1896",""
"meZS","vananoi",,"male ego's older sister's son",,,"CodringtonPalmer1896",""
"myZS","vananoi",,"male ego's younger sister's son",,,"CodringtonPalmer1896",""
"meBD","pio, merei",,"male ego's older brother's daughter",,,"CodringtonPalmer1896",""
"myBD","pio, merei",,"male ego's younger brother's daughter",,,"CodringtonPalmer1896",""
"meZD","vavine",,"male ego's older sister's daughter",,,"CodringtonPalmer1896",""
"myZD","vavine",,"male ego's younger sister's daughter",,,"CodringtonPalmer1896",""
"feBS","pio, merei",,"female ego's older brother's son",,,"CodringtonPalmer1896",""
"fyBS","pio, merei",,"female ego's younger brother's son",,,"CodringtonPalmer1896",""
"feZS","vavine",,"female ego's older sister's son",,,"CodringtonPalmer1896",""
"fyZS","vavine",,"female ego's younger sister's son",,,"CodringtonPalmer1896",""
"feBD","pio, merei",,"female ego's older brother's daughter",,,"CodringtonPalmer1896",""
"fyBD","pio, merei",,"female ego's younger brother's daughter",,,"CodringtonPalmer1896",""
"feZD","vavine",,"female ego's older sister's daughter",,,"CodringtonPalmer1896",""
"fyZD","vavine",,"female ego's younger sister's daughter",,,"CodringtonPalmer1896",""
"mFeB","mama",,"male ego's father's older brother",,,"CodringtonPalmer1896",""
"mFyB","mama",,"male ego's father's younger brother",,,"CodringtonPalmer1896",""
"mFeZ","vevegae",,"male ego's father's older sister",,,"CodringtonPalmer1896",""
"mFyZ","vevegae",,"male ego's father's younger sister",,,"CodringtonPalmer1896",""
"mMeB","maraui",,"male ego's mother's older brother",,,"CodringtonPalmer1896",""
