parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,taina,,,,AUS59,key_maori_2015,
mG,teina,,,,AUS59,key_maori_2015,
mB,tuŋaane,,,,AUS59,key_maori_2015,
mB,teina,,,,AUS59,key_maori_2015,
mB,tuakana,,,,AUS59,key_maori_2015,
mZ,tuahine,,,,AUS59,key_maori_2015,
mZ,teina,,,,AUS59,key_maori_2015,
mZ,tuakana,,,,AUS59,key_maori_2015,
meB,kauaemua,,,,AUS16,moorfield_te_2005,
meB,tuākana,,,,AUS16,moorfield_te_2005,or tuakana
myB,teina,,,,AUS59,key_maori_2015,
myB,teina,,,,AUS16,moorfield_te_2005,"or tāina, tēina, taina"
meZ,kauaemua,,,,AUS16,moorfield_te_2005,
myZ,teina,,,,AUS59,key_maori_2015,
mP,mātua,,,,AUS16,moorfield_te_2005,plural of matua
mF,pāpara,,,,AUS16,moorfield_te_2005,
mF,pāpā,,,,AUS16,moorfield_te_2005,
mF,matua,,,,AUS16,moorfield_te_2005,
mF,matua taane,,,,AUS59,key_maori_2015,
mM,kowhaea,,,,AUS16,moorfield_te_2005,
mM,kōkara,,,,AUS16,moorfield_te_2005,especially birth mother
mM,kōkā,,,,AUS16,moorfield_te_2005,
mM,whāea,,,,AUS16,moorfield_te_2005,or whaea
mM,whaene,,,,AUS16,moorfield_te_2005,
mC,taitamaiti,,,,AUS16,moorfield_te_2005,
mC,uri,,,,AUS59,key_maori_2015,
mC,whaanau,,,,AUS59,key_maori_2015,
mC,tamariki,,,,AUS59,key_maori_2015,
mS,tamaiti taane,,,,AUS59,key_maori_2015,
mS,tama,,,,AUS16,moorfield_te_2005,"son, boy, nephew"
mD,tamāhine,,,,AUS16,moorfield_te_2005,
mD,kootiro,,,,AUS59,key_maori_2015,
mD,tamawahine,,,,AUS16,moorfield_te_2005,
mA,heinga,,,,AUS16,moorfield_te_2005,
mA,kahika,,,,AUS16,moorfield_te_2005,
mA,kohika,,,,AUS16,moorfield_te_2005,
mA,whātua,,,,AUS16,moorfield_te_2005,
mA,atua,,,,AUS16,moorfield_te_2005,
mA,tipuna,,,,AUS16,moorfield_te_2005,
mPP,tipuna,,,,AUS16,moorfield_te_2005,
mPP,tupuna,,,,AUS16,moorfield_te_2005,
mFF,tupuna tāne,,,,AUS16,moorfield_te_2005,
mFF,tipuna tāne,,,,AUS16,moorfield_te_2005,
mFF,koro,,,,AUS16,moorfield_te_2005,
mFF,koroua,,,,AUS16,moorfield_te_2005,
mFM,tupuna wahine,,,,AUS16,moorfield_te_2005,
mFM,tipuna wahine,,,,AUS16,moorfield_te_2005,
mFM,tāua,,,,AUS16,moorfield_te_2005,
mMF,tupuna tāne,,,,AUS16,moorfield_te_2005,
mMF,tipuna tāne,,,,AUS16,moorfield_te_2005,
mMF,koro,,,,AUS16,moorfield_te_2005,
mMF,koroua,,,,AUS16,moorfield_te_2005,
mMM,tupuna wahine,,,,AUS16,moorfield_te_2005,
mMM,tipuna wahine,,,,AUS16,moorfield_te_2005,
mMM,tāua,,,,AUS16,moorfield_te_2005,
mCC,mokopuna,,,,AUS16,moorfield_te_2005,
mSS,mokopuna,,,,AUS16,moorfield_te_2005,
mSD,mokopuna,,,,AUS16,moorfield_te_2005,
mDS,mokopuna,,,,AUS16,moorfield_te_2005,
mDD,mokopuna,,,,AUS16,moorfield_te_2005,
mFB,pāpara,,,,AUS16,moorfield_te_2005,
mFB,pāpā,,,,AUS16,moorfield_te_2005,
mFB,matua kēkē,,,,AUS16,moorfield_te_2005,
mFZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mFZ,whaea,,,,AUS16,moorfield_te_2005,
mFZ,whaene,,,,AUS16,moorfield_te_2005,
mFZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mMB,pāpara,,,,AUS16,moorfield_te_2005,
mMB,pāpā,,,,AUS16,moorfield_te_2005,
mMB,matua kēkē,,,,AUS16,moorfield_te_2005,
mMZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mMZ,whaea,,,,AUS16,moorfield_te_2005,
mMZ,whaene,,,,AUS16,moorfield_te_2005,
mMZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mFeB,pāpara,,,,AUS16,moorfield_te_2005,
mFeB,pāpā,,,,AUS16,moorfield_te_2005,
mFeB,matua kēkē,,,,AUS16,moorfield_te_2005,
mFyB,pāpara,,,,AUS16,moorfield_te_2005,
mFyB,pāpā,,,,AUS16,moorfield_te_2005,
mFyB,matua kēkē,,,,AUS16,moorfield_te_2005,
mFeZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mFeZ,whaea,,,,AUS16,moorfield_te_2005,
mFeZ,whaene,,,,AUS16,moorfield_te_2005,
mFeZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mFyZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mFyZ,whaea,,,,AUS16,moorfield_te_2005,
mFyZ,whaene,,,,AUS16,moorfield_te_2005,
mFyZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mMeZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mMeZ,whaea,,,,AUS16,moorfield_te_2005,
mMeZ,whaene,,,,AUS16,moorfield_te_2005,
mMeZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mMyZ,matua kēkē,,,,AUS16,moorfield_te_2005,
mMyZ,whaea,,,,AUS16,moorfield_te_2005,
mMyZ,whaene,,,,AUS16,moorfield_te_2005,
mMyZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
mMeB,pāpara,,,,AUS16,moorfield_te_2005,
mMeB,pāpā,,,,AUS16,moorfield_te_2005,
mMeB,matua kēkē,,,,AUS16,moorfield_te_2005,
mMyB,pāpara,,,,AUS16,moorfield_te_2005,
mMyB,pāpā,,,,AUS16,moorfield_te_2005,
mMyB,matua kēkē,,,,AUS16,moorfield_te_2005,
mBS,irāmutu,,,,AUS16,moorfield_te_2005,
mBS,tama,,,,AUS16,moorfield_te_2005,
mBS,tamaiti,,,,AUS59,key_maori_2015,
mBD,irāmutu,,,,AUS16,moorfield_te_2005,
mZS,irāmutu,,,,AUS16,moorfield_te_2005,
mZS,tama,,,,AUS16,moorfield_te_2005,
mZD,irāmutu,,,,AUS16,moorfield_te_2005,
meBS,irāmutu,,,,AUS16,moorfield_te_2005,
meBS,tama,,,,AUS16,moorfield_te_2005,
myBS,irāmutu,,,,AUS16,moorfield_te_2005,
myBS,tama,,,,AUS16,moorfield_te_2005,
meBD,irāmutu,,,,AUS16,moorfield_te_2005,
myBD,irāmutu,,,,AUS16,moorfield_te_2005,
meZS,irāmutu,,,,AUS16,moorfield_te_2005,
meZS,tama,,,,AUS16,moorfield_te_2005,
myZS,irāmutu,,,,AUS16,moorfield_te_2005,
myZS,tama,,,,AUS16,moorfield_te_2005,
meZD,irāmutu,,,,AUS16,moorfield_te_2005,
myZD,irāmutu,,,,AUS16,moorfield_te_2005,
mFZD,tuahine,,,,AUS16,moorfield_te_2005,
mFBD,tuahine,,,,AUS16,moorfield_te_2005,
mMBD,tuahine,,,,AUS16,moorfield_te_2005,
mMZD,tuahine,,,,AUS16,moorfield_te_2005,
mFeBS,tuakana,,,,AUS16,moorfield_te_2005,
mFyBS,teina,,,,AUS16,moorfield_te_2005,
mFeZS,tuakana,,,,AUS16,moorfield_te_2005,
mFyZS,teina,,,,AUS16,moorfield_te_2005,
mMeBS,tuakana,,,,AUS16,moorfield_te_2005,
mMyBS,teina,,,,AUS16,moorfield_te_2005,
mMeZS,tuakana,,,,AUS16,moorfield_te_2005,
mMyZS,teina,,,,AUS16,moorfield_te_2005,
mFByS,teina,,,,AUS16,moorfield_te_2005,
mFZyS,teina,,,,AUS16,moorfield_te_2005,
mMByS,teina,,,,AUS16,moorfield_te_2005,
mMByD,teina,,,,AUS16,moorfield_te_2005,
mE,āwhai,,,,AUS16,moorfield_te_2005,
mH,tāne,,,,,,
mW,wahine,,,,AUS17(391),dieffenbach_travels_2013,
mW,hoa wahine,,,,AUS16,moorfield_te_2005,
mHF,hungarei,,,,AUS16,moorfield_te_2005,
mHF,hūngoi,,,,AUS16,moorfield_te_2005,
mHF,hungawai,,,,AUS16,moorfield_te_2005,
mHM,hungarei,,,,AUS16,moorfield_te_2005,
mHM,hūngoi,,,,AUS16,moorfield_te_2005,
mWF,hungarei,,,,AUS16,moorfield_te_2005,
mWF,hūngoi,,,,AUS16,moorfield_te_2005,
mWF,hungawai,,,,AUS16,moorfield_te_2005,
mWM,hungarei,,,,AUS16,moorfield_te_2005,
mWM,hūngoi,,,,AUS16,moorfield_te_2005,
mBW,auwahine,,,,AUS16,moorfield_te_2005,
mZH,taokete,,,,AUS16,moorfield_te_2005,
mWB,taokete,,,,AUS16,moorfield_te_2005,
mWZ,auwahine,,,,AUS16,moorfield_te_2005,
mHB,taokete,,,,AUS16,moorfield_te_2005,
mHZ,auwahine,,,,AUS16,moorfield_te_2005,
mco-W,hoahoa,,,,AUS16,moorfield_te_2005,
mco-W,murimanu,,,,AUS16,moorfield_te_2005,inferior or junior wife
mco-W,wahine matua,,,,AUS16,moorfield_te_2005,head or senior wife
mSW,hunaonga,,,,AUS16,moorfield_te_2005,
mSW,hinaonga,,,,AUS16,moorfield_te_2005,
mDH,hunaonga,,,,AUS16,moorfield_te_2005,
mDH,hinaonga,,,,AUS16,moorfield_te_2005,
mFBeD,tuahine,,,,AUS16,moorfield_te_2005,Inferred; NA
mFZeD,tuahine,,,,AUS16,moorfield_te_2005,Inferred; NA
mMBeD,tuahine,,,,AUS16,moorfield_te_2005,Inferred; NA
mMZeD,tuahine,,,,AUS16,moorfield_te_2005,Inferred; NA
fG,taina,,,,AUS59,key_maori_2015,
fG,teina,,,,AUS59,key_maori_2015,
fB,tungāne,,,,AUS16,moorfield_te_2005,
fB,tuŋaane,,,,AUS59,key_maori_2015,
fB,teina,,,,AUS59,key_maori_2015,
fB,tuakana,,,,AUS59,key_maori_2015,
fZ,tuahine,,,,AUS59,key_maori_2015,
fZ,teina,,,,AUS59,key_maori_2015,
fZ,tuakana,,,,AUS59,key_maori_2015,
feB,kauaemua,,,,AUS16,moorfield_te_2005,
fyB,teina,,,,AUS59,key_maori_2015,
feZ,tuākana,,,,AUS16,moorfield_te_2005,or tuakana
feZ,kauaemua,,,,AUS16,moorfield_te_2005,
fyZ,teina,,,,AUS59,key_maori_2015,
fyZ,teina,,,,AUS16,moorfield_te_2005,"or tāina, tēina, taina"
fP,mātua,,,,AUS16,moorfield_te_2005,plural of matua
fF,pāpara,,,,AUS16,moorfield_te_2005,
fF,pāpā,,,,AUS16,moorfield_te_2005,
fF,matua,,,,AUS16,moorfield_te_2005,
fF,matua taane,,,,AUS59,key_maori_2015,
fM,kowhaea,,,,AUS16,moorfield_te_2005,
fM,kōkara,,,,AUS16,moorfield_te_2005,especially birth mother
fM,kōkā,,,,AUS16,moorfield_te_2005,
fM,whāea,,,,AUS16,moorfield_te_2005,or whaea
fM,whaene,,,,AUS16,moorfield_te_2005,
fC,taitamaiti,,,,AUS16,moorfield_te_2005,
fC,uri,,,,AUS59,key_maori_2015,
fC,whaanau,,,,AUS59,key_maori_2015,
fC,tamariki,,,,AUS59,key_maori_2015,
fS,tamaiti taane,,,,AUS59,key_maori_2015,
fS,tama,,,,AUS16,moorfield_te_2005,"son, boy, nephew"
fD,tamāhine,,,,AUS16,moorfield_te_2005,
fD,kootiro,,,,AUS59,key_maori_2015,
fD,tamawahine,,,,AUS16,moorfield_te_2005,
fA,heinga,,,,AUS16,moorfield_te_2005,
fA,kahika,,,,AUS16,moorfield_te_2005,
fA,kohika,,,,AUS16,moorfield_te_2005,
fA,whātua,,,,AUS16,moorfield_te_2005,
fA,atua,,,,AUS16,moorfield_te_2005,
fA,tipuna,,,,AUS16,moorfield_te_2005,
fPP,tipuna,,,,AUS16,moorfield_te_2005,
fPP,tupuna,,,,AUS16,moorfield_te_2005,
fFF,tupuna tāne,,,,AUS16,moorfield_te_2005,
fFF,tipuna tāne,,,,AUS16,moorfield_te_2005,
fFF,koro,,,,AUS16,moorfield_te_2005,
fFF,koroua,,,,AUS16,moorfield_te_2005,
fFM,tupuna wahine,,,,AUS16,moorfield_te_2005,
fFM,tipuna wahine,,,,AUS16,moorfield_te_2005,
fFM,tāua,,,,AUS16,moorfield_te_2005,
fMF,tupuna tāne,,,,AUS16,moorfield_te_2005,
fMF,tipuna tāne,,,,AUS16,moorfield_te_2005,
fMF,koro,,,,AUS16,moorfield_te_2005,
fMF,koroua,,,,AUS16,moorfield_te_2005,
fMM,tupuna wahine,,,,AUS16,moorfield_te_2005,
fMM,tipuna wahine,,,,AUS16,moorfield_te_2005,
fMM,tāua,,,,AUS16,moorfield_te_2005,
fCC,mokopuna,,,,AUS16,moorfield_te_2005,
fSS,mokopuna,,,,AUS16,moorfield_te_2005,
fSD,mokopuna,,,,AUS16,moorfield_te_2005,
fDS,mokopuna,,,,AUS16,moorfield_te_2005,
fDD,mokopuna,,,,AUS16,moorfield_te_2005,
fFB,pāpara,,,,AUS16,moorfield_te_2005,
fFB,pāpā,,,,AUS16,moorfield_te_2005,
fFB,matua kēkē,,,,AUS16,moorfield_te_2005,
fFZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fFZ,whaea,,,,AUS16,moorfield_te_2005,
fFZ,whaene,,,,AUS16,moorfield_te_2005,
fFZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fMB,pāpara,,,,AUS16,moorfield_te_2005,
fMB,pāpā,,,,AUS16,moorfield_te_2005,
fMB,matua kēkē,,,,AUS16,moorfield_te_2005,
fMZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fMZ,whaea,,,,AUS16,moorfield_te_2005,
fMZ,whaene,,,,AUS16,moorfield_te_2005,
fMZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fFeB,pāpara,,,,AUS16,moorfield_te_2005,
fFeB,pāpā,,,,AUS16,moorfield_te_2005,
fFeB,matua kēkē,,,,AUS16,moorfield_te_2005,
fFyB,pāpara,,,,AUS16,moorfield_te_2005,
fFyB,pāpā,,,,AUS16,moorfield_te_2005,
fFyB,matua kēkē,,,,AUS16,moorfield_te_2005,
fFeZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fFeZ,whaea,,,,AUS16,moorfield_te_2005,
fFeZ,whaene,,,,AUS16,moorfield_te_2005,
fFeZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fFyZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fFyZ,whaea,,,,AUS16,moorfield_te_2005,
fFyZ,whaene,,,,AUS16,moorfield_te_2005,
fFyZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fMeZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fMeZ,whaea,,,,AUS16,moorfield_te_2005,
fMeZ,whaene,,,,AUS16,moorfield_te_2005,
fMeZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fMyZ,matua kēkē,,,,AUS16,moorfield_te_2005,
fMyZ,whaea,,,,AUS16,moorfield_te_2005,
fMyZ,whaene,,,,AUS16,moorfield_te_2005,
fMyZ,whaea kēkē,,,,AUS16,moorfield_te_2005,
fMeB,pāpara,,,,AUS16,moorfield_te_2005,
fMeB,pāpā,,,,AUS16,moorfield_te_2005,
fMeB,matua kēkē,,,,AUS16,moorfield_te_2005,
fMyB,pāpara,,,,AUS16,moorfield_te_2005,
fMyB,pāpā,,,,AUS16,moorfield_te_2005,
fMyB,matua kēkē,,,,AUS16,moorfield_te_2005,
fBS,irāmutu,,,,AUS16,moorfield_te_2005,
fBS,tama,,,,AUS16,moorfield_te_2005,
fBS,tamaiti,,,,AUS59,key_maori_2015,
fBD,irāmutu,,,,AUS16,moorfield_te_2005,
fZS,irāmutu,,,,AUS16,moorfield_te_2005,
fZS,tama,,,,AUS16,moorfield_te_2005,
fZD,irāmutu,,,,AUS16,moorfield_te_2005,
feBS,irāmutu,,,,AUS16,moorfield_te_2005,
feBS,tama,,,,AUS16,moorfield_te_2005,
fyBS,irāmutu,,,,AUS16,moorfield_te_2005,
fyBS,tama,,,,AUS16,moorfield_te_2005,
feBD,irāmutu,,,,AUS16,moorfield_te_2005,
fyBD,irāmutu,,,,AUS16,moorfield_te_2005,
feZS,irāmutu,,,,AUS16,moorfield_te_2005,
feZS,tama,,,,AUS16,moorfield_te_2005,
fyZS,irāmutu,,,,AUS16,moorfield_te_2005,
fyZS,tama,,,,AUS16,moorfield_te_2005,
feZD,irāmutu,,,,AUS16,moorfield_te_2005,
fyZD,irāmutu,,,,AUS16,moorfield_te_2005,
fFBS,tungāne,,,,AUS16,moorfield_te_2005,
fFZS,tungāne,,,,AUS16,moorfield_te_2005,
fMBS,tungāne,,,,AUS16,moorfield_te_2005,
fMZS,tungāne,,,,AUS16,moorfield_te_2005,
fFeBD,tuakana,,,,AUS16,moorfield_te_2005,
fFyBD,teina,,,,AUS16,moorfield_te_2005,
fFeZD,tuakana,,,,AUS16,moorfield_te_2005,
fFyZD,teina,,,,AUS16,moorfield_te_2005,
fMeBD,tuakana,,,,AUS16,moorfield_te_2005,
fMyBD,teina,,,,AUS16,moorfield_te_2005,
fMeZD,tuakana,,,,AUS16,moorfield_te_2005,
fMyZD,teina,,,,AUS16,moorfield_te_2005,
fFByD,teina,,,,AUS16,moorfield_te_2005,
