"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ka'e",,"male ego's older brother",,,,
"myB","azi",,"male ego's younger brother",,,,
"feB","na",,"female ego's older brother",,,,
"fyB","na",,"female ego's younger brother",,,,
"meZ","weta",,"male ego's older sister",,,,
"myZ","weta",,"male ego's younger sister",,,,
"feZ","ka'e",,"female ego's older sister",,,,
"fyZ","azi",,"female ego's younger sister",,,,
"mF","ame, ema, ema dhadhi",,"male ego's father",,,,
"mM","ine, ine dhadhi",,"male ego's mother",,,,
"fF","ame, ema, ema dhadhi",,"female ego's father",,,,
"fM","ine, ine dhadhi",,"female ego's mother",,,,
"mS","ana",,"male ego's son",,,,
"fS","ana",,"female ego's son",,,,
"mD","ana",,"male ego's daughter",,,,
"fD","ana",,"female ego's daughter",,,,
"mSS","ebu",,"male ego's son's son",,,,
"mSD","ebu",,"male ego's son's daughter",,,,
"mDS","ebu",,"male ego's daughter's son",,,,
"mDD","ebu",,"male ego's daughter's daughter",,,,
"fSS","ebu",,"female ego's son's son",,,,
"fSD","ebu",,"female ego's son's daughter",,,,
"fDS","ebu",,"female ego's daughter's son",,,,
"fDD","ebu",,"female ego's daugher's daughter",,,,
"mFF","ebu",,"male ego's father‘s father",,,,
"mFM","ebu",,"male ego's father's mother",,,,
"mMF","ebu",,"male ego's mother's father",,,,
"mMM","ebu",,"male ego's mother's mother",,,,
"fFF","ebu",,"female ego's father's father",,,,
"fFM","ebu",,"female ego's father's mother",,,,
"fMF","ebu",,"female ego's mother's father",,,,
"fMM","ebu",,"female ego's mother's mother",,,,
"meBS","ana",,"male ego's older brother's son",,,,
"myBS","ana",,"male ego's younger brother's son",,,,
"meZS","ana, ana ane",,"male ego's older sister's son",,,,
"myZS","ana, ana ane",,"male ego's younger sister's son",,,,
"meBD","ana",,"male ego's older brother's daughter",,,,
"myBD","ana",,"male ego's younger brother's daughter",,,,
"meZD","ana, ana ane",,"male ego's older sister's daughter",,,,
"myZD","ana, ana ane",,"male ego's younger sister's daughter",,,,
"feBS","ana",,"female ego's older brother's son",,,,
"fyBS","ana",,"female ego's younger brother's son",,,,
"feZS","ana",,"female ego's older sister's son",,,,
"fyZS","ana",,"female ego's younger sister's son",,,,
"feBD","ana",,"female ego's older brother's daughter",,,,
"fyBD","ana",,"female ego's younger brother's daughter",,,,
"feZD","ana",,"female ego's older sister's daughter",,,,
"fyZD","ana",,"female ego's younger sister's daughter",,,,
"mFeB","ame, ema, ema ta'a ka'e",,"male ego's father's older brother",,,,
"mFyB","ame, ema, ema ta'a azi",,"male ego's father's younger brother",,,,
"mFeZ","mame",,"male ego's father's older sister",,,,
"mFyZ","mame",,"male ego's father's younger sister",,,,
"mMeB","ta'u",,"male ego's mother's older brother",,,,
"mMyB","ta'u",,"male ego's mother's younger brother",,,,
"mMeZ","ine, ine ta'a ka'e",,"male ego's mother's older sister",,,,
"mMyZ","ine, ine ta'a azi",,"male ego's mother's younger sister",,,,
"fFeB","ame, ema, ema ta'a ka'e",,"female ego's father's older brother",,,,
"fFyB","ame, ema, ema ta'a azi",,"female ego's father's younger brother",,,,
"fFeZ","mame",,"female ego's father's older sister",,,,
"fFyZ","mame",,"female ego's father's younger sister",,,,
"fMeB","ta'u",,"female ego's mother's older brother",,,,
"fMyB","ta'u",,"female ego's mother's younger brother",,,,
"fMeZ","ine, ine ta'a ka'e",,"female ego's mother's older sister",,,,
"fMyZ","ine, ine ta'a azi",,"female ego's mother's younger sister",,,,
"mW","fai",,"male ego's wife",,,,
"fH","haki",,"female ego‘s husband",,,,
"mDH","tu'a, ana tu'a",,"male ego's daughter's husband",,,,
"fDH","tu'a, ana tu'a",,"female ego's daughter's husband",,,,
"mSW","tu'a, ana tu'a",,"male ego's son's wife",,,,
"fSW","tu'a, ana tu'a",,"female ego's son's wife",,,,
"mWF","tu'a",,"male ego's wife's father",,,,
"mWM","tu'a",,"male ego's wife's mother",,,,
"mWB","éja",,"male ego's wife's brother",,,,
"mWZ","ipa, ipa weki",,"male ego's wife's sister",,,,
"fHF","tu'a",,"female ego's husband's father",,,,
"fHM","tu'a",,"female ego's husband's mother",,,,
"fHB","ipa, ipa weki",,"female ego's husband's brother",,,,
"fHZ","ipa, ipa weki",,"female ego's husband's sister",,,,
"mBW","ipa, ipa weki",,"male ego's brother's wife",,,,
"fBW","ipa, ipa weki",,"female ego's brother's wife",,,,
"mZH","éja",,"male ego's sister's husband",,,,
"fZH","éja",,"female ego's sister's husband",,,,
"mFBeS","ka'e azi, doa",,"male ego‘s father‘s brother‘s older son",,,,
"mFByS","ka'e azi, doa",,"male ego‘s father‘s brother‘s younger son",,,,
"mFBeD","weta",,"male ego‘s father‘s brother‘s older daughter",,,,
"mFByD","weta",,"male ego‘s father‘s brother‘s younger daughter",,,,
"mFZeS","ka'e azi, doa, li ana",,"male ego‘s father‘s sisters‘s older son",,,,
"mFZyS","ka'e azi, doa, li ana",,"male ego‘s father‘s sisters‘s younger son",,,,
"mFZeD","weta",,"male ego‘s father‘s sisters‘s older daughter",,,,
"mFZyD","weta",,"male ego‘s father‘s sisters‘s younger daughter",,,,
"mMBeS","ka'e azi, doa, li ana",,"male ego‘s mother‘s brother‘s older son",,,,
"mMByS","ka'e azi, doa, li ana",,"male ego‘s mother‘s brother‘s younger son",,,,
"mMBeD","ka'e, doa",,"male ego‘s mother‘s brother‘s older daughter",,,,
"mMByD","azi, doa",,"male ego‘s mother‘s brother‘s younger daughter",,,,
"mMZeS","ka'e azi, doa",,"male ego‘s mother‘s sisters‘s older son",,,,
"mMZyS","ka'e azi, doa",,"male ego‘s mother‘s sisters‘s younger son",,,,
"mMZeD","weta",,"male ego‘s mother‘s sisters‘s older daughter",,,,
"mMZyD","weta",,"male ego‘s mother‘s sisters‘s younger daughter",,,,
"fFBeS","na",,"female ego‘s father‘s brother‘s older son",,,,
"fFByS","na",,"female ego‘s father‘s brother‘s younger son",,,,
"fFBeD","ka'e azi, doa",,"female ego‘s father‘s brother‘s older daughter",,,,
"fFByD","ka'e azi, doa",,"female ego‘s father‘s brother‘s younger daughter",,,,
"fFZeS","li ana",,"female ego‘s father‘s sisters‘s older son",,,,
"fFZyS","li ana",,"female ego‘s father‘s sisters‘s younger son",,,,
"fFZeD","ka'e azi, doa, li ana",,"female ego‘s father‘s sisters‘s older daughter",,,,
"fFZyD","ka'e azi, doa, li ana",,"female ego‘s father‘s sisters‘s younger daughter",,,,
"fMBeS","na",,"female ego‘s mother‘s brother‘s older son",,,,
"fMByS","na",,"female ego‘s mother‘s brother‘s younger son",,,,
"fMBeD","ka'e azi, doa",,"female ego‘s mother‘s brother‘s older daughter",,,,
"fMByD","ka'e azi, doa",,"female ego‘s mother‘s brother‘s younger daughter",,,,
"fMZeS","na",,"female ego‘s mother‘s sisters‘s older son",,,,
"fMZyS","na",,"female ego‘s mother‘s sisters‘s younger son",,,,
"fMZeD","ka'e azi, doa",,"female ego‘s mother‘s sisters‘s older daughter",,,,
"fMZyD","ka'e azi, doa",,"female ego‘s mother‘s sisters‘s younger daughter",,,,
