"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","diagu",,"male ego's older brother",,,,""
"myB","diagu",,"male ego's younger brother",,,,""
"feB","diagu",,"female ego's older brother",,,,""
"fyB","diagu",,"female ego's younger brother",,,,""
"meZ","dimafingu",,"male ego's older sister",,,,"taboo"
"myZ","dimafingu",,"male ego's younger sister",,,,"taboo"
"feZ","diagu",,"female ego's older sister",,,,""
"fyZ","diagu",,"female ego's younger sister",,,,""
"mF","tamang",,"male ego's father",,,,""
"mM","namg",,"male ego's mother",,,,""
"fF","tamang",,"female ego's father",,,,""
"fM","namg",,"female ego's mother",,,,""
"mS","aliksugu",,"male ego's son",,,,""
"fS","aliksugu",,"female ego's son",,,,""
"meBS","aliksugu",,"male ego's older brother's son",,,,""
"myBS","aliksugu",,"male ego's younger brother's son",,,,""
"meZS","mogorugu",,"male ego's older sister's son",,,,""
"myZS","mogorugu",,"male ego's younger sister's son",,,,""
"feBS","kogol",,"female ego's older brother's son",,,,""
"fyBS","kogol",,"female ego's younger brother's son",,,,""
"mFeB","tamang",,"male ego's father's older brother",,,,""
"mFyB","tamang",,"male ego's father's younger brother",,,,""
"mFeZ","kogol",,"male ego's father's older sister",,,,""
"mFyZ","kogol",,"male ego's father's younger sister",,,,""
"mMeB","mogorugu",,"male ego's mother's older brother",,,,""
"mMyB","mogorugu",,"male ego's mother's younger brother",,,,""
"fFeB","tamang",,"female ego's father's older brother",,,,""
"fFyB","tamang",,"female ego's father's younger brother",,,,""
"fFeZ","kogol",,"female ego's father's older sister",,,,""
"fFyZ","kogol",,"female ego's father's younger sister",,,,""
"mW","aratesegu",,"male ego's wife",,,,""
"fH","aratesegu",,"female ego‘s husband",,,,""
"mWF","aianumg",,"male ego's wife's father",,,,""
"mWM","kogol",,"male ego's wife's mother",,,,"taboo"
"fHF","nenagu",,"female ego's husband's father",,,,""
"fHM","nenagu",,"female ego's husband's mother",,,,""
"mBW","fagu, kaiasgu",,"male ego's brother's wife",,,,""
"fBW","fagu, kaiasgu",,"female ego's brother's wife",,,,""
"mZH","fagu",,"male ego's sister's husband",,,,""
"fZH","fagu",,"female ego's sister's husband",,,,"taboo"
"mFBS","diagu",,"male ego's father's brother's son",,,,""
"mFZS","fagu",,"male ego's father's sister's son",,,,""
"mMBS","fagu",,"male ego's mother's brother's son",,,,""
"mFBD","dimafingu",,"male ego's father's brother's daughter",,,,""
"mFZD","kaiasgu, aiamung",,"male ego's father's sister's daughter",,,,""
"mMBD","kaiasgu",,"male ego's mother's brother's daughter",,,,""
"fFBS","dimafingu",,"female ego's father's brother's son",,,,""
"fFZS","fagu",,"female ego's father's sister's son",,,,""
"fMBS","fagu",,"female ego's mother's brother's son",,,,""
"fFZD","kaiasgu, aiamung",,"female ego's father's sister's daughter",,,,""
"fMBD","dimafingu, kaiasgu",,"female ego's mother's brother's daughter",,,,""
"mFeBS","diagu",,"male ego's father's brother's son",,,,"Inferred; "
