parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"suan, titi",,male ego's older brother,,,GeorgeND,
myB,"suan, titi",,male ego's younger brother,,,GeorgeND,
feB,"suan, titi",,female ego's older brother,,,GeorgeND,
fyB,"suan, titi",,female ego's younger brother,,,GeorgeND,
meZ,"ngkoren, nana",,male ego's older sister,,,GeorgeND,
myZ,"ngkoren, nana",,male ego's younger sister,,,GeorgeND,
feZ,"ngkoren, nana",,female ego's older sister,,,GeorgeND,
fyZ,"ngkoren, nana",,female ego's younger sister,,,GeorgeND,
mF,"taman, aba, poop",,male ego's father,,,GeorgeND,
mM,"anuh, bwilamw",,male ego's mother,,,GeorgeND,
fF,"taman, aba, poop",,female ego's father,,,GeorgeND,
fM,"anuh, bwilamw",,female ego's mother,,,GeorgeND,
mS,natin,,male ego's son,,,GeorgeND,
fS,natin,,female ego's son,,,GeorgeND,
mD,natin,,male ego's daughter,,,GeorgeND,
fD,natin,,female ego's daughter,,,GeorgeND,
mSS,tahin,,male ego's son's son,,,GeorgeND,
mSD,tahin,,male ego's son's daughter,,,GeorgeND,
mDS,tahin,,male ego's daughter's son,,,GeorgeND,
mDD,tahin,,male ego's daughter's daughter,,,GeorgeND,
fSS,tahin,,female ego's son's son,,,GeorgeND,
fSD,tahin,,female ego's son's daughter,,,GeorgeND,
fDS,tahin,,female ego's daughter's son,,,GeorgeND,
fDD,tahin,,female ego's daugher's daughter,,,GeorgeND,
mFF,pupu,,male ego's father‘s father,,,GeorgeND,
mFM,taat,,male ego's father's mother,,,GeorgeND,
mMF,pupu,,male ego's mother's father,,,GeorgeND,
mMM,taat,,male ego's mother's mother,,,GeorgeND,
fFF,pupu,,female ego's father's father,,,GeorgeND,
fFM,taat,,female ego's father's mother,,,GeorgeND,
fMF,pupu,,female ego's mother's father,,,GeorgeND,
fMM,taat,,female ego's mother's mother,,,GeorgeND,
meBS,loan,,male ego's older brother's son,,,GeorgeND,
myBS,loan,,male ego's younger brother's son,,,GeorgeND,
meZS,loan,,male ego's older sister's son,,,GeorgeND,
myZS,loan,,male ego's younger sister's son,,,GeorgeND,
meBD,loan,,male ego's older brother's daughter,,,GeorgeND,
